name,cost,artist,number,type,text,printings
Ancestor's Chosen,,Pete Venters,1,Creature — Human Cleric,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","JUD,10E"
Angel of Mercy,,Volkan Baga,2,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD"
Angelic Blessing,,Mark Zug,3,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR"
Angelic Chorus,,Jim Murray,4,Enchantment,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.","USG,10E"
Angelic Wall,,John Avon,5,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14"
Aura of Silence,,D. Alexander Gregory,6,Enchantment,Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.,"WTH,pFNM,10E,C15"
Aven Cloudchaser,,Justin Sweet,7,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.","ODY,8ED,9ED,10E"
Ballista Squad,,Matthew D. Wilson,8,Creature — Human Rebel,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.","MMQ,9ED,10E"
Bandage,,Rebecca Guay,9,Instant,Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.,"STH,10E,TPR"
Beacon of Immortality,,Rob Alexander,10,Instant,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,"5DN,10E"
Benalish Knight,,Zoltan Boros & Gabor Szikszai,11,Creature — Human Knight,Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.),"WTH,ATH,10E"
"Cho-Manno, Revolutionary",,Steven Belledin,12,Legendary Creature — Human Rebel,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","MMQ,10E"
Condemn,,Daren Bader,13,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14"
Demystify,,Christopher Rush,14,Instant,Destroy target enchantment.,"ONS,8ED,9ED,10E,ROE,M12"
Field Marshal,,Stephen Tappin,15,Creature — Human Soldier,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),"CSP,10E"
Ghost Warden,,Ittoku,16,Creature — Spirit,{T}: Target creature gets +1/+1 until end of turn.,"GPT,10E"
Glorious Anthem,,Kev Walker,17,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E"
Hail of Arrows,,Anthony S. Waters,18,Instant,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"SOK,10E"
Heart of Light,,Luca Zontini,19,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.,"BOK,10E"
High Ground,,rk post,20,Enchantment,Each creature you control can block an additional creature.,"EXO,10E"
Holy Day,,Volkan Baga,21,Instant,Prevent all combat damage that would be dealt this turn.,"LEG,INV,8ED,9ED,10E"
Holy Strength,,Terese Nielsen,22,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,7ED,8ED,9ED,10E,M10,M11"
Honor Guard,,Dan Dos Santos,23,Creature — Human Soldier,{W}: Honor Guard gets +0/+1 until end of turn.,"STH,7ED,8ED,9ED,10E"
Icatian Priest,,Stephen Tappin,24,Creature — Human Cleric,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"FEM,10E,DDC,DD3_DVD"
Kjeldoran Royal Guard,,Carl Critchlow,25,Creature — Human Soldier,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,"ICE,5ED,6ED,7ED,10E"
Loxodon Mystic,,Randy Gallegos,26,Creature — Elephant Cleric,"{W}, {T}: Tap target creature.","DST,10E"
Loyal Sentry,,Michael Sutfin,27,Creature — Human Soldier,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","S99,10E,DDF"
Luminesce,,Daren Bader,28,Instant,Prevent all damage that black sources and red sources would deal this turn.,"CSP,10E"
Mobilization,,Carl Critchlow,29,Enchantment,Soldier creatures have vigilance.\n{2}{W}: Put a 1/1 white Soldier creature token onto the battlefield.,"ONS,10E,C14"
Nomad Mythmaker,,Darrell Riche,30,Creature — Human Nomad Cleric,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","JUD,10E"
Pacifism,,Robert Bliss,31,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR"
Paladin en-Vec,,Dave Kendall,32,Creature — Human Knight,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","EXO,9ED,10E,TPR"
Pariah,,Jon J Muth,33,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nAll damage that would be dealt to you is dealt to enchanted creature instead.,"USG,7ED,10E"
Reviving Dose,,D. Alexander Gregory,34,Instant,You gain 3 life.\nDraw a card.,"INV,10E"
Reya Dawnbringer,,Matthew D. Wilson,35,Legendary Creature — Angel,"Flying\nAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","INV,10E,pMGD,DDC,CNS,DD3_DVD"
Righteousness,,Wayne England,36,Instant,Target blocking creature gets +7/+7 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,9ED,10E,M10,DDL"
Rule of Law,,Scott M. Fischer,37,Enchantment,Each player can't cast more than one spell each turn.,"MRD,10E"
Samite Healer,,Anson Maddocks,38,Creature — Human Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,S00,7ED,8ED,9ED,10E"
Serra Angel,,Greg Staples,39,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15"
Serra's Embrace,,Zoltan Boros & Gabor Szikszai,40,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has flying and vigilance.,"USG,7ED,10E,DDC,DD3_DVD"
Skyhunter Patrol,,Matt Cavotta,41,Creature — Cat Knight,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","MRD,10E,DDG"
Skyhunter Prowler,,Vance Kovacs,42,Creature — Cat Knight,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","5DN,9ED,10E"
Skyhunter Skirmisher,,Greg Staples,43,Creature — Cat Knight,"Flying, double strike","5DN,10E,C14,MM2"
Soul Warden,,Randy Gallegos,44,Creature — Human Cleric,"Whenever another creature enters the battlefield, you gain 1 life.","EXO,BRB,9ED,10E,M10,HOP,MD1"
Spirit Link,,Kev Walker,45,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature deals damage, you gain that much life.","LEG,4ED,5ED,6ED,7ED,8ED,9ED,10E"
Spirit Weaver,,Matthew D. Wilson,46,Creature — Human Wizard,{2}: Target green or blue creature gets +0/+1 until end of turn.,"INV,10E"
Starlight Invoker,,Glen Angus,47,Creature — Human Cleric Mutant,{7}{W}: You gain 5 life.,"LGN,10E"
Steadfast Guard,,Michael Komarck,48,Creature — Human Rebel,Vigilance (Attacking doesn't cause this creature to tap.),"MMQ,10E"
Story Circle,,Aleksi Briclot,49,Enchantment,"As Story Circle enters the battlefield, choose a color.\n{W}: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage.","MMQ,8ED,9ED,10E"
Suntail Hawk,,Heather Hudson,50,Creature — Bird,Flying,"JUD,8ED,9ED,10E,M14"
Tempest of Light,,Wayne England,51,Instant,Destroy all enchantments.,"MRD,9ED,10E,M10"
Treasure Hunter,,Adam Rex,52,Creature — Human,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.","EXO,10E"
True Believer,,Alex Horley-Orlandelli,53,Creature — Human Cleric,You have shroud. (You can't be the target of spells or abilities.),"ONS,10E"
Tundra Wolves,,Richard Sardinha,54,Creature — Wolf,First strike (This creature deals combat damage before creatures without first strike.),"LEG,4ED,5ED,6ED,8ED,10E"
Venerable Monk,,D. Alexander Gregory,55,Creature — Human Monk Cleric,"When Venerable Monk enters the battlefield, you gain 2 life.","POR,STH,6ED,S99,S00,7ED,8ED,9ED,10E,DDC,DD3_DVD"
Voice of All,,rk post,56,Creature — Angel,"Flying\nAs Voice of All enters the battlefield, choose a color.
Voice of All has protection from the chosen color.","PLS,10E,CMD"
Wall of Swords,,Zoltan Boros & Gabor Szikszai,57,Creature — Wall,Defender (This creature can't attack.)\nFlying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,7ED,8ED,10E,M14"
Warrior's Honor,,D. Alexander Gregory,58,Instant,Creatures you control get +1/+1 until end of turn.,"VIS,ATH,6ED,9ED,10E"
Wild Griffin,,Matt Cavotta,59,Creature — Griffin,Flying,"PO2,S99,S00,10E,M11,ME4"
Windborn Muse,,Adam Rex,60,Creature — Spirit,Flying\nCreatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"LGN,10E,CMD"
Wrath of God,,Kev Walker,61,Sorcery,Destroy all creatures. They can't be regenerated.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,BRB,7ED,pMPR,8ED,9ED,10E,C13,V14"
Youthful Knight,,Rebecca Guay,62,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.),"STH,ATH,10E,TPR"
Academy Researchers,,Stephen Daniele,63,Creature — Human Wizard,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.","USG,10E"
Air Elemental,,Kev Walker,64,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC"
Ambassador Laquatus,,Jim Murray,65,Legendary Creature — Merfolk Wizard,{3}: Target player puts the top three cards of his or her library into his or her graveyard.,"TOR,10E"
Arcanis the Omnipotent,,Justin Sweet,66,Legendary Creature — Wizard,{T}: Draw three cards.\n{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.,"ONS,10E,DDN"
Aura Graft,,Ray Lago,67,Instant,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,"ODY,10E"
Aven Fisher,,Christopher Moeller,68,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Fisher dies, you may draw a card.","ODY,8ED,9ED,10E"
Aven Windreader,,Greg Hildebrandt,69,Creature — Bird Soldier Wizard,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Target player reveals the top card of his or her library.,"ODY,9ED,10E"
Boomerang,,Arnie Swekel,70,Instant,Return target permanent to its owner's hand.,"LEG,CHR,MIR,5ED,6ED,7ED,8ED,9ED,pGTW,10E,ME3,DPA"
Cancel,,Mark Poole,71,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK"
Cephalid Constable,,Alan Pollack,72,Creature — Cephalid Wizard,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands.","JUD,10E"
Clone,,Kev Walker,73,Creature — Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,"LEA,LEB,2ED,CED,CEI,3ED,ONS,9ED,10E,M10,M11,DDI,M13,M14"
Cloud Elemental,,Michael Sutfin,74,Creature — Elemental,Flying\nCloud Elemental can block only creatures with flying.,"VIS,BTD,10E,M11,MM2"
Cloud Sprite,,Mark Zug,75,Creature — Faerie,Flying (This creature can't be blocked except by creatures with flying or reach.)\nCloud Sprite can block only creatures with flying.,"MMQ,10E,DPA"
Counsel of the Soratami,,Randy Gallegos,76,Sorcery,Draw two cards.,"CHK,9ED,10E"
Crafty Pathmage,,Wayne England,77,Creature — Human Wizard,{T}: Target creature with power 2 or less can't be blocked this turn.,"ONS,9ED,10E"
Dehydration,,Arnie Swekel,78,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature doesn't untap during its controller's untap step.,"MMQ,8ED,9ED,10E"
Deluge,,Wayne England,79,Instant,Tap all creatures without flying.,"ODY,10E,DPA"
Denizen of the Deep,,Jim Pavelec,80,Creature — Serpent,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","PO2,S99,10E,DPA"
Discombobulate,,Alex Horley-Orlandelli,81,Instant,"Counter target spell. Look at the top four cards of your library, then put them back in any order.","ONS,10E"
Dreamborn Muse,,Kev Walker,82,Creature — Spirit,"At the beginning of each player's upkeep, that player puts the top X cards of his or her library into his or her graveyard, where X is the number of cards in his or her hand.","LGN,10E,CMD"
Evacuation,,Franz Vohwinkel,83,Instant,Return all creatures to their owners' hands.,"STH,7ED,8ED,9ED,10E,DPA"
Flashfreeze,,Brian Despain,84,Instant,Counter target red or green spell.,"CSP,10E,M10,M11,M12,MM2"
Fog Elemental,,Jon J Muth,85,Creature — Elemental,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Fog Elemental attacks or blocks, sacrifice it at end of combat.","WTH,6ED,BTD,10E"
Fugitive Wizard,,Mark Zug,86,Creature — Human Wizard,,"LGN,8ED,9ED,10E,M15"
Horseshoe Crab,,Scott Kirschner,87,Creature — Crab,{U}: Untap Horseshoe Crab.,"USG,10E"
Hurkyl's Recall,,Ralph Horsley,88,Instant,Return all artifacts target player owns to his or her hand.,"ATQ,3ED,4ED,5ED,10E,MM2"
Lumengrid Warden,,Francis Tsai,89,Creature — Human Wizard,,"MRD,9ED,10E"
Mahamoti Djinn,,Greg Staples,90,Creature — Djinn,Flying (This creature can't be blocked except by creatures with flying or reach.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,BTD,7ED,8ED,9ED,10E,DPA,ME4,M15,ORI"
March of the Machines,,Ben Thompson,91,Enchantment,Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost. (Equipment that's a creature can't equip a creature.),"MRD,10E,ARC"
Merfolk Looter,,Tristan Elwell,92,Creature — Merfolk Rogue,"{T}: Draw a card, then discard a card.","EXO,7ED,10E,M10,M12,TPR"
Mind Bend,,Mike Dringenberg,93,Instant,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change "nonblack creature" to "nongreen creature" or "forestwalk" to "islandwalk." This effect lasts indefinitely.)","MIR,8ED,9ED,10E"
Peek,,Adam Rex,94,Instant,Look at target player's hand.\nDraw a card.,"ODY,10E"
Persuasion,,William O'Connor,95,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nYou control enchanted creature.,"ODY,10E"
Phantom Warrior,,Greg Staples,96,Creature — Illusion Warrior,Phantom Warrior can't be blocked.,"POR,WTH,6ED,S99,7ED,8ED,9ED,10E,M10,DPA,M14"
Plagiarize,,Jeremy Jarvis,97,Instant,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.","TOR,9ED,10E"
