name,cost,artist,number,type,text,printings
Abomination,,Mark Tedin,,Creature — Horror,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.","LEG,4ED"
Air Elemental,,Richard Thomas,,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC"
Alabaster Potion,,Harold McNeill,,Instant,Choose one —\n• Target player gains X life.
• Prevent the next X damage that would be dealt to target creature or player this turn.,"LEG,4ED,RQS,ITP,5ED,ME3"
Aladdin's Lamp,,Mark Tedin,,Artifact,"{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.","ARN,3ED,4ED"
Aladdin's Ring,,Dan Frazier,,Artifact,"{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.","ARN,3ED,4ED,5ED,6ED,7ED,8ED,9ED"
Ali Baba,,Julie Baroh,,Creature — Human Rogue,{R}: Tap target Wall.,"ARN,4ED"
Amrou Kithkin,,Quinton Hoover,,Creature — Kithkin,Amrou Kithkin can't be blocked by creatures with power 3 or greater.,"LEG,4ED,ME3"
Amulet of Kroog,,Margaret Organ-Kean,,Artifact,"{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.","ATQ,4ED,5ED,ME4"
Angry Mob,,Drew Tucker,,Creature — Human,"Trample\nAs long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.","DRK,4ED,5ED,MED"
Animate Artifact,,Douglas Shuler,,Enchantment — Aura,"Enchant artifact\nAs long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ME4"
