name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abuna's Chant,{3}{W},4,W,John Matson,1,Instant,Choose one —\n• You gain 5 life.\n• Prevent the next 5 damage that would be dealt to target creature this turn.\nEntwine {2} (Choose both if you pay the entwine cost.),5DN,,normal,50164,,,Common,,Instant
Armed Response,{2}{W},3,W,Doug Chaffee,2,Instant,Armed Response deals damage to target attacking creature equal to the number of Equipment you control.,5DN,"Raksha watched as the goblins continued to pour onto the Razor Fields. ""They just don't know when to stop, do they?""",normal,73566,,,Common,,Instant
Auriok Champion,{W}{W},2,W,Michael Sutfin,3,Creature — Human Cleric,"Protection from black and from red\nWhenever another creature enters the battlefield, you may gain 1 life.",5DN,"""Her will shall banish the shadows. Her might shall punish the lawless. Her beauty shall restore the light.""\n—Ushanti, leonin seer",normal,72921,1,1,Rare,"Human,Cleric",Creature
Auriok Salvagers,{3}{W},4,W,Randy Gallegos,4,Creature — Human Soldier,{1}{W}: Return target artifact card with converted mana cost 1 or less from your graveyard to your hand.,"5DN,MMA","""Memnarch or the vedalken salvage most of the large machines, leaving us only scraps. Scraps are enough.""",normal,51166,2,4,Uncommon,"Human,Soldier",Creature
Auriok Windwalker,{3}{W},4,W,Jeremy Jarvis,5,Creature — Human Wizard,Flying\n{T}: Attach target Equipment you control to target creature you control.,5DN,"Each generation, a handful of Auriok girls are allowed to visit the Cave of Light. They return riding the wind and brandishing steel.",normal,46175,2,3,Rare,"Human,Wizard",Creature
Beacon of Immortality,{5}{W},6,W,Rob Alexander,6,Instant,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,"5DN,10E",The cave floods with light. A thousand rays shine forth and meld into one.,normal,50141,,,Rare,,Instant
Bringer of the White Dawn,{7}{W}{W},9,"W,U,B,R,G",Kev Walker,7,Creature — Bringer,"You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the White Dawn's mana cost.\nTrample\nAt the beginning of your upkeep, you may return target artifact card from your graveyard to the battlefield.",5DN,,normal,73556,5,5,Rare,Bringer,Creature
Circle of Protection: Artifacts,{1}{W},2,W,Terese Nielsen,8,Enchantment,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.","ATQ,4ED,5ED,5DN","""Memnarch shall rage against us. We shall endure.""",normal,73561,,,Uncommon,,Enchantment
Leonin Squire,{1}{W},2,W,Pete Venters,9,Creature — Cat Soldier,"When Leonin Squire enters the battlefield, return target artifact card with converted mana cost 1 or less from your graveyard to your hand.",5DN,"""I may be kha, but without my soldiers, my people, I am nothing.""\n—Raksha Golden Cub",normal,72722,2,2,Common,"Cat,Soldier",Creature
Loxodon Anchorite,{2}{W}{W},4,W,Jim Nelson,10,Creature — Elephant Cleric,{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.,5DN,"The loxodon ascribe religious superiority to those born albino, believing them to be spiritually pure.",normal,50137,2,3,Common,"Elephant,Cleric",Creature
Loxodon Stalwart,{3}{W}{W},5,W,Paolo Parente,11,Creature — Elephant Soldier,Vigilance\n{W}: Loxodon Stalwart gets +0/+1 until end of turn.,5DN,"Long ago, the Auriok attempted peace with the loxodons. The leonin attempted war. Neither succeeded.",normal,73567,3,3,Uncommon,"Elephant,Soldier",Creature
Raksha Golden Cub,{5}{W}{W},7,W,Pete Venters,12,Legendary Creature — Cat Soldier,"Vigilance\nAs long as Raksha Golden Cub is equipped, Cat creatures you control get +2/+2 and have double strike.",5DN,"Some believe that Raksha, youngest of the kha, is the reincarnation of Dakan, the first and mightiest of leonin leaders.",normal,73569,3,4,Rare,"Cat,Soldier",Creature
Retaliate,{2}{W}{W},4,W,Vance Kovacs,13,Instant,Destroy all creatures that dealt damage to you this turn.,5DN,The Auriok learned perseverance from their forebears. They learned justice from the leonin.,normal,50213,,,Rare,,Instant
Roar of Reclamation,{5}{W}{W},7,W,Justin Sweet,14,Sorcery,Each player returns all artifact cards from his or her graveyard to the battlefield.,5DN,"""Yesterday's relics will determine the outcome of tomorrow's war.""\n—Ushanti, leonin seer",normal,51080,,,Rare,,Sorcery
Skyhunter Prowler,{2}{W},3,W,Vance Kovacs,15,Creature — Cat Knight,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","5DN,9ED,10E","""If what I have seen comes to pass, we will need our guardians more than ever.""\n—Ushanti, leonin seer",normal,50136,1,3,Common,"Cat,Knight",Creature
Skyhunter Skirmisher,{1}{W}{W},3,W,Greg Staples,16,Creature — Cat Knight,"Flying, double strike","5DN,10E,C14,MM2","""Like dawn's first light, blind the unprepared and banish the shadows.""\n—Skyhunter creed",normal,51220,1,1,Uncommon,"Cat,Knight",Creature
Stand Firm,{W},1,W,Matt Cavotta,17,Instant,"Target creature gets +1/+1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","5DN,DDL",,normal,50138,,,Common,,Instant
Stasis Cocoon,{1}{W},2,W,Kev Walker,18,Enchantment — Aura,"Enchant artifact\nEnchanted artifact can't attack or block, and its activated abilities can't be activated.",5DN,"Though the grip of a golem is strong, the grip of Auriok magic is far stronger.",normal,51607,,,Common,Aura,Enchantment
Steelshaper's Gift,{W},1,W,Tim Hildebrandt,19,Sorcery,"Search your library for an Equipment card, reveal that card, and put it into your hand. Then shuffle your library.",5DN,Some blades seek their own wielders.,normal,51078,,,Uncommon,,Sorcery
Vanquish,{2}{W},3,W,Carl Critchlow,20,Instant,Destroy target blocking creature.,5DN,"""All beings have an inner light. Let me show you yours.""\n—Ushanti, leonin seer",normal,51147,,,Uncommon,,Instant
Acquire,{3}{U}{U},5,U,Daren Bader,21,Sorcery,Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles his or her library.,"pMEI,5DN","Sometimes ""innovation"" means ""stealing another's secret before anyone else can.""",normal,51088,,,Rare,,Sorcery
Advanced Hoverguard,{3}{U},4,U,Scott M. Fischer,22,Creature — Drone,Flying\n{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.),5DN,"""They are like their vedalken masters: untouchable, aloof, and omnipresent.""\n—Bruenna, Neurok leader",normal,50144,2,2,Common,Drone,Creature
Artificer's Intuition,{1}{U},2,U,Wayne England,23,Enchantment,"{U}, Discard an artifact card: Search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. Then shuffle your library.",5DN,,normal,50172,,,Rare,,Enchantment
Beacon of Tomorrows,{6}{U}{U},8,U,Jeremy Jarvis,24,Sorcery,Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.,5DN,To look into its light is to meet the gaze of history.,normal,51610,,,Rare,,Sorcery
Blinkmoth Infusion,{12}{U}{U},14,U,Alan Pollack,25,Instant,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nUntap all artifacts.,5DN,Power begets power.,normal,51634,,,Rare,,Instant
Bringer of the Blue Dawn,{7}{U}{U},9,"U,W,B,R,G",Greg Staples,26,Creature — Bringer,"You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Blue Dawn's mana cost.\nTrample\nAt the beginning of your upkeep, you may draw two cards.",5DN,,normal,73554,5,5,Rare,Bringer,Creature
Condescend,{X}{U},1,U,Ron Spears,27,Instant,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","5DN,DD2,DD3_JVC",,normal,51223,,,Common,,Instant
Disruption Aura,{2}{U},3,U,Ron Spears,28,Enchantment — Aura,"Enchant artifact\nEnchanted artifact has ""At the beginning of your upkeep, sacrifice this artifact unless you pay its mana cost.""",5DN,Vedalken weapons sold to outsiders are as dependable as the vedalken themselves.,normal,76971,,,Uncommon,Aura,Enchantment
Early Frost,{1}{U},2,U,Ben Thompson,29,Instant,Tap up to three target lands.,5DN,"Under its mists, the earth sleeps.",normal,73571,,,Common,,Instant
Eyes of the Watcher,{2}{U},3,U,Ron Spears,30,Enchantment,"Whenever you cast an instant or sorcery spell, you may pay {1}. If you do, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",5DN,,normal,73925,,,Uncommon,,Enchantment
Fold into Æther,{2}{U}{U},4,U,Anthony S. Waters,31,Instant,"Counter target spell. If that spell is countered this way, its controller may put a creature card from his or her hand onto the battlefield.",5DN,"Æther portals drift across Mirrodin's surface, dragging creatures across time and space.",normal,51631,,,Uncommon,,Instant
Hoverguard Sweepers,{6}{U}{U},8,U,Mark A. Nelson,32,Creature — Drone,"Flying\nWhen Hoverguard Sweepers enters the battlefield, you may return up to two target creatures to their owners' hands.","5DN,C14","They only appear in emergencies, and emergencies never last long.",normal,51086,5,6,Rare,Drone,Creature
Into Thin Air,{5}{U},6,U,Ittoku,33,Instant,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nReturn target artifact to its owner's hand.,5DN,"""Perhaps I should take Mirrodin apart and begin again.""\n—Memnarch",normal,50147,,,Common,,Instant
Plasma Elemental,{5}{U},6,U,Kev Walker,34,Creature — Elemental,Plasma Elemental can't be blocked.,5DN,"""I watched a ship sail right through it. I thought it was harmless . . . until I saw what it had done to the crew.""\n—Bruenna, Neurok leader",normal,73562,4,1,Uncommon,Elemental,Creature
Qumulox,{6}{U}{U},8,U,Carl Critchlow,35,Creature — Beast,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nFlying,"5DN,HOP,DDF,MM2","Even the clouds bend themselves to Memnarch's will, eager to swallow those who oppose him.",normal,47800,5,4,Uncommon,Beast,Creature
Serum Visions,{U},1,U,Ben Thompson,36,Sorcery,"Draw a card. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","pARL,5DN",,normal,50145,,,Common,,Sorcery
Spectral Shift,{1}{U},2,U,John Avon,37,Instant,Choose one —\n• Change the text of target spell or permanent by replacing all instances of one basic land type with another. (This effects last indefinitely.)\n• Change the text of target spell or permanent by replacing all instances of one color word with another. (This effects last indefinitely.)\nEntwine {2} (Choose both if you pay the entwine cost.),5DN,,normal,73572,,,Rare,,Instant
Thought Courier,{1}{U},2,U,Stephen Tappin,38,Creature — Human Wizard,"{T}: Draw a card, then discard a card.","5DN,9ED",It is telling of the vedalkens' culture that they trust human couriers more than their own comrades.,normal,73570,1,1,Common,"Human,Wizard",Creature
Trinket Mage,{2}{U},3,U,Mark A. Nelson,39,Creature — Human Wizard,"When Trinket Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. If you do, shuffle your library.","5DN,DDF,SOM",,normal,50163,2,2,Common,"Human,Wizard",Creature
Vedalken Mastermind,{U}{U},2,U,Darrell Riche,40,Creature — Vedalken Wizard,"{U}, {T}: Return target permanent you control to its owner's hand.","5DN,10E","The vedalken see other beings from a cold distance, as either experimental subjects or objects of study.",normal,50834,1,2,Uncommon,"Vedalken,Wizard",Creature
Beacon of Unrest,{3}{B}{B},5,B,Alan Pollack,41,Sorcery,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,"5DN,10E,HOP,ARC",A vertical scream pierces the night air and echoes doom through the clouds.,normal,51611,,,Rare,,Sorcery
Blind Creeper,{1}{B},2,B,Carl Critchlow,42,Creature — Zombie Beast,"Whenever a player casts a spell, Blind Creeper gets -1/-1 until end of turn.",5DN,It shuns everything except its next meal.,normal,50212,3,3,Common,"Zombie,Beast",Creature
Bringer of the Black Dawn,{7}{B}{B},9,"B,W,U,R,G",Carl Critchlow,43,Creature — Bringer,"You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Black Dawn's mana cost.\nTrample\nAt the beginning of your upkeep, you may pay 2 life. If you do, search your library for a card, then shuffle your library and put that card on top of it.",5DN,,normal,73555,5,5,Rare,Bringer,Creature
Cackling Imp,{2}{B}{B},4,B,Matt Thompson,44,Creature — Imp,Flying\n{T}: Target player loses 1 life.,"5DN,DDC,DD3_DVD",Its laughter drives needles through your mind.,normal,73597,2,2,Common,Imp,Creature
Desecration Elemental,{3}{B},4,B,Pete Venters,45,Creature — Elemental,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhenever a player casts a spell, sacrifice a creature.",5DN,Its precious corpses dance like puppets to attract mindless nim prey.,normal,50204,8,8,Rare,Elemental,Creature
Devour in Shadow,{B}{B},2,B,Thomas M. Baxa,46,Instant,Destroy target creature. It can't be regenerated. You lose life equal to that creature's toughness.,5DN,"""Feel the burn of the mists. Master them. They will devour your enemies.""\n—Geth, keeper of the Vault",normal,50210,,,Uncommon,,Instant
Dross Crocodile,{3}{B},4,B,"Edward P. Beard, Jr.",47,Creature — Zombie Crocodile,,"5DN,10E","The necrogen may have taken its sight, but it can still taste the fear of its prey.",normal,51189,5,1,Common,"Zombie,Crocodile",Creature
Ebon Drake,{2}{B},3,B,Pete Venters,48,Creature — Drake,"Flying\nWhenever a player casts a spell, you lose 1 life.",5DN,The deadliest killers serve only those who are not afraid to die.,normal,51095,3,3,Uncommon,Drake,Creature
Endless Whispers,{2}{B}{B},4,B,Carl Critchlow,49,Enchantment,"Each creature has ""When this creature dies, choose target opponent. That player puts this card from its owner's graveyard onto the battlefield under his or her control at the beginning of the next end step.""",5DN,Those who find death under the black sun's shadow cannot escape its pull.,normal,50129,,,Rare,,Enchantment
Fill with Fright,{3}{B},4,B,Luca Zontini,50,Sorcery,"Target player discards two cards. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",5DN,,normal,46159,,,Common,,Sorcery
Fleshgrafter,{2}{B},3,B,Jim Murray,51,Creature — Human Warrior,Discard an artifact card: Fleshgrafter gets +2/+2 until end of turn.,5DN,"Necrogen enflames certain emotional centers in the Morioks' brains: hate, aggression, and especially greed.",normal,50209,2,2,Common,"Human,Warrior",Creature
Lose Hope,{B},1,B,Matt Cavotta,52,Instant,"Target creature gets -1/-1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",5DN,,normal,50207,,,Common,,Instant
Mephidross Vampire,{4}{B}{B},6,B,Matthew D. Wilson,53,Creature — Vampire,"Flying\nEach creature you control is a Vampire in addition to its other creature types and has ""Whenever this creature deals damage to a creature, put a +1/+1 counter on this creature.""",5DN,,normal,50211,3,4,Rare,Vampire,Creature
Moriok Rigger,{2}{B},3,B,Wayne England,54,Creature — Human Rogue Rigger,"Whenever an artifact is put into a graveyard from the battlefield, you may put a +1/+1 counter on Moriok Rigger.",5DN,"The Moriok scavenge for weapons, for armor, for food—and ultimately for their souls.",normal,51091,2,2,Rare,"Human,Rogue,Rigger",Creature
Night's Whisper,{1}{B},2,B,David Martin,55,Sorcery,You draw two cards and you lose 2 life.,"5DN,DDM,EMA","The Moriok call the black moon the Whisperer. At her apex, she whispers of power.",normal,51178,,,Uncommon,,Sorcery
Nim Grotesque,{6}{B},7,B,Anthony S. Waters,56,Creature — Zombie,Nim Grotesque gets +1/+0 for each artifact you control.,5DN,"In the swirling mists, you could walk right up to one and not know until its teeth are in your throat.",normal,73574,3,6,Uncommon,Zombie,Creature
Plunge into Darkness,{1}{B},2,B,Justin Sweet,57,Instant,"Choose one —\n• Sacrifice any number of creatures, then you gain 3 life for each sacrificed creature.\n• Pay X life, then look at the top X cards of your library. Put one of those cards into your hand and exile the rest.\nEntwine {B} (Choose both if you pay the entwine cost.)",5DN,,normal,72681,,,Rare,,Instant
Relentless Rats,{1}{B}{B},3,B,Thomas M. Baxa,58,Creature — Rat,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.,"5DN,10E,M10,M11",,normal,73573,2,2,Uncommon,Rat,Creature
Shattered Dreams,{B},1,B,Greg Staples,59,Sorcery,Target opponent reveals his or her hand. You choose an artifact card from it. That player discards that card.,5DN,Victims are lucky if they remember ever having had what was lost.,normal,51092,,,Uncommon,,Sorcery
Vicious Betrayal,{3}{B}{B},5,B,Tomas Giorello,60,Sorcery,"As an additional cost to cast Vicious Betrayal, sacrifice any number of creatures.\nTarget creature gets +2/+2 until end of turn for each creature sacrificed this way.",5DN,,normal,73575,,,Common,,Sorcery
Beacon of Destruction,{3}{R}{R},5,R,Greg Hildebrandt,61,Instant,Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.,"5DN,10E","The Great Furnace's blessing is a spectacular sight, but the best view comes at a high cost.",normal,51612,,,Rare,,Instant
Bringer of the Red Dawn,{7}{R}{R},9,"R,W,U,B,G",Christopher Moeller,62,Creature — Bringer,"You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Red Dawn's mana cost.\nTrample\nAt the beginning of your upkeep, you may untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.",5DN,,normal,73553,5,5,Rare,Bringer,Creature
Cosmic Larva,{1}{R}{R},3,R,Jeff Easley,63,Creature — Beast,"Trample\nAt the beginning of your upkeep, sacrifice Cosmic Larva unless you sacrifice two lands.",5DN,"For millennia they wandered from plane to plane, devouring all metal. Finally, their wanderings are over.",normal,43529,7,6,Rare,Beast,Creature
