name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Mercy,{4}{W},5,W,Melissa A. Benson,1,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD",A song of life soars over fields of blood.,normal,45195,3,3,Uncommon,Angel,Creature
Angelic Page,{1}{W},2,W,Marc Fishman,2,Creature — Angel Spirit,Flying\n{T}: Target attacking or blocking creature gets +1/+1 until end of turn.,"USG,BRB,7ED,8ED,DDC,DD3_DVD",If only every message were as perfect as its bearer.,normal,45172,1,1,Common,"Angel,Spirit",Creature
Ardent Militia,{4}{W},5,W,Paolo Parente,3,Creature — Human Soldier,Vigilance,"POR,WTH,6ED,S99,7ED,8ED",Knights fight for honor and mercenaries fight for gold. The militia fights for hearth and home.,normal,45194,2,5,Uncommon,"Human,Soldier",Creature
Avatar of Hope,{6}{W}{W},8,W,Mark Zug,4,Creature — Avatar,"If you have 3 or less life, Avatar of Hope costs {6} less to cast.\nFlying\nAvatar of Hope can block any number of creatures.","pPRE,PCY,8ED",,normal,46617,4,9,Rare,Avatar,Creature
Aven Cloudchaser,{3}{W},4,W,Justin Sweet,5,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.","ODY,8ED,9ED,10E",,normal,45177,2,2,Common,"Bird,Soldier",Creature
Aven Flock,{4}{W},5,W,Greg & Tim Hildebrandt,6,Creature — Bird Soldier,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{W}: Aven Flock gets +0/+1 until end of turn.,"ODY,8ED,9ED","Just as each added feather steadies the wing, so does the flock grow stronger with each new member.",normal,45179,2,3,Common,"Bird,Soldier",Creature
Blessed Reversal,{1}{W},2,W,Christopher Moeller,7,Instant,You gain 3 life for each creature attacking you.,"POR,ULG,7ED,8ED",Even an enemy is a valuable resource.,normal,45216,,,Rare,,Instant
Blinding Angel,{3}{W}{W},5,W,Todd Lockwood,8,Creature — Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.","NMS,8ED,9ED","""Their eyes will shrivel and blacken before faith's true light.""",normal,45211,2,4,Rare,Angel,Creature
Chastise,{3}{W},4,W,Carl Critchlow,9,Instant,Destroy target attacking creature. You gain life equal to its power.,"JUD,8ED,9ED","""Why do we pray to the Ancestor? Because She listens.""\n—Mystic elder",normal,45200,,,Uncommon,,Instant
Circle of Protection: Black,{1}{W},2,W,Mark Romanoski,10,Enchantment,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.","LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,7ED,8ED,9ED",,normal,45204,,,Uncommon,,Enchantment
Circle of Protection: Blue,{1}{W},2,W,Greg & Tim Hildebrandt,11,Enchantment,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED",,normal,45203,,,Uncommon,,Enchantment
Circle of Protection: Green,{1}{W},2,W,Alan Pollack,12,Enchantment,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED",,normal,45206,,,Uncommon,,Enchantment
Circle of Protection: Red,{1}{W},2,W,Gary Ruddell,13,Enchantment,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,pFNM,7ED,8ED,9ED",,normal,45205,,,Uncommon,,Enchantment
Circle of Protection: White,{1}{W},2,W,Darrell Riche,14,Enchantment,"{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,TMP,6ED,7ED,8ED",,normal,45202,,,Uncommon,,Enchantment
Crossbow Infantry,{1}{W},2,W,James Bernardin,15,Creature — Human Soldier Archer,{T}: Crossbow Infantry deals 1 damage to target attacking or blocking creature.,"MMQ,7ED,8ED,9ED","""He can split a marshfly in two from halfway across the range.""\n—Onean sergeant",normal,45171,1,1,Common,"Human,Soldier,Archer",Creature
Demystify,{W},1,W,Christopher Rush,16,Instant,Destroy target enchantment.,"ONS,8ED,9ED,10E,ROE,M12",,normal,45185,,,Common,,Instant
Diving Griffin,{1}{W}{W},3,W,John Howe,17,Creature — Griffin,"Flying, vigilance","PCY,8ED","To outrace the griffin\n—Kipamu expression meaning\n""to do the impossible""",normal,45176,2,2,Common,Griffin,Creature
Elite Archers,{5}{W},6,W,Greg Staples,18,Creature — Human Soldier Archer,{T}: Elite Archers deals 3 damage to target attacking or blocking creature.,"USG,7ED,8ED",They fletch their arrows with the feathers of angels.,normal,45214,3,3,Rare,"Human,Soldier,Archer",Creature
Elite Javelineer,{2}{W},3,W,Mark Poole,19,Creature — Human Soldier,"Whenever Elite Javelineer blocks, it deals 1 damage to target attacking creature.","TMP,8ED","""Precision is frequently more valuable than force.""",normal,45199,2,2,Uncommon,"Human,Soldier",Creature
Glorious Anthem,{1}{W}{W},3,W,Kev Walker,20,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E",Each victory adds a new verse.,normal,45218,,,Rare,,Enchantment
Glory Seeker,{1}{W},2,W,Dave Dorman,21,Creature — Human Soldier,,"ONS,8ED,9ED,ROE,DDF",The turning of the tide always begins with one soldier's decision to head back into the fray.,normal,45173,2,2,Common,"Human,Soldier",Creature
Healing Salve,{W},1,W,Greg & Tim Hildebrandt,22,Instant,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to target creature or player this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,MIR,ITP,5ED,USG,6ED,BRB,7ED,8ED,DDC,ME4,DD3_DVD",,normal,45180,,,Common,,Instant
Holy Day,{W},1,W,Pete Venters,23,Instant,Prevent all combat damage that would be dealt this turn.,"LEG,INV,8ED,9ED,10E","""The day of Spirits; my soul's calm retreat / Which none disturb""\n—Henry Vaughan, ""The Night""",normal,45181,,,Common,,Instant
Holy Strength,{W},1,W,Scott M. Fischer,24,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,7ED,8ED,9ED,10E,M10,M11",,normal,45182,,,Common,Aura,Enchantment
Honor Guard,{W},1,W,Mark Zug,25,Creature — Human Soldier,{W}: Honor Guard gets +0/+1 until end of turn.,"STH,7ED,8ED,9ED,10E","""It is not a choice I make, to have this guard. It is the choice of my people, and my duty to them.""\n—Oracle en-Vec",normal,45168,1,1,Common,"Human,Soldier",Creature
Intrepid Hero,{2}{W},3,W,Greg Hildebrandt,26,Creature — Human Soldier,{T}: Destroy target creature with power 4 or greater.,"USG,7ED,8ED,M13",A fool knows no fear. A hero shows no fear.,normal,45208,1,1,Rare,"Human,Soldier",Creature
Ivory Mask,{2}{W}{W},4,W,Glen Angus,27,Enchantment,You have shroud. (You can't be the target of spells or abilities.),"MMQ,8ED,9ED","Made from its wearer's hopes, the mask ensures that those hopes will be fulfilled.",normal,45223,,,Rare,,Enchantment
Karma,{2}{W}{W},4,W,Bob Eggleton,28,Enchantment,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps he or she controls.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,8ED",,normal,49011,,,Uncommon,,Enchantment
Master Decoy,{1}{W},2,W,Ben Thompson,29,Creature — Human Soldier,"{W}, {T}: Tap target creature.","TMP,BRB,8ED,9ED,DDN,TPR",A skilled decoy can throw your enemies off your trail. A master decoy can survive to do it again.,normal,45169,1,2,Common,"Human,Soldier",Creature
Master Healer,{4}{W},5,W,Greg & Tim Hildebrandt,30,Creature — Human Cleric,{T}: Prevent the next 4 damage that would be dealt to target creature or player this turn.,"UDS,7ED,8ED,9ED",Her heart holds the pain of every soldier she's ever healed.,normal,45213,1,4,Rare,"Human,Cleric",Creature
Noble Purpose,{3}{W}{W},5,W,Kev Walker,31,Enchantment,"Whenever a creature you control deals combat damage, you gain that much life.","MMQ,8ED",Fighting for the right reason is itself a source of strength.,normal,45224,,,Rare,,Enchantment
Oracle's Attendants,{3}{W},4,W,Dany Orizio,32,Creature — Human Soldier,{T}: All damage that would be dealt to target creature this turn by a source of your choice is dealt to Oracle's Attendants instead.,"NMS,8ED,9ED","The future isn't sacred, but its speaker is.",normal,45210,1,5,Rare,"Human,Soldier",Creature
Pacifism,{1}{W},2,W,Robert Bliss,33,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR,EMA","For the first time in his life, Grakk felt a little warm and fuzzy inside.",normal,45186,,,Common,Aura,Enchantment
Peach Garden Oath,{W},1,W,Qiao Dafu,34,Sorcery,You gain 2 life for each creature you control.,"PTK,8ED,ME3","""We three, though of separate ancestry, join in brotherhood. . . . We dare not hope to be together always but hereby vow to die the selfsame day.""\n—Peach Garden Oath",normal,45201,,,Uncommon,,Sorcery
Rain of Blades,{W},1,W,Rob Alexander,35,Instant,Rain of Blades deals 1 damage to each attacking creature.,"SCG,8ED,M13","Some say they are the weapons of heroes fallen in battle, eager for one last chance at glory.",normal,45198,,,Uncommon,,Instant
Razorfoot Griffin,{3}{W},4,W,Ben Thompson,36,Creature — Griffin,Flying (This creature can't be blocked except by creatures with flying or reach.)\nFirst strike (This creature deals combat damage before creatures without first strike.),"INV,7ED,8ED,M10,M15",,normal,45178,2,2,Common,Griffin,Creature
