name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Akrasan Squire,{W},1,W,Todd Lockwood,1,Creature — Human Soldier,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",ALA,"Bant's armies are primarily composed of members of the Mortar caste, loyal commoners who haven't yet earned a sigil.",normal,174963,1,1,Common,"Human,Soldier",Creature
Angel's Herald,{W},1,W,Greg Staples,2,Creature — Human Cleric,"{2}{W}, {T}, Sacrifice a green creature, a white creature, and a blue creature: Search your library for a card named Empyrial Archangel and put it onto the battlefield. Then shuffle your library.",ALA,"Rigorous faith and belief are rewarded on occasion, and richly so.",normal,175141,1,1,Uncommon,"Human,Cleric",Creature
Angelic Benediction,{3}{W},4,W,Michael Komarck,3,Enchantment,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, you may tap target creature.","ALA,DDC,M13,DD3_DVD","""Even in single combat, I am never alone.""\n—Rafiq of the Many",normal,174826,,,Uncommon,,Enchantment
Angelsong,{1}{W},2,W,Sal Villagran,4,Instant,"Prevent all combat damage that would be dealt this turn.\nCycling {2} ({2}, Discard this card: Draw a card.)","ALA,DDC,DD3_DVD",Clash of sword and cry of beast fall mute when angels sound the call to prayer.,normal,175000,,,Common,,Instant
Bant Battlemage,{2}{W},3,"W,G,U",Donato Giancola,5,Creature — Human Wizard,"{G}, {T}: Target creature gains trample until end of turn.\n{U}, {T}: Target creature gains flying until end of turn.",ALA,"""A night attack will be easy. We'll make an air raid over the Akrasan border. Just get me some flint to light the war torches.""",normal,175123,2,2,Uncommon,"Human,Wizard",Creature
Battlegrace Angel,{3}{W}{W},5,W,Matt Stewart,6,Creature — Angel,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, it gains lifelink until end of turn.","ALA,MM2",,normal,175394,4,4,Rare,Angel,Creature
Cradle of Vitality,{3}{W},4,W,Trevor Hairsine,7,Enchantment,"Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.","ALA,C13","Naya's trees grow tall and sturdy. Their foliage intertwines to form dewcups, rainwater pools where the elves gather to celebrate life.",normal,174789,,,Rare,,Enchantment
Dispeller's Capsule,{W},1,W,Franz Vohwinkel,8,Artifact,"{2}{W}, {T}, Sacrifice Dispeller's Capsule: Destroy target artifact or enchantment.","ALA,MMA","""I find its symmetry pleasing. It rids our world of offensive refuse while disposing of itself.""\n—Dolomarus, Proctor of the Clean",normal,174830,,,Common,,Artifact
"Elspeth, Knight-Errant",{2}{W}{W},4,W,Volkan Baga,9,Planeswalker — Elspeth,"+1: Put a 1/1 white Soldier creature token onto the battlefield.\n+1: Target creature gets +3/+3 and gains flying until end of turn.\n−8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""","ALA,DDF,MMA,MD1",,normal,174859,,,Mythic Rare,Elspeth,Planeswalker
Ethersworn Canonist,{1}{W},2,W,Izzy,10,Artifact Creature — Human Cleric,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.,"ALA,MMA","""The noble work of our order is to infuse all life on Esper with etherium. Our goal will be reached more rapidly if new life is . . . suppressed.""",normal,174931,2,2,Rare,"Human,Cleric","Artifact,Creature"
