name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aesthir Glider,{3},3,,Ruth Thompson,,Artifact Creature — Bird,Flying\nAesthir Glider can't block.,"ALL,ATH,ME4","""Sacrilege A noble ally in life, made nothing more than a glorified kite in death""\n—Arna Kennerüd, Skycaptain",normal,3040,2,1,Common,Bird,"Artifact,Creature"
Aesthir Glider,{3},3,,Ruth Thompson,,Artifact Creature — Bird,Flying\nAesthir Glider can't block.,"ALL,ATH,ME4","""A fine example of the rewards of artifice: a thoroughly obedient steed with wings of Soldevi steel.""\n—Arcum Dagsson,\nSoldevi Machinist",normal,3041,2,1,Common,Bird,"Artifact,Creature"
Agent of Stromgald,{R},1,"R,B",Alan Rabinowitz,,Creature — Human Knight,{R}: Add {B} to your mana pool.,ALL,"""The Order of Stromgald spreads its poisonous lies from within Varchild's troops, and still she sees only visions of conquest.""\n—Lovisa Coldeyes, Balduvian Chieftain",normal,3159,1,1,Common,"Human,Knight",Creature
Agent of Stromgald,{R},1,"R,B",Alan Rabinowitz,,Creature — Human Knight,{R}: Add {B} to your mana pool.,ALL,"""The ‘fabled' Order of Stromgald is cast to the four winds, lost for all time. I, for one, give them no thought.""\n—General Varchild",normal,3160,1,1,Common,"Human,Knight",Creature
Arcane Denial,{1}{U},2,U,Richard Kane Ferguson,,Instant,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.\nYou draw a card at the beginning of the next turn's upkeep.,"ALL,MED,C13",,normal,3097,,,Common,,Instant
Arcane Denial,{1}{U},2,U,Richard Kane Ferguson,,Instant,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.\nYou draw a card at the beginning of the next turn's upkeep.,"ALL,MED,C13",,normal,3098,,,Common,,Instant
Ashnod's Cylix,{2},2,,Nicola Leonard,,Artifact,"{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.","ALL,ME2",Few remember that Ashnod's defilement of Terisiare's resources outstripped even that of her peers.,normal,3042,,,Rare,,Artifact
Astrolabe,{3},3,,Amy Weber,,Artifact,"{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.","ALL,ME3",,normal,3043,,,Common,,Artifact
Astrolabe,{3},3,,Amy Weber,,Artifact,"{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.","ALL,ME3",,normal,3044,,,Common,,Artifact
Awesome Presence,{U},1,U,Lawrence Snelly,,Enchantment — Aura,Enchant creature\nEnchanted creature can't be blocked unless defending player pays {3} for each creature he or she controls that's blocking it.,ALL,"""At the core of all power is raw passion.""Gerda Äagesdotter,\nArchmage of the Unseen",normal,3099,,,Common,Aura,Enchantment
Awesome Presence,{U},1,U,Lawrence Snelly,,Enchantment — Aura,Enchant creature\nEnchanted creature can't be blocked unless defending player pays {3} for each creature he or she controls that's blocking it.,ALL,"""I shape my weapons from the fears of my enemies.""\n—Chaeska, Keeper of Tresserhorn",normal,3100,,,Common,Aura,Enchantment
Balduvian Dead,{3}{B},4,"B,R",Mike Kimble,,Creature — Zombie,"{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.","ALL,CST,ME2",,normal,3066,2,3,Uncommon,Zombie,Creature
Balduvian Horde,{2}{R}{R},4,R,Brian Snõddy,,Creature — Human Barbarian,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.","ALL,6ED,pWOR,BTD,DKM,MED","""Peace will come only when we have taken Varchild's head.""\n—Lovisa Coldeyes,\nBalduvian Chieftain",normal,3161,5,5,Rare,"Human,Barbarian",Creature
Balduvian Trading Post,,,R,Tom Wänerstrand,,Land,"If Balduvian Trading Post would enter the battlefield, sacrifice an untapped Mountain instead. If you do, put Balduvian Trading Post onto the battlefield. If you don't, put it into its owner's graveyard.\n{T}: Add {C}{R} to your mana pool.\n{1}, {T}: Balduvian Trading Post deals 1 damage to target attacking creature.","ALL,ME2",,normal,3231,,,Rare,,Land
Balduvian War-Makers,{4}{R},5,R,Mike Kimble,,Creature — Human Barbarian,"Haste\nRampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)",ALL,"""Those mewling Barbarians will cower before my righteous steel!""\n—General Varchild",normal,3162,3,3,Common,"Human,Barbarian",Creature
