name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angelfire Crusader,{3}{W},4,"W,R","Edward P. Beard, Jr.",1,Creature — Human Soldier Knight,{R}: Angelfire Crusader gets +1/+0 until end of turn.,APC,Nothing burns hotter than the fires of holy rage.,normal,21253,2,3,Common,"Human,Soldier,Knight",Creature
Coalition Flag,{W},1,W,Darrell Riche,2,Enchantment — Aura,"Enchant creature you control\nEnchanted creature is a Flagbearer.\nWhile choosing targets as part of casting a spell or activating an ability, your opponents must choose at least one Flagbearer on the battlefield if able.",APC,,normal,26791,,,Uncommon,Aura,Enchantment
Coalition Honor Guard,{3}{W},4,W,Eric Peterson,3,Creature — Human Flagbearer,"While choosing targets as part of casting a spell or activating an ability, your opponents must choose at least one Flagbearer on the battlefield if able.","APC,EMA","Giving little thought to their own defense, they carried the flag that united their army.",normal,26371,2,4,Common,"Human,Flagbearer",Creature
Dega Disciple,{W},1,"W,B,R",Alan Pollack,4,Creature — Human Wizard,"{B}, {T}: Target creature gets -2/-0 until end of turn.\n{R}, {T}: Target creature gets +2/+0 until end of turn.",APC,"""There is no true equity of power. There is only more and less.""",normal,25852,1,1,Common,"Human,Wizard",Creature
Dega Sanctuary,{2}{W},3,W,Ben Thompson,5,Enchantment,"At the beginning of your upkeep, if you control a black or red permanent, you gain 2 life. If you control a black permanent and a red permanent, you gain 4 life instead.",APC,,normal,27178,,,Uncommon,,Enchantment
Degavolver,{1}{W},2,"W,B,R",Ron Spencer,6,Creature — Volver,"Kicker {1}{B} and/or {R} (You may pay an additional {1}{B} and/or {R} as you cast this spell.)\nIf Degavolver was kicked with its {1}{B} kicker, it enters the battlefield with two +1/+1 counters on it and with ""Pay 3 life: Regenerate Degavolver.""\nIf Degavolver was kicked with its {R} kicker, it enters the battlefield with a +1/+1 counter on it and with first strike.",APC,,normal,25947,1,1,Rare,Volver,Creature
Diversionary Tactics,{3}{W},4,W,Jerry Tiritilli,7,Enchantment,Tap two untapped creatures you control: Tap target creature.,APC,"""It's the oldest trick in the book,"" said Guff. ""And I ought to know—I wrote it.""",normal,28810,,,Uncommon,,Enchantment
Divine Light,{W},1,W,Christopher Moeller,8,Sorcery,Prevent all damage that would be dealt this turn to creatures you control.,APC,"""Phyrexia is an unforgiving place, and I am an angry lord in an unforgiving mood.""\n—Lord Windgrace",normal,27137,,,Common,,Sorcery
Enlistment Officer,{3}{W},4,W,Wayne England,9,Creature — Human Soldier,"First strike\nWhen Enlistment Officer enters the battlefield, reveal the top four cards of your library. Put all Soldier cards revealed this way into your hand and the rest on the bottom of your library in any order.",APC,,normal,27657,2,3,Uncommon,"Human,Soldier",Creature
False Dawn,{1}{W},2,W,Dave Dorman,10,Sorcery,"Until end of turn, spells and abilities you control that would add colored mana to your mana pool add that much white mana instead. Until end of turn, you may spend white mana as though it were mana of any color.\nDraw a card.",APC,,normal,27602,,,Rare,,Sorcery
Gerrard Capashen,{3}{W}{W},5,W,Brom,11,Legendary Creature — Human Soldier,"At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.\n{3}{W}: Tap target creature. Activate this ability only if Gerrard Capashen is attacking.","APC,DDE",,normal,26793,3,4,Rare,"Human,Soldier",Creature
