name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
All in Good Time,,,,Nic Klein,1,Scheme,"When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn.",ARC,"""Take a moment. Ponder the depths of your insignificance.""",scheme,212648,,,Common,,Scheme
Leonin Abunas,{3}{W},4,W,Darrell Riche,1,Creature — Cat Cleric,Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.),"MRD,ARC",Only leonin clerics who can survive the Razor Fields for one turning of the suns can stand in the Cave of Light.,normal,220527,2,5,Rare,"Cat,Cleric",Creature
All Shall Smolder in My Wake,,,,Jim Nelson,2,Scheme,"When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land.",ARC,"""It's my goal to find the melting point of every substance.""",scheme,212617,,,Common,,Scheme
Metallurgeon,{1}{W},2,W,Warren Mahy,2,Artifact Creature — Human Artificer,"{W}, {T}: Regenerate target artifact.","ALA,ARC","""By the time I got there, the heart had stopped. Fortunately, I was able to replace it with something better.""",normal,220460,1,2,Uncommon,"Human,Artificer","Artifact,Creature"
Approach My Molten Realm,,,,Jim Pavelec,3,Scheme,"When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead.",ARC,"""It's a dragon-infested lavascape of notorious peril. Make yourselves at home.""",scheme,212591,,,Common,,Scheme
Oblivion Ring,{2}{W},3,W,Franz Vohwinkel,3,Enchantment,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.\nWhen Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.","pFNM,LRW,ALA,HOP,ARC,DDG,CMD,M12,DDI,M13,MM2",,normal,220586,,,Common,,Enchantment
Behold the Power of Destruction,,,,Jesper Ejsing,4,Scheme,"When you set this scheme in motion, destroy all nonland permanents target opponent controls.",ARC,"""I'd call that a successful first test. Golem! Rearm the Doom Citadel!""",scheme,212585,,,Common,,Scheme
Path to Exile,{W},1,W,Todd Lockwood,4,Instant,"Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.","pWPN,CON,ARC,CMD,DDI,MMA,MD1",,normal,220511,,,Uncommon,,Instant
Choose Your Champion,,,,Jim Nelson,5,Scheme,"When you set this scheme in motion, target opponent chooses a player. Until your next turn, only you and the chosen player can cast spells and attack with creatures.",ARC,"""It seems the fate of the world rests on your shoulders, feeble child.""",scheme,212581,,,Common,,Scheme
Sanctum Gargoyle,{3}{W},4,W,Shelly Wan,5,Artifact Creature — Gargoyle,"Flying\nWhen Sanctum Gargoyle enters the battlefield, you may return target artifact card from your graveyard to your hand.","ALA,ARC,MMA","As their supplies of etherium dwindled, mechanists sent gargoyles farther and farther afield in search of salvage.",normal,220462,2,3,Common,Gargoyle,"Artifact,Creature"
