name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abu Ja'far,{W},1,W,"Ken Meyer, Jr.",,Creature — Human,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.","ARN,CHR",,normal,968,0,1,Uncommon,Human,Creature
Aladdin,{2}{R}{R},4,R,Julie Baroh,,Creature — Human Rogue,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.","ARN,CHR,ME4",,normal,955,1,1,Rare,"Human,Rogue",Creature
Aladdin's Lamp,{10},10,,Mark Tedin,,Artifact,"{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.","ARN,3ED,4ED",,normal,900,,,Rare,,Artifact
Aladdin's Ring,{8},8,,Dan Frazier,,Artifact,"{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.","ARN,3ED,4ED,5ED,6ED,7ED,8ED,9ED","""After these words the magician drew a ring off his finger, and put it on one of Aladdin's, saying: 'It is a talisman against all evil, so long as you obey me.'"" —The Arabian Nights, Junior Classics trans.",normal,901,,,Rare,,Artifact
Ali Baba,{R},1,R,Julie Baroh,,Creature — Human Rogue,{R}: Tap target Wall.,"ARN,4ED","""When he reached the entrance of the cavern, he pronounced the words, ‘Open, Sesame!'"" —The Arabian Nights, Junior Classics trans.",normal,956,1,1,Uncommon,"Human,Rogue",Creature
Ali from Cairo,{2}{R}{R},4,R,Mark Poole,,Creature — Human,Damage that would reduce your life total to less than 1 reduces it to 1 instead.,"ARN,ME4",,normal,957,0,1,Rare,Human,Creature
Army of Allah,{1}{W}{W},3,W,Brian Snõddy,,Instant,Attacking creatures get +2/+0 until end of turn.,ARN,On the day of victory no one is tired. —Arab proverb,normal,969,,,Common,,Instant
Army of Allah,{1}{W}{W},3,W,Brian Snõddy,,Instant,Attacking creatures get +2/+0 until end of turn.,ARN,On the day of victory no one is tired. —Arab proverb,normal,970,,,Common,,Instant
Bazaar of Baghdad,,,,Jeff A. Menges,,Land,"{T}: Draw two cards, then discard three cards.","ARN,ME3,VMA",,normal,984,,,Uncommon,,Land
Bird Maiden,{2}{R},3,R,Kaja Foglio,,Creature — Human Bird,Flying,"ARN,4ED,5ED,ME4","""Four things that never meet do here unite To shed my blood and to ravage my heart, A radiant brow and tresses that beguile And rosy cheeks and a glittering smile."" —The Arabian Nights, trans. Haddawy",normal,958,1,2,Common,"Human,Bird",Creature
Bird Maiden,{2}{R},3,R,Kaja Foglio,,Creature — Human Bird,Flying,"ARN,4ED,5ED,ME4","""Four things that never meet do here unite To shed my blood and to ravage my heart, A radiant brow and tresses that beguile And rosy cheeks and a glittering smile."" —The Arabian Nights, trans. Haddawy",normal,959,1,2,Common,"Human,Bird",Creature
Bottle of Suleiman,{4},4,,Jesper Myrfors,,Artifact,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield. If you lose the flip, Bottle of Suleiman deals 5 damage to you.","ARN,3ED,4ED,5ED,6ED,ME4",,normal,902,,,Rare,,Artifact
Brass Man,{1},1,,Christopher Rush,,Artifact Creature — Construct,"Brass Man doesn't untap during your untap step.\nAt the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.","ARN,3ED,4ED,ME4",,normal,903,1,3,Uncommon,Construct,"Artifact,Creature"
Camel,{W},1,W,Sandra Everingham,,Creature — Camel,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\nAs long as Camel is attacking, prevent all damage Deserts would deal to Camel and to creatures banded with Camel.",ARN,"Everyone knew Walid was a pious man, for he had been blessed with many sons, many jewels, and a great many Camels.",normal,971,0,1,Common,Camel,Creature
City in a Bottle,{2},2,,Drew Tucker,,Artifact,"Whenever a nontoken permanent originally printed in the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it.\nPlayers can't play cards originally printed in the Arabian Nights expansion.","ARN,VMA",,normal,904,,,Rare,,Artifact
City of Brass,,,,Mark Tedin,,Land,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color to your mana pool.","ARN,CHR,5ED,6ED,pSUS,7ED,8ED,ME4,MMA,MD1",,normal,985,,,Uncommon,,Land
Cuombajj Witches,{B}{B},2,B,Kaja Foglio,,Creature — Human Wizard,{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.,"ARN,CHR,ATH,MED",,normal,914,1,3,Common,"Human,Wizard",Creature
