name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aesthir Glider,{3},3,,Ruth Thompson,,Artifact Creature — Bird,Flying\nAesthir Glider can't block.,"ALL,ATH,ME4","""A fine example of the rewards of artifice: a thoroughly obedient steed with wings of Soldevi steel.""\n—Arcum Dagsson,\nSoldevi Machinist",normal,,2,1,Special,Bird,"Artifact,Creature"
Armageddon,{3}{W},4,W,Jesper Myrfors,,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,PO2,pJGP,ATH,6ED,S99,MED,ME4,VMA,V14",,normal,,,,Special,,Sorcery
Armored Pegasus,{1}{W},2,W,Andrew Robinson,,Creature — Pegasus,Flying,"POR,pPOD,TMP,ATH,6ED,BRB,S00,TPR","Asked how it survived a run-in with a bog imp, the pegasus just shook its mane and burped.",normal,,1,2,Special,Pegasus,Creature
Benalish Knight,{2}{W},3,W,Zina Saunders,,Creature — Human Knight,Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.),"WTH,ATH,10E","""We called them ‘armored lightning.'""\n—Gerrard of the Weatherlight",normal,,2,2,Special,"Human,Knight",Creature
Black Knight,{B}{B},2,B,Adrian Smith,,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,pFNM,MED,M10,M11,ME4",Battle doesn't need a purpose; the battle is its own purpose. You don't ask why a plague spreads or a field burns. Don't ask why I fight.,normal,,2,2,Special,"Human,Knight",Creature
Brushland,,,"G,W",Bryon Wackwitz,,Land,{T}: Add {C} to your mana pool.\n{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.,"ICE,5ED,ATH,6ED,7ED,9ED,10E",,normal,,,,Special,,Land
Canopy Spider,{1}{G},2,G,Christopher Rush,,Creature — Spider,Reach (This creature can block creatures with flying.),"TMP,ATH,7ED,8ED,10E,TPR","""We know our place in the cycle of life—and it is not as flies.""\n—Eladamri, Lord of Leaves",normal,,1,3,Special,Spider,Creature
Carnivorous Plant,{3}{G},4,G,Quinton Hoover,,Creature — Plant Wall,Defender,"DRK,4ED,ATH,MED","""It had a mouth like that of a great beast, and gnashed its teeth as it strained to reach us. I am thankful it possessed no means of locomotion.""\n—Vervamon the Elder",normal,,4,5,Special,"Plant,Wall",Creature
Combat Medic,{2}{W},3,W,Liz Danforth,,Creature — Human Cleric Soldier,{1}{W}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,"FEM,ATH,ME2","""Without Combat Medics, Icatia would probably not have withstood the forces of chaos as long as it did.""\n—Sarpadian Empires, vol. VI",normal,,0,2,Special,"Human,Cleric,Soldier",Creature
Cuombajj Witches,{B}{B},2,B,Kaja Foglio,,Creature — Human Wizard,{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.,"ARN,CHR,ATH,MED",,normal,,1,3,Special,"Human,Wizard",Creature
