name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Amulet of Kroog,{2},2,,Margaret Organ-Kean,,Artifact,"{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.","ATQ,4ED,5ED,ME4","Among the first allies Urza gained were the people of Kroog. As a sign of friendship, Urza gave the healers of the city potent amulets; afterwards, thousands journeyed to Kroog in hope of healing, greatly adding to the city's glory.",normal,992,,,Common,,Artifact
Argivian Archaeologist,{1}{W}{W},3,W,Amy Weber,,Creature — Human Artificer,"{W}{W}, {T}: Return target artifact card from your graveyard to your hand.","ATQ,MED","Fascinated by the lore of ancient struggles, the Archaeologist searches incessantly for remnants of an earlier, more powerful era.",normal,1064,1,1,Rare,"Human,Artificer",Creature
Argivian Blacksmith,{1}{W}{W},3,W,Kerstin Kaman,,Creature — Human Artificer,{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.,"ATQ,ME4","Through years of study and training, the Blacksmiths of Argive became adept at reassembling the mangled remains of the strange, mechanical creatures abounding in their native land.",normal,1065,2,2,Common,"Human,Artificer",Creature
Argothian Pixies,{1}{G},2,G,Amy Weber,,Creature — Faerie,Argothian Pixies can't be blocked by artifact creatures.\nPrevent all damage that would be dealt to Argothian Pixies by artifact creatures.,"ATQ,CHR,ME4","After the rape of Argoth Forest during the rule of the artificers, the Pixies of Argoth bent their magic to more practical ends.",normal,1050,2,1,Common,Faerie,Creature
Argothian Treefolk,{3}{G}{G},5,G,Amy Weber,,Creature — Treefolk,Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.,"ATQ,ME4","Haunting cries we hear in our dreams\nAs the forest dies, a death from\nmachines.",normal,1051,3,5,Common,Treefolk,Creature
Armageddon Clock,{6},6,,Amy Weber,,Artifact,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.\nAt the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.\n{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.","ATQ,3ED,4ED,ME4",,normal,993,,,Uncommon,,Artifact
Artifact Blast,{R},1,R,Mark Poole,,Instant,Counter target artifact spell.,"ATQ,MED,ME4","The first line of defense against Urza and Mishra, the Artifact Blast achieved widespread fame until an unlucky mage discovered it was useless on the devices the brothers had already created.",normal,1057,,,Common,,Instant
Artifact Possession,{2}{B},3,B,Christopher Rush,,Enchantment — Aura,"Enchant artifact\nWhenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.",ATQ,Any black mage could coax a Thraxodemon to inhabit a magical device.,normal,1036,,,Common,Aura,Enchantment
Artifact Ward,{W},1,W,Douglas Shuler,,Enchantment — Aura,Enchant creature\nEnchanted creature can't be blocked by artifact creatures.\nPrevent all damage that would be dealt to enchanted creature by artifact sources.\nEnchanted creature can't be the target of abilities from artifact sources.,ATQ,,normal,1066,,,Common,Aura,Enchantment
Ashnod's Altar,{3},3,,Anson Maddocks,,Artifact,Sacrifice a creature: Add {C}{C} to your mana pool.,"ATQ,CHR,5ED,6ED,ME4,EMA",,normal,994,,,Uncommon,,Artifact
Ashnod's Battle Gear,{2},2,,Mark Poole,,Artifact,"You may choose not to untap Ashnod's Battle Gear during your untap step.\n{2}, {T}: Target creature you control gets +2/-2 for as long as Ashnod's Battle Gear remains tapped.","ATQ,4ED",This horrid invention clearly illustrates why Mishra's lieutenant was feared as much by her troops as by her foes.,normal,995,,,Uncommon,,Artifact
Ashnod's Transmogrant,{1},1,,Mark Tedin,,Artifact,"{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.","ATQ,CHR,5ED,MED",Ashnod found few willing to trade their humanity for the power she offered them.,normal,996,,,Uncommon,,Artifact
Atog,{1}{R},2,R,Jesper Myrfors,,Creature — Atog,Sacrifice an artifact: Atog gets +2/+2 until end of turn.,"ATQ,3ED,5ED,MRD,ME4",,normal,1058,1,2,Common,Atog,Creature
Battering Ram,{2},2,,Jeff A. Menges,,Artifact Creature — Construct,"At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)\nWhenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.","ATQ,4ED,RQS,ITP,5ED","By the time Mishra was defeated, no mage was foolish enough to rely heavily on walls.",normal,997,1,1,Common,Construct,"Artifact,Creature"
Bronze Tablet,{6},6,,Tom Wänerstrand,,Artifact,"Remove Bronze Tablet from your deck before playing if you're not playing for ante.\nBronze Tablet enters the battlefield tapped.\n{4}, {T}: Exile Bronze Tablet and target nontoken permanent an opponent owns. That player may pay 10 life. If he or she does, put Bronze Tablet into its owner's graveyard. Otherwise, that player owns Bronze Tablet and you own the other exiled card.","ATQ,4ED",,normal,998,,,Rare,,Artifact
Candelabra of Tawnos,{1},1,,Douglas Shuler,,Artifact,"{X}, {T}: Untap X target lands.","ATQ,ME4","Tawnos learned quickly from Urza that utter simplicity often led to wondrous, yet subtle utility.",normal,999,,,Rare,,Artifact
Circle of Protection: Artifacts,{1}{W},2,W,Pete Venters,,Enchantment,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.","ATQ,4ED,5ED,5DN",,normal,1067,,,Uncommon,,Enchantment
Citanul Druid,{1}{G},2,G,Jeff A. Menges,,Creature — Human Druid,"Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.","ATQ,ME4","Driven mad by the fall of Argoth, the Citanul Druids found peace only in battle.",normal,1052,1,1,Uncommon,"Human,Druid",Creature
Clay Statue,{4},4,,Jesper Myrfors,,Artifact Creature — Golem,{2}: Regenerate Clay Statue.,"ATQ,4ED,5ED,ME4","Tawnos won fame as Urza's greatest assistant. After he created these warriors, Urza ended his apprenticeship, promoting him directly to the rank of master.",normal,1000,3,1,Common,Golem,"Artifact,Creature"
Clockwork Avian,{5},5,,Randy Asplund-Faith,,Artifact Creature — Bird,"Flying\nClockwork Avian enters the battlefield with four +1/+0 counters on it.\nAt end of combat, if Clockwork Avian attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Avian. This ability can't cause the total number of +1/+0 counters on Clockwork Avian to be greater than four. Activate this ability only during your upkeep.","ATQ,4ED,BTD,ME4",,normal,1001,0,4,Rare,Bird,"Artifact,Creature"
Colossus of Sardia,{9},9,,Jesper Myrfors,,Artifact Creature — Golem,Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nColossus of Sardia doesn't untap during your untap step.\n{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.,"ATQ,4ED,5ED,10E,ME4",From the Sardian mountains wakes ancient doom:\nWarrior born from a rocky womb.,normal,1002,9,9,Rare,Golem,"Artifact,Creature"
Coral Helm,{3},3,,Amy Weber,,Artifact,"{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.","ATQ,4ED,5ED,ME4",,normal,1003,,,Rare,,Artifact
Crumble,{G},1,G,Jesper Myrfors,,Instant,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.,"ATQ,3ED,4ED,5ED,ME4",The spirits of Argoth grant new life to those who repent the folly of enslaving their labors to devices.,normal,1053,,,Common,,Instant
Cursed Rack,{4},4,,Richard Thomas,,Artifact,"As Cursed Rack enters the battlefield, choose an opponent.\nThe chosen player's maximum hand size is four.","ATQ,4ED,MED",Ashnod invented several torture techniques that could make victims even miles away beg for mercy as if the End had come.,normal,1004,,,Uncommon,,Artifact
Damping Field,{2}{W},3,W,Justin Hampton,,Enchantment,Players can't untap more than one artifact during their untap steps.,ATQ,"Eventually, mages learned to harness the power of natural damping fields and use it for their own ends.",normal,1068,,,Uncommon,,Enchantment
Detonate,{X}{R},1,R,Randy Asplund-Faith,,Sorcery,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller.,"ATQ,4ED,RQS,ITP,5ED,MRD,ME4",,normal,1059,,,Uncommon,,Sorcery
Drafna's Restoration,{U},1,U,Amy Weber,,Sorcery,Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.,ATQ,"Drafna, founder of the College of Lat-Nam, could create a working model from even the smallest remnants of a newly unearthed artifact.",normal,1037,,,Common,,Sorcery
Dragon Engine,{3},3,,Anson Maddocks,,Artifact Creature — Construct,{2}: Dragon Engine gets +1/+0 until end of turn.,"ATQ,3ED,4ED,5ED,6ED,MED,ME4",Those who believed the city of Kroog would never fall to Mishra's forces severely underestimated the might of his war machines.,normal,1005,1,3,Common,Construct,"Artifact,Creature"
Dwarven Weaponsmith,{1}{R},2,R,Mark Poole,,Creature — Dwarf Artificer,"{T}, Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate this ability only during your upkeep.","ATQ,3ED",,normal,1060,1,1,Uncommon,"Dwarf,Artificer",Creature
Energy Flux,{2}{U},3,U,Kaja Foglio,,Enchantment,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.""","ATQ,3ED,4ED,RQS,ITP,5ED,MMQ,ME4",,normal,1038,,,Uncommon,,Enchantment
