name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Glory's Rise,{5}{W}{W},7,W,James Ryman,1,Creature — Angel,"Flying\nWhen Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.","pMEI,AVR","""Justice isn't done until undeath is undone.""",normal,239993,4,6,Rare,Angel,Creature
Angel of Jubilation,{1}{W}{W}{W},4,W,Terese Nielsen,2,Creature — Angel,Flying\nOther nonblack creatures you control get +1/+1.\nPlayers can't pay life or sacrifice creatures to cast spells or activate abilities.,AVR,"""Though Innistrad is not cleansed of evil, we finally have cause to rejoice.""",normal,240120,3,3,Rare,Angel,Creature
Angel's Mercy,{2}{W}{W},4,W,Greg Staples,3,Instant,You gain 7 life.,"M10,M12,AVR,M13","""I understand your fears. I pity your doubts. I absolve you of both.""",normal,240044,,,Common,,Instant
Angelic Wall,{1}{W},2,W,Allen Williams,4,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14","""The air stirred as if fanned by angels' wings, and the enemy was turned aside.""\n—Tales of Ikarov the Voyager",normal,278065,0,4,Common,Wall,Creature
Archangel,{5}{W}{W},7,W,Cynthia Sheppard,5,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13","The sky rang with the cries of armored seraphs, and the darkness made a tactical retreat.",normal,240205,5,5,Uncommon,Angel,Creature
"Avacyn, Angel of Hope",{5}{W}{W}{W},8,W,Jason Chan,6,Legendary Creature — Angel,"Flying, vigilance, indestructible\nOther permanents you control have indestructible.","AVR,V15","A golden helix streaked skyward from the Helvault. A thunderous explosion shattered the silver monolith and Avacyn emerged, free from her prison at last.",normal,239961,8,8,Mythic Rare,Angel,Creature
Banishing Stroke,{5}{W},6,W,Igor Kieryluk,7,Instant,"Put target artifact, creature, or enchantment on the bottom of its owner's library.\nMiracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",AVR,,normal,240156,,,Uncommon,,Instant
Builder's Blessing,{3}{W},4,W,John Stanko,8,Enchantment,Untapped creatures you control get +0/+2.,AVR,"""Mix the mortar with holy wards, or blood will run in the streets.""\n—Vadvar, Thraben stonewright",normal,239990,,,Uncommon,,Enchantment
Call to Serve,{1}{W},2,W,Jaime Jones,9,Enchantment — Aura,"Enchant nonblack creature\nEnchanted creature gets +1/+2, has flying, and is an Angel in addition to its other types.",AVR,"Grace is a gift, never a reward.",normal,240081,,,Common,Aura,Enchantment
Cathars' Crusade,{3}{W}{W},5,W,Karl Kopinski,10,Enchantment,"Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control.","AVR,C14",Avacyn's holy warriors kept hope alive in her darkest hours. Now they will carry that hope across Innistrad.,normal,276198,,,Rare,,Enchantment
Cathedral Sanctifier,{W},1,W,Michael C. Hayes,11,Creature — Human Cleric,"When Cathedral Sanctifier enters the battlefield, you gain 3 life.","AVR,DDQ","""Evil will soon be vanquished. What Innistrad most needs now is healing.""",normal,240136,1,1,Common,"Human,Cleric",Creature
Cloudshift,{W},1,W,Howard Lyon,12,Instant,"Exile target creature you control, then return that card to the battlefield under your control.",AVR,"""Even storm clouds bow to worship Avacyn.""\n—Elder Rimheit",normal,240006,,,Common,,Instant
Commander's Authority,{4}{W},5,W,Johannes Voss,13,Enchantment — Aura,"Enchant creature\nEnchanted creature has ""At the beginning of your upkeep, put a 1/1 white Human creature token onto the battlefield.""",AVR,"""Wear her symbol with honor, a sign of faith upheld and honest deeds bravely done.""",normal,278252,,,Uncommon,Aura,Enchantment
Cursebreak,{1}{W},2,W,Sam Wolfe Connelly,14,Instant,Destroy target enchantment. You gain 2 life.,AVR,No longer the village pariah. No longer taunted and shamed. Sigrun was finally free.,normal,240124,,,Common,,Instant
Defang,{1}{W},2,W,Steven Belledin,15,Enchantment — Aura,Enchant creature\nPrevent all damage that would be dealt by enchanted creature.,AVR,"Once vampires are disarmed, they're given wooden swords and forced to assist in the training of Midnight Duelists.",normal,240087,,,Common,Aura,Enchantment
Defy Death,{3}{W}{W},5,W,Karl Kopinski,16,Sorcery,"Return target creature card from your graveyard to the battlefield. If it's an Angel, put two +1/+1 counters on it.",AVR,"Gisela cornered the murderous demon among the graves of the dead villagers. ""A fitting end,"" she murmured as she raised her sword.",normal,239977,,,Uncommon,,Sorcery
Devout Chaplain,{2}{W},3,W,Lucas Graciano,17,Creature — Human Cleric,"{T}, Tap two untapped Humans you control: Exile target artifact or enchantment.",AVR,"""By Avacyn's decree, we shall cleanse these relics of their demonic past.""",normal,276195,2,2,Uncommon,"Human,Cleric",Creature
Divine Deflection,{X}{W},1,W,Steve Prescott,18,Instant,"Prevent the next X damage that would be dealt to you and/or permanents you control this turn. If damage is prevented this way, Divine Deflection deals that much damage to target creature or player.",AVR,,normal,240072,,,Rare,,Instant
Emancipation Angel,{1}{W}{W},3,W,Scott Chou,19,Creature — Angel,"Flying\nWhen Emancipation Angel enters the battlefield, return a permanent you control to its owner's hand.","AVR,DDQ","""You have done your best. I give you leave to rest.""",normal,239980,3,3,Uncommon,Angel,Creature
Entreat the Angels,{X}{X}{W}{W}{W},3,W,Todd Lockwood,20,Sorcery,Put X 4/4 white Angel creature tokens with flying onto the battlefield.\nMiracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.),"AVR,V15",,normal,247426,,,Mythic Rare,,Sorcery
Farbog Explorer,{2}{W},3,W,Scott Chou,21,Creature — Human Scout,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),AVR,"""I'd slog through a thousand swamps to help one soul find rest.""",normal,240108,2,3,Common,"Human,Scout",Creature
Goldnight Commander,{3}{W},4,W,Chris Rahn,22,Creature — Human Cleric Soldier,"Whenever another creature enters the battlefield under your control, creatures you control get +1/+1 until end of turn.",AVR,"""One faith, but many hands in victory.""",normal,240029,2,2,Uncommon,"Human,Cleric,Soldier",Creature
Goldnight Redeemer,{4}{W}{W},6,W,Karl Kopinski,23,Creature — Angel,"Flying\nWhen Goldnight Redeemer enters the battlefield, you gain 2 life for each other creature you control.","AVR,DDQ",The Host sings of Avacyn's return without a single verse about its own suffering.,normal,239998,4,4,Uncommon,Angel,Creature
