name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Acolyte's Reward,{1}{W},2,W,Slawomir Maniak,1,Instant,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)",BNG,,normal,378373,,,Uncommon,,Instant
Akroan Phalanx,{3}{W},4,"W,R",Steve Prescott,2,Creature — Human Soldier,Vigilance\n{2}{R}: Creatures you control get +1/+0 until end of turn.,BNG,"Shields up, spears out, heels set, hearts firm.",normal,378374,3,3,Uncommon,"Human,Soldier",Creature
Akroan Skyguard,{1}{W},2,W,Mark Winters,3,Creature — Human Soldier,"Flying\nHeroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.",BNG,"""Trust me. When you have earned a god's favor, you'll know.""",normal,378375,1,1,Common,"Human,Soldier",Creature
Archetype of Courage,{1}{W}{W},3,W,Willian Murai,4,Enchantment Creature — Human Soldier,Creatures you control have first strike.\nCreatures your opponents control lose first strike and can't have or gain first strike.,BNG,"""It has been my experience that soldiers most fervently follow generals who lead by example.""\n—Elspeth",normal,378376,2,2,Uncommon,"Human,Soldier","Enchantment,Creature"
"Brimaz, King of Oreskos",{1}{W}{W},3,W,Peter Mohrbacher,5,Legendary Creature — Cat Soldier,"Vigilance\nWhenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.\nWhenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.",BNG,,normal,378377,3,4,Mythic Rare,"Cat,Soldier",Creature
Dawn to Dusk,{2}{W}{W},4,W,Robbie Trevino,6,Sorcery,Choose one or both —\n• Return target enchantment card from your graveyard to your hand.\n• Destroy target enchantment.,"BNG,C15","""The numbers of Nyxborn among us have swelled. Is this a sign of the gods' favor, or does it portend something else?""",normal,378378,,,Uncommon,,Sorcery
Eidolon of Countless Battles,{1}{W}{W},3,W,Raymond Swanland,7,Enchantment Creature — Spirit,"Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nEidolon of Countless Battles and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.",BNG,,normal,378379,0,0,Rare,Spirit,"Enchantment,Creature"
Elite Skirmisher,{2}{W},3,W,Mark Winters,8,Creature — Human Soldier,"Heroic — Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature.",BNG,Some adopted the tactics of the leonin to combat the ferocity of the minotaurs.,normal,378380,3,1,Common,"Human,Soldier",Creature
Ephara's Radiance,{W},1,W,James Ryman,9,Enchantment — Aura,"Enchant creature\nEnchanted creature has ""{1}{W}, {T}: You gain 3 life.""",BNG,"""Civilization is the sum of Ephara's gifts.""\n—Olexa of the Twelve",normal,378381,,,Common,Aura,Enchantment
Excoriate,{3}{W},4,W,Johann Bodin,10,Sorcery,Exile target tapped creature.,BNG,The demon had flown past the reach of Erebos's whip but not the point of the sun god's spear.,normal,378382,,,Common,,Sorcery
Fated Retribution,{4}{W}{W}{W},7,W,Jonas De Ro,11,Instant,"Destroy all creatures and planeswalkers. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",BNG,,normal,378383,,,Rare,,Instant
Ghostblade Eidolon,{2}{W},3,W,Ryan Yee,12,Enchantment Creature — Spirit,"Bestow {5}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nDouble strike (This creature deals both first-strike and regular combat damage.)\nEnchanted creature gets +1/+1 and has double strike.","BNG,C15",,normal,378384,1,1,Uncommon,Spirit,"Enchantment,Creature"
