name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Day of Destiny,{3}{W},4,W,Daren Bader,1,Legendary Enchantment,Legendary creatures you control get +2/+2.,BOK,"""Rise like the sun, stand like the mountain, charge like the lion, die as a hero.""\n—General Takeno",normal,74517,,,Rare,,Enchantment
Empty-Shrine Kannushi,{W},1,W,Ron Spears,2,Creature — Human Cleric,Empty-Shrine Kannushi has protection from the colors of permanents you control.,BOK,"""Crease the folds, bend the paper, turn the spirits, shield the soul.""",normal,74513,1,1,Uncommon,"Human,Cleric",Creature
Faithful Squire,{1}{W}{W},3,W,Mark Zug,3a,Creature — Human Soldier,"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Faithful Squire.\nAt the beginning of the end step, if there are two or more ki counters on Faithful Squire, you may flip it.",BOK,,flip,74093,2,2,Uncommon,"Human,Soldier",Creature
"Kaiso, Memory of Loyalty",{1}{W}{W},3,W,Mark Zug,3b,Legendary Creature — Spirit,"Flying\nRemove a ki counter from Kaiso, Memory of Loyalty: Prevent all damage that would be dealt to target creature this turn.",BOK,,flip,74093,3,4,Uncommon,Spirit,Creature
Final Judgment,{4}{W}{W},6,W,Kev Walker,4,Sorcery,Exile all creatures.,BOK,"""The clashing warriors turned to face O-Kagachi, the greatest kami, and their sigh of awe was their last breath.""\n—Great Battles of Kamigawa",normal,81991,,,Rare,,Sorcery
Genju of the Fields,{W},1,W,Greg Staples,5,Enchantment — Aura,"Enchant Plains\n{2}: Until end of turn, enchanted Plains becomes a 2/5 white Spirit creature with ""Whenever this creature deals damage, its controller gains that much life."" It's still a land.\nWhen enchanted Plains is put into a graveyard, you may return Genju of the Fields from your graveyard to your hand.",BOK,,normal,74087,,,Uncommon,Aura,Enchantment
Heart of Light,{2}{W},3,W,Luca Zontini,6,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.,"BOK,10E","""There is a shining in the mortal heart that even the kami cannot reach.""\n—Sensei Golden-Tail",normal,81982,,,Common,Aura,Enchantment
"Hokori, Dust Drinker",{2}{W}{W},4,W,Darrell Riche,7,Legendary Creature — Spirit,"Lands don't untap during their controllers' untap steps.\nAt the beginning of each player's upkeep, that player untaps a land he or she controls.",BOK,,normal,74647,2,2,Rare,Spirit,Creature
Hundred-Talon Strike,{W},1,W,Matt Cavotta,8,Instant — Arcane,"Target creature gets +1/+0 and gains first strike until end of turn.\nSplice onto Arcane—Tap an untapped white creature you control. (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",BOK,,normal,74581,,,Common,Arcane,Instant
Indebted Samurai,{3}{W},4,W,Carl Critchlow,9,Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nWhenever a Samurai you control dies, you may put a +1/+1 counter on Indebted Samurai.",BOK,"""Forgive me, Saburo. I could not save you. But your blade will not rest in my hand.""",normal,74091,2,3,Uncommon,"Human,Samurai",Creature
Kami of False Hope,{W},1,W,Daren Bader,10,Creature — Spirit,Sacrifice Kami of False Hope: Prevent all combat damage that would be dealt this turn.,BOK,"""Across the rift of battle, a bridge of gossamer. And for one moment, it holds.""\n—Snow-Fur, kitsune poet",normal,74097,1,1,Common,Spirit,Creature
Kami of Tattered Shoji,{4}{W},5,W,Shishizaru,11,Creature — Spirit,"Whenever you cast a Spirit or Arcane spell, Kami of Tattered Shoji gains flying until end of turn.",BOK,"It remembered all the shadows lantern-cast upon its paper wings, and sometimes those silhouettes played across its shape again, acting out silent tragedies.",normal,74460,2,5,Common,Spirit,Creature
Kami of the Honored Dead,{5}{W}{W},7,W,Mark Zug,12,Creature — Spirit,"Flying\nWhenever Kami of the Honored Dead is dealt damage, you gain that much life.\nSoulshift 6 (When this creature dies, you may return target Spirit card with converted mana cost 6 or less from your graveyard to your hand.)",BOK,,normal,81977,3,5,Uncommon,Spirit,Creature
"Kentaro, the Smiling Cat",{1}{W},2,W,Donato Giancola,13,Legendary Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nYou may pay {X} rather than pay the mana cost for Samurai spells you cast, where X is that spell's converted mana cost.",BOK,"""The bonds of bushido will draw the dishonored back someday, and I will be there waiting.""",normal,81968,2,1,Rare,"Human,Samurai",Creature
Kitsune Palliator,{2}{W},3,W,Dave Dorman,14,Creature — Fox Cleric,{T}: Prevent the next 1 damage that would be dealt to each creature and each player this turn.,BOK,"""Who am I to judge who is deserving and who is not? That is a question for lords, not healers.""",normal,74603,0,2,Uncommon,"Fox,Cleric",Creature
Mending Hands,{W},1,W,Douglas Shuler,15,Instant,Prevent the next 4 damage that would be dealt to target creature or player this turn.,"BOK,9ED","""I can staunch their blood, mend their flesh, and knit their bones. But I cannot restore their hope.""\n—Tender-Hand, kitsune healer",normal,74538,,,Common,,Instant
Moonlit Strider,{3}{W},4,W,John Avon,16,Creature — Spirit,"Sacrifice Moonlit Strider: Target creature you control gains protection from the color of your choice until end of turn.\nSoulshift 3 (When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)","BOK,MM2",,normal,74028,1,4,Common,Spirit,Creature
"Opal-Eye, Konda's Yojimbo",{1}{W}{W},3,W,Greg Staples,17,Legendary Creature — Fox Samurai,"Defender (This creature can't attack.)\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\n{T}: The next time a source of your choice would deal damage this turn, that damage is dealt to Opal-Eye, Konda's Yojimbo instead.\n{1}{W}: Prevent the next 1 damage that would be dealt to Opal-Eye this turn.",BOK,,normal,74655,1,4,Rare,"Fox,Samurai",Creature
"Oyobi, Who Split the Heavens",{6}{W},7,W,Christopher Moeller,18,Legendary Creature — Spirit,"Flying\nWhenever you cast a Spirit or Arcane spell, put a 3/3 white Spirit creature token with flying onto the battlefield.",BOK,Her angry call split the sky. From that rift descended her champions.,normal,74027,3,6,Rare,Spirit,Creature
Patron of the Kitsune,{4}{W}{W},6,W,Ben Thompson,19,Legendary Creature — Spirit,"Fox offering (You may cast this card any time you could cast an instant by sacrificing a Fox and paying the difference in mana costs between this and the sacrificed Fox. Mana cost includes color.)\nWhenever a creature attacks, you may gain 1 life.",BOK,,normal,74620,5,6,Rare,Spirit,Creature
Scour,{2}{W}{W},4,W,Ittoku,20,Instant,"Exile target enchantment. Search its controller's graveyard, hand, and library for all cards with the same name as that enchantment and exile them. Then that player shuffles his or her library.","UDS,BOK",,normal,74640,,,Uncommon,,Instant
Shining Shoal,{X}{W}{W},2,W,Ben Thompson,21,Instant — Arcane,You may exile a white card with converted mana cost X from your hand rather than pay Shining Shoal's mana cost.\nThe next X damage that a source of your choice would deal to you and/or creatures you control this turn is dealt to target creature or player instead.,BOK,,normal,74519,,,Rare,Arcane,Instant
Silverstorm Samurai,{4}{W}{W},6,W,Michael Sutfin,22,Creature — Fox Samurai,"Flash\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",BOK,,normal,74545,3,3,Common,"Fox,Samurai",Creature
Split-Tail Miko,{1}{W},2,W,Kev Walker,23,Creature — Fox Cleric,"{W}, {T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.",BOK,"""I wish there were no use for those with my talents. I wish that I could walk Kamigawa forgotten and unneeded, with no war wounds to heal and no broken bones to mend.""",normal,74493,1,1,Common,"Fox,Cleric",Creature
Takeno's Cavalry,{3}{W},4,W,Darrell Riche,24,Creature — Human Samurai Archer,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\n{T}: Takeno's Cavalry deals 1 damage to target attacking or blocking Spirit.",BOK,"At night he perfected his aim, shooting spiderwebs by starlight.",normal,74597,1,1,Common,"Human,Samurai,Archer",Creature
