name,cost,artist,number,type,text,printings
Act of Authority,,Véronique Meignaud,1,Enchantment,"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.\nAt the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.",C13
Aerie Mystics,,Mark Zug,2,Creature — Bird Wizard,Flying\n{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.),"CON,C13"
Ajani's Pridemate,,Svetlin Velinov,3,Creature — Cat Soldier,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.","M11,DDH,C13,M15"
Angel of Finality,,Howard Lyon,4,Creature — Angel,"Flying\nWhen Angel of Finality enters the battlefield, exile all cards from target player's graveyard.",C13
Archangel,,Quinton Hoover,5,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13"
Azorius Herald,,Justin Sweet,6,Creature — Spirit,"Azorius Herald can't be blocked.\nWhen Azorius Herald enters the battlefield, you gain 4 life.
When Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it.","DIS,C13"
Cradle of Vitality,,Trevor Hairsine,7,Enchantment,"Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.","ALA,C13"
Curse of the Forsaken,,William Wu,8,Enchantment — Aura Curse,"Enchant player\nWhenever a creature attacks enchanted player, its controller gains 1 life.",C13
Darksteel Mutation,,Daniel Ljunggren,9,Enchantment — Aura,"Enchant creature\nEnchanted creature is an Insect artifact creature with base power and toughness 0/1 and has indestructible, and it loses all other abilities, card types, and creature types.",C13
Eternal Dragon,,Adam Rex,10,Creature — Dragon Spirit,"Flying\n{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)","SCG,pPRO,C13,VMA"
Fiend Hunter,,Wayne Reynolds,11,Creature — Human Cleric,"When Fiend Hunter enters the battlefield, you may exile another target creature.\nWhen Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control.","ISD,DDK,C13"
Flickerform,,Ron Spears,12,Enchantment — Aura,"Enchant creature\n{2}{W}{W}: Exile enchanted creature and all Auras attached to it. At the beginning of the next end step, return that card to the battlefield under its owner's control. If you do, return the other cards exiled this way to the battlefield under their owners' control attached to that creature.","RAV,C13"
Flickerwisp,,Jeremy Enecio,13,Creature — Elemental,"Flying\nWhen Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.","EVE,MMA,C13,C14"
Karmic Guide,,Allen Williams,14,Creature — Angel Spirit,"Flying, protection from black\nEcho {3}{W}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Karmic Guide enters the battlefield, return target creature card from your graveyard to the battlefield.","pJGP,ULG,C13,VMA"
Kirtar's Wrath,,Kev Walker,15,Sorcery,"Destroy all creatures. They can't be regenerated.\nThreshold — If seven or more cards are in your graveyard, instead destroy all creatures, then put two 1/1 white Spirit creature tokens with flying onto the battlefield. Creatures destroyed this way can't be regenerated.","ODY,C13"
"Kongming, "Sleeping Dragon"",,Gao Yan,16,Legendary Creature — Human Advisor,Other creatures you control get +1/+1.,"PTK,ME3,C13,VMA"
Mirror Entity,,Zoltan Boros & Gabor Szikszai,17,Creature — Shapeshifter,"Changeling (This card is every creature type.)\n{X}: Until end of turn, creatures you control have base power and toughness X/X and gain all creature types.","LRW,C13,MM2"
Mystic Barrier,,Matt Stewart,18,Enchantment,"When Mystic Barrier enters the battlefield or at the beginning of your upkeep, choose left or right.\nEach player may attack only the opponent seated nearest him or her in the last chosen direction and planeswalkers controlled by that player.",C13
Razor Hippogriff,,David Rapoza,19,Creature — Hippogriff,"Flying\nWhen Razor Hippogriff enters the battlefield, return target artifact card from your graveyard to your hand. You gain life equal to that card's converted mana cost.","SOM,C13"
Serene Master,,Mark Zug,20,Creature — Human Monk,"Whenever Serene Master blocks, exchange its power and the power of target creature it's blocking until end of combat.",C13
Serra Avatar,,Dermot Power,21,Creature — Avatar,"Serra Avatar's power and toughness are each equal to your life total.\nWhen Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.","pMEI,USG,pSUS,M13,C13,C14"
Stonecloaker,,Tomas Giorello,22,Creature — Gargoyle,"Flash (You may cast this spell any time you could cast an instant.)\nFlying
When Stonecloaker enters the battlefield, return a creature you control to its owner's hand.
When Stonecloaker enters the battlefield, exile target card from a graveyard.","PLC,C13,DDN"
Survival Cache,,Scott Chou,23,Sorcery,"You gain 2 life. Then if you have more life than an opponent, draw a card.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)","ROE,C13"
Tempt with Glory,,Michael Komarck,24,Sorcery,"Tempting offer — Put a +1/+1 counter on each creature you control. Each opponent may put a +1/+1 counter on each creature he or she controls. For each opponent who does, put a +1/+1 counter on each creature you control.",C13
Unexpectedly Absent,,Min Yum,25,Instant,Put target nonland permanent into its owner's library just beneath the top X cards of that library.,C13
Wall of Reverence,,Wayne Reynolds,26,Creature — Spirit Wall,"Defender, flying\nAt the beginning of your end step, you may gain life equal to the power of target creature you control.","CON,C13"
Wrath of God,,Kev Walker,27,Sorcery,Destroy all creatures. They can't be regenerated.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,BRB,7ED,pMPR,8ED,9ED,10E,C13,V14"
Arcane Denial,,Mark Zug,28,Instant,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.\nYou draw a card at the beginning of the next turn's upkeep.,"ALL,MED,C13"
Arcane Melee,,Jaime Jones,29,Enchantment,Instant and sorcery spells cost {2} less to cast.,"AVR,C13"
Augur of Bolas,,Slawomir Maniak,30,Creature — Merfolk Wizard,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.","M13,C13"
