name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Bastion Protector,{2}{W},3,W,Victor Adame Minguez,1,Creature — Human Soldier,Commander creatures you control get +2/+2 and have indestructible.,C15,"""As long as I stand, so will your cause.""",normal,405140,3,3,Rare,"Human,Soldier",Creature
Dawnbreak Reclaimer,{4}{W}{W},6,W,Tyler Jacobson,2,Creature — Angel,"Flying\nAt the beginning of your end step, choose a creature card in an opponent's graveyard, then that player chooses a creature card in your graveyard. You may return those cards to the battlefield under their owners' control.",C15,,normal,405189,5,5,Rare,Angel,Creature
Grasp of Fate,{1}{W}{W},3,W,Tomasz Jedruszek,3,Enchantment,"When Grasp of Fate enters the battlefield, for each opponent, exile up to one target nonland permanent that player controls until Grasp of Fate leaves the battlefield. (Those permanents return under their owners' control.)",C15,,normal,405249,,,Rare,,Enchantment
Herald of the Host,{3}{W}{W},5,W,Nils Hamm,4,Creature — Angel,"Flying, vigilance\nMyriad (Whenever this creature attacks, for each opponent other than defending player, you may put a token that's a copy of this creature onto the battlefield tapped and attacking that player or a planeswalker he or she controls. Exile the tokens at end of combat.)",C15,,normal,405256,4,4,Uncommon,Angel,Creature
Kalemne's Captain,{3}{W}{W},5,W,Tomasz Jedruszek,5,Creature — Giant Soldier,"Vigilance\n{5}{W}{W}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)\nWhen Kalemne's Captain becomes monstrous, exile all artifacts and enchantments.",C15,,normal,405275,5,5,Rare,"Giant,Soldier",Creature
Oreskos Explorer,{1}{W},2,W,Winona Nelson,6,Creature — Cat Scout,"When Oreskos Explorer enters the battlefield, search your library for up to X Plains cards, where X is the number of players who control more lands than you. Reveal those cards, put them into your hand, then shuffle your library.",C15,,normal,405326,2,2,Uncommon,"Cat,Scout",Creature
Righteous Confluence,{3}{W}{W},5,W,Kieran Yanner,7,Sorcery,Choose three. You may choose the same mode more than once.\n• Put a 2/2 white Knight creature token with vigilance onto the battlefield.\n• Exile target enchantment.\n• You gain 5 life.,C15,,normal,405358,,,Rare,,Sorcery
Shielded by Faith,{1}{W}{W},3,W,David Palumbo,8,Enchantment — Aura,"Enchant creature\nEnchanted creature has indestructible.\nWhenever a creature enters the battlefield, you may attach Shielded by Faith to that creature.",C15,,normal,405375,,,Rare,Aura,Enchantment
Æthersnatch,{4}{U}{U},6,U,Aaron Miller,9,Instant,"Gain control of target spell. You may choose new targets for it. (If that spell becomes a permanent, it enters the battlefield under your control.)",C15,"""You were saying?""",normal,405120,,,Rare,,Instant
Broodbirth Viper,{4}{U},5,U,Mathias Kollros,10,Creature — Snake,"Myriad (Whenever this creature attacks, for each opponent other than defending player, you may put a token that's a copy of this creature onto the battlefield tapped and attacking that player or a planeswalker he or she controls. Exile the tokens at end of combat.)\nWhenever Broodbirth Viper deals combat damage to a player, you may draw a card.",C15,,normal,405160,3,3,Uncommon,Snake,Creature
