name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Blessed Breath,{W},1,W,Tsutomu Kawade,1,Instant — Arcane,"Target creature you control gains protection from the color of your choice until end of turn.\nSplice onto Arcane {W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",CHK,,normal,50451,,,Common,Arcane,Instant
Bushi Tenderfoot,{W},1,W,Mark Zug,2a,Creature — Human Soldier,"When a creature dealt damage by Bushi Tenderfoot this turn dies, flip Bushi Tenderfoot.",CHK,,flip,78600,1,1,Uncommon,"Human,Soldier",Creature
Kenzo the Hardhearted,{W},1,W,Mark Zug,2b,Legendary Creature — Human Samurai,"Double strike; bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)",CHK,,flip,78600,3,4,Uncommon,"Human,Samurai",Creature
Cage of Hands,{2}{W},3,W,Mark Tedin,3,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.\n{1}{W}: Return Cage of Hands to its owner's hand.,"CHK,PC2,C15","""Our own actions built the prisons that now hold us. Our hands reached too far and tried to hold too much.""\n—Dosan the Falling Leaf",normal,50233,,,Common,Aura,Enchantment
Call to Glory,{1}{W},2,W,Wayne Reynolds,4,Instant,Untap all creatures you control. Samurai creatures you control get +1/+1 until end of turn.,CHK,"""General Takeno glared at us as if we were the enemy. ‘The day is not over yet,' he shouted, ‘and unless you have a nezumi's heart, you will stand and fight'""\n—Battle of Akagi River: A Survivor's Tale",normal,77140,,,Common,,Instant
Candles' Glow,{1}{W},2,W,Alan Pollack,5,Instant — Arcane,"Prevent the next 3 damage that would be dealt to target creature or player this turn. You gain life equal to the damage prevented this way.\nSplice onto Arcane {1}{W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",CHK,,normal,80292,,,Uncommon,Arcane,Instant
Cleanfall,{2}{W},3,W,Daren Bader,6,Sorcery — Arcane,Destroy all enchantments.,CHK,"During the war, the rites of purification were still effective, but the kami, not the kitsune, chose what to cleanse.",normal,80500,,,Uncommon,Arcane,Sorcery
Devoted Retainer,{W},1,W,Greg Hildebrandt,7,Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",CHK,"Deep within Eiganjo Castle lay the Palace of Infinite Halls, a seemingly endless network of corridors once guarded by a seemingly endless legion of samurai.",normal,50440,1,1,Common,"Human,Samurai",Creature
Eight-and-a-Half-Tails,{W}{W},2,W,Daren Bader,8,Legendary Creature — Fox Cleric,{1}{W}: Target permanent you control gains protection from white until end of turn.\n{1}: Target spell or permanent becomes white until end of turn.,"CHK,EMA","""Virtue is an inner light that can prevail in every soul.""",normal,50296,2,2,Rare,"Fox,Cleric",Creature
Ethereal Haze,{W},1,W,Chris Appelhans,9,Instant — Arcane,Prevent all damage that would be dealt by creatures this turn.,CHK,"""Imagine a dove flying through smoke. Does the dove injure the smoke? Does the smoke impede the dove?""\n—Teachings of Eight-and-a-Half-Tails",normal,80526,,,Common,Arcane,Instant
Ghostly Prison,{2}{W},3,W,Lars Grant-West,10,Enchantment,Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"pFNM,CHK,CMD,PC2","Destroyed in one of the first battles of the Kami War, the town of Reito still grieved.",normal,75328,,,Uncommon,,Enchantment
Harsh Deceiver,{3}{W},4,W,Heather Hudson,11,Creature — Spirit,"{1}: Look at the top card of your library.\n{2}: Reveal the top card of your library. If it's a land card, untap Harsh Deceiver and it gets +1/+1 until end of turn. Activate this ability only once each turn.",CHK,,normal,50343,1,4,Common,Spirit,Creature
"Hikari, Twilight Guardian",{3}{W}{W},5,W,Glen Angus,12,Legendary Creature — Spirit,"Flying\nWhenever you cast a Spirit or Arcane spell, you may exile Hikari, Twilight Guardian. If you do, return it to the battlefield under its owner's control at the beginning of the next end step.","CHK,MM2",,normal,79222,4,4,Rare,Spirit,Creature
Hold the Line,{1}{W}{W},3,W,Ron Spears,13,Instant,Blocking creatures get +7/+7 until end of turn.,"CHK,DDN","""Forgive me, Master Kami, but in the interest of my people I must halt your advance.""",normal,79144,,,Rare,,Instant
Honden of Cleansing Fire,{3}{W},4,W,Greg Staples,14,Legendary Enchantment — Shrine,"At the beginning of your upkeep, you gain 2 life for each Shrine you control.","CHK,EMA","To the sorrow of all, its fire was turned toward those who worshipped it.",normal,79159,,,Uncommon,Shrine,Enchantment
Horizon Seed,{4}{W},5,W,Matt Cavotta,15,Creature — Spirit,"Whenever you cast a Spirit or Arcane spell, regenerate target creature.",CHK,"In peaceful times, these beings escorted the honored kami to their new shrines. In the Kami War, they became the medics of an unstoppable army.",normal,79226,2,1,Uncommon,Spirit,Creature
Hundred-Talon Kami,{4}{W},5,W,Paolo Parente,16,Creature — Spirit,"Flying\nSoulshift 4 (When this creature dies, you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand.)",CHK,,normal,79145,2,3,Common,Spirit,Creature
Indomitable Will,{1}{W},2,W,Christopher Rush,17,Enchantment — Aura,Flash\nEnchant creature\nEnchanted creature gets +1/+2.,CHK,"""None of you are yet samurai. Defend your homes with honor, die for your cause, and perhaps then you will be worthy of the word.""\n—General Takeno",normal,50499,,,Common,Aura,Enchantment
Innocence Kami,{3}{W}{W},5,W,Mark Zug,18,Creature — Spirit,"{W}, {T}: Tap target creature.\nWhenever you cast a Spirit or Arcane spell, untap Innocence Kami.",CHK,"Her voice was light, her substance music.",normal,76636,2,3,Uncommon,Spirit,Creature
"Isamaru, Hound of Konda",{W},1,W,Christopher Moeller,19,Legendary Creature — Hound,,CHK,"The hound sniffed the air and let slip a low growl. General Takeno looked down at the faithful Isamaru and calmed him with a touch. ""Alert the men. The kami are coming.""",normal,79217,2,2,Rare,Hound,Creature
Kabuto Moth,{2}{W},3,W,Tomas Giorello,20,Creature — Spirit,Flying\n{T}: Target creature gets +1/+2 until end of turn.,CHK,"""Many great warriors died in the first days of the war, as the spirits of their weaponry turned against them with terrifying rage.""\n—Observations of the Kami War",normal,79105,1,2,Common,Spirit,Creature
Kami of Ancient Law,{1}{W},2,W,Mark Tedin,21,Creature — Spirit,Sacrifice Kami of Ancient Law: Destroy target enchantment.,"CHK,MM2","""Duty and law are the foundation on which civilization stands. They must not fall, for when they do, they take everything with them.""\n—Lord Konda",normal,50349,2,2,Common,Spirit,Creature
Kami of Old Stone,{3}{W},4,W,Stephen Tappin,22,Creature — Spirit,,"CHK,9ED","""There was a wall here. Now it is dust. A tower rose here. Now it is fallen. An army fought here. Now it is dead. A spirit was here. It is all that remains.""\n—Snow-Fur, kitsune poet",normal,79236,1,7,Uncommon,Spirit,Creature
Kami of the Painted Road,{4}{W},5,W,Ron Spencer,23,Creature — Spirit,"Whenever you cast a Spirit or Arcane spell, Kami of the Painted Road gains protection from the color of your choice until end of turn.",CHK,"In ancient times, precepts of kami law were inscribed onto bridges as a gesture of respect. During the war, humans regarded them as warnings of where not to travel.",normal,77136,3,3,Common,Spirit,Creature
Kami of the Palace Fields,{5}{W},6,W,Matt Cavotta,24,Creature — Spirit,"Flying, first strike\nSoulshift 5 (When this creature dies, you may return target Spirit card with converted mana cost 5 or less from your graveyard to your hand.)",CHK,,normal,50367,3,2,Uncommon,Spirit,Creature
Kitsune Blademaster,{2}{W},3,W,Keith Garletts,25,Creature — Fox Samurai,"First strike\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",CHK,"Those kitsune trained in the blade preferred to fight with a blade-catching jitte in the off hand, buying them just enough time to deliver the first deadly cut.",normal,50441,2,2,Common,"Fox,Samurai",Creature
Kitsune Diviner,{W},1,W,Pete Venters,26,Creature — Fox Cleric,{T}: Tap target Spirit.,CHK,She who once led prayers honoring the kami adapted to use her influence to stay them.,normal,76652,0,1,Common,"Fox,Cleric",Creature
Kitsune Healer,{3}{W},4,W,Michael Sutfin,27,Creature — Fox Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.\n{T}: Prevent all damage that would be dealt to target legendary creature this turn.,CHK,,normal,50437,2,2,Common,"Fox,Cleric",Creature
Kitsune Mystic,{3}{W},4,W,Jim Murray,28a,Creature — Fox Wizard,"At the beginning of the end step, if Kitsune Mystic is enchanted by two or more Auras, flip it.",CHK,,flip,78695,2,3,Rare,"Fox,Wizard",Creature
"Autumn-Tail, Kitsune Sage",{3}{W},4,W,Jim Murray,28b,Legendary Creature — Fox Wizard,{1}: Attach target Aura attached to a creature to another creature.,CHK,,flip,78695,4,5,Rare,"Fox,Wizard",Creature
Kitsune Riftwalker,{1}{W}{W},3,W,Pete Venters,29,Creature — Fox Wizard,Protection from Spirits and from Arcane,CHK,The wake of his passage shoved aside the influence of the kami.,normal,50412,2,1,Common,"Fox,Wizard",Creature
"Konda, Lord of Eiganjo",{5}{W}{W},7,W,John Bolton,30,Legendary Creature — Human Samurai,"Indestructible\nVigilance (Attacking doesn't cause this creature to tap.)\nBushido 5 (Whenever this creature blocks or becomes blocked, it gets +5/+5 until end of turn.)",CHK,,normal,78594,3,3,Rare,"Human,Samurai",Creature
Konda's Hatamoto,{1}{W},2,W,Lars Grant-West,31,Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nAs long as you control a legendary Samurai, Konda's Hatamoto gets +1/+2 and has vigilance. (Attacking doesn't cause this creature to tap.)",CHK,,normal,79201,1,2,Uncommon,"Human,Samurai",Creature
Lantern Kami,{W},1,W,John Avon,32,Creature — Spirit,Flying,CHK,"""Snuffing the light of a lantern without saying a small prayer is bad luck. Though its flame can only singe, its soul can repeatedly visit misery on one's house.""\n—Teachings of Eight-and-a-Half-Tails",normal,75319,1,1,Common,Spirit,Creature
Masako the Humorless,{2}{W},3,W,Ben Thompson,33,Legendary Creature — Human Advisor,Flash\nTapped creatures you control can block as though they were untapped.,CHK,"Konda's servants dared not neglect their duties for a moment under Masako's icy gaze, knowing that what she saw, Lord Konda would hear.",normal,79215,2,1,Rare,"Human,Advisor",Creature
Mothrider Samurai,{3}{W},4,W,Mark Zug,34,Creature — Human Samurai,"Flying\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",CHK,"When the night blossoms open, the wings of Eiganjo take flight.",normal,50385,2,2,Common,"Human,Samurai",Creature
Myojin of Cleansing Fire,{5}{W}{W}{W},8,W,Kev Walker,35,Legendary Creature — Spirit,Myojin of Cleansing Fire enters the battlefield with a divinity counter on it if you cast it from your hand.\nMyojin of Cleansing Fire has indestructible as long as it has a divinity counter on it.\nRemove a divinity counter from Myojin of Cleansing Fire: Destroy all other creatures.,CHK,,normal,78681,4,6,Rare,Spirit,Creature
"Nagao, Bound by Honor",{3}{W},4,W,Dave Dorman,36,Legendary Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nWhenever Nagao, Bound by Honor attacks, Samurai creatures you control get +1/+1 until end of turn.",CHK,,normal,79136,3,3,Uncommon,"Human,Samurai",Creature
Otherworldly Journey,{1}{W},2,W,Vance Kovacs,37,Instant — Arcane,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.","CHK,DDC,MMA,DD3_DVD,MM2","""The landscape shimmered and I felt a chill breeze. When my vision cleared, I found myself alone among the corpses of my fallen friends.""\n—Journal found in Numai",normal,50256,,,Uncommon,Arcane,Instant
Pious Kitsune,{2}{W},3,W,Anthony S. Waters,38,Creature — Fox Cleric,"At the beginning of your upkeep, put a devotion counter on Pious Kitsune. Then if a creature named Eight-and-a-Half-Tails is on the battlefield, you gain 1 life for each devotion counter on Pious Kitsune.\n{T}, Remove a devotion counter from Pious Kitsune: You gain 1 life.",CHK,,normal,79256,1,2,Common,"Fox,Cleric",Creature
Quiet Purity,{W},1,W,Shishizaru,39,Instant — Arcane,Destroy target enchantment.,CHK,"""When the Kami of Utter Silence passes, walls lose their secrets. Scrolls lose their lessons. Tapestries lose their beauty. Where there was meaning, there is only stillness.""\n—Sensei Hisoka",normal,50313,,,Common,Arcane,Instant
Reciprocate,{W},1,W,Pat Lee,40,Instant,Exile target creature that dealt damage to you this turn.,"pMPR,CHK,DDG","""Just as the noble soul calls virtue to itself, the evil soul summons harm.""\n—Teachings of Eight-and-a-Half-Tails",normal,50405,,,Uncommon,,Instant
Reverse the Sands,{6}{W}{W},8,W,Jeremy Jarvis,41,Sorcery,Redistribute any number of players' life totals. (Each of those players gets one life total back.),CHK,Worse than the years of aging was the burden of memory. The young monk lost his youth and gained a vicarious lifetime of hardship and woe.,normal,79125,,,Rare,,Sorcery
Samurai Enforcers,{4}{W}{W},6,W,Mitch Cotie,42,Creature — Human Samurai,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)",CHK,"From the moment they swore their oaths, they belonged to their lord, sword and soul.",normal,50408,4,4,Uncommon,"Human,Samurai",Creature
Samurai of the Pale Curtain,{W}{W},2,W,Christopher Moeller,43,Creature — Fox Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nIf a permanent would be put into a graveyard, exile it instead.",CHK,,normal,75381,2,2,Uncommon,"Fox,Samurai",Creature
Sensei Golden-Tail,{1}{W},2,W,Stephen Tappin,44,Legendary Creature — Fox Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\n{1}{W}, {T}: Put a training counter on target creature. That creature gains bushido 1 and becomes a Samurai in addition to its other creature types. Activate this ability only any time you could cast a sorcery.",CHK,,normal,78683,2,1,Rare,"Fox,Samurai",Creature
Silent-Chant Zubera,{1}{W},2,W,Ben Thompson,45,Creature — Zubera Spirit,"When Silent-Chant Zubera dies, you gain 2 life for each Zubera that died this turn.",CHK,"When the Honden of Cleansing Fire was abandoned, its attendants swarmed Kamigawa to erode mortal will.",normal,80510,1,2,Common,"Zubera,Spirit",Creature
"Takeno, Samurai General",{5}{W},6,W,Matt Cavotta,46,Legendary Creature — Human Samurai,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)\nEach other Samurai creature you control gets +1/+1 for each point of bushido it has.",CHK,,normal,75302,3,3,Rare,"Human,Samurai",Creature
Terashi's Cry,{3}{W},4,W,Jim Murray,47,Sorcery — Arcane,Tap up to three target creatures.,CHK,"""The sun kami is terrible to behold. When its temper flares, best seek shade and pray for forgiveness.""\n—Sensei Golden-Tail",normal,80285,,,Common,Arcane,Sorcery
Vassal's Duty,{3}{W},4,W,Dave Dorman,48,Enchantment,{1}: The next 1 damage that would be dealt to target legendary creature you control this turn is dealt to you instead.,CHK,"""My life is yours, my lord. There is no greater service than to yield it for your safety.""",normal,79199,,,Rare,,Enchantment
Vigilance,{W},1,W,Tsutomu Kawade,49,Enchantment — Aura,Enchant creature\nEnchanted creature has vigilance. (Attacking doesn't cause it to tap.),CHK,"""Put a spear in a peasant's hands, and you have an expendable troop. Put a purpose in his heart, and you win a warrior.""\n—Sensei Golden-Tail",normal,50414,,,Common,Aura,Enchantment
"Yosei, the Morning Star",{4}{W}{W},6,W,Hiro Izawa,50,Legendary Creature — Dragon Spirit,"Flying\nWhen Yosei, the Morning Star dies, target player skips his or her next untap step. Tap up to five target permanents that player controls.","CHK,MMA",,normal,78590,5,5,Rare,"Dragon,Spirit",Creature
