name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abu Ja'far,{W},1,W,"Ken Meyer, Jr.",,Creature — Human,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.","ARN,CHR",,normal,2838,0,1,Uncommon,Human,Creature
Active Volcano,{R},1,R,Justin Hampton,,Instant,Choose one —\n• Destroy target blue permanent.\n• Return target Island to its owner's hand.,"LEG,CHR,ME3",,normal,2839,,,Common,,Instant
Akron Legionnaire,{6}{W}{W},8,W,Mark Poole,,Creature — Giant Soldier,"Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.","LEG,CHR,5ED,ME3",,normal,2853,8,4,Rare,"Giant,Soldier",Creature
Aladdin,{2}{R}{R},4,R,Julie Baroh,,Creature — Human Rogue,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.","ARN,CHR,ME4",,normal,2840,1,1,Uncommon,"Human,Rogue",Creature
Angelic Voices,{2}{W}{W},4,W,Julie Baroh,,Enchantment,"Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.","LEG,CHR,ME4",,normal,2854,,,Rare,,Enchantment
Arcades Sabboth,{2}{G}{G}{W}{W}{U}{U},8,"W,U,G","Edward P. Beard, Jr.",,Legendary Creature — Elder Dragon,"Flying\nAt the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.\nEach untapped creature you control gets +0/+2 as long as it's not attacking.\n{W}: Arcades Sabboth gets +0/+1 until end of turn.","LEG,CHR,ME3",,normal,2866,7,7,Rare,"Elder,Dragon",Creature
Arena of the Ancients,{3},3,,Tom Wänerstrand,,Artifact,"Legendary creatures don't untap during their controllers' untap steps.\nWhen Arena of the Ancients enters the battlefield, tap all legendary creatures.","LEG,CHR,ME3",,normal,2775,,,Rare,,Artifact
Argothian Pixies,{1}{G},2,G,Amy Weber,,Creature — Faerie,Argothian Pixies can't be blocked by artifact creatures.\nPrevent all damage that would be dealt to Argothian Pixies by artifact creatures.,"ATQ,CHR,ME4","After the rape of Argoth Forest during the rule of the artificers, the Pixies of Argoth bent their magic to more practical ends.",normal,2824,2,1,Common,Faerie,Creature
Ashnod's Altar,{3},3,,Anson Maddocks,,Artifact,Sacrifice a creature: Add {C}{C} to your mana pool.,"ATQ,CHR,5ED,6ED,ME4,EMA",,normal,2776,,,Common,,Artifact
Ashnod's Transmogrant,{1},1,,Mark Tedin,,Artifact,"{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.","ATQ,CHR,5ED,MED",Ashnod found few willing to trade their humanity for the power she offered them.,normal,2777,,,Common,,Artifact
Axelrod Gunnarson,{4}{B}{B}{R}{R},8,"B,R",Scott Kirschner,,Legendary Creature — Giant,"Trample\nWhenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.","LEG,CHR,ME3",,normal,2867,5,5,Rare,Giant,Creature
Ayesha Tanaka,{W}{W}{U}{U},4,"W,U",Bryon Wackwitz,,Legendary Creature — Human Artificer,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\n{T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}. (Mana abilities can't be targeted.)","LEG,CHR",,normal,2868,2,2,Rare,"Human,Artificer",Creature
Azure Drake,{3}{U},4,U,Dan Frazier,,Creature — Drake,Flying,"LEG,CHR,5ED,BRB,9ED,M11",The Azure Drake would be more powerful were it not so easily distracted.,normal,2796,2,4,Uncommon,Drake,Creature
Banshee,{2}{B}{B},4,B,Jesper Myrfors,,Creature — Spirit,"{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.","DRK,CHR,ME3","Some say Banshees are the hounds of Death, baying to herd their prey into the arms of their master.",normal,2797,0,1,Uncommon,Spirit,Creature
Barl's Cage,{4},4,,Tom Wänerstrand,,Artifact,{3}: Target creature doesn't untap during its controller's next untap step.,"DRK,CHR,5ED,ME3","For a dozen years the Cage had held Lord Ith, but as the Pretender Mairsil's power weakened, so did the bars.",normal,2778,,,Rare,,Artifact
