name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Chaos Warp,{2}{R},3,R,Trevor Claxton,1,Instant,"The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it's a permanent card, he or she puts it onto the battlefield.","CMD,CM1,VMA,C14",,normal,338441,,,Rare,,Instant
Command Tower,,,,Adam Paquette,2,Land,{T}: Add to your mana pool one mana of any color in your commander's color identity.,"pJGP,CMD,CM1,C13,C15","When defeat is near and guidance is scarce, all eyes look in one direction.",normal,338442,,,Common,,Land
Decree of Pain,{6}{B}{B},8,B,Mathias Kollros,3,Sorcery,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.\nCycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)\nWhen you cycle Decree of Pain, all creatures get -2/-2 until end of turn.","SCG,CM1,C13",,normal,338453,,,Rare,,Sorcery
Desertion,{3}{U}{U},5,U,Richard Kane Ferguson,4,Instant,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.","VIS,6ED,CM1","First the insult, then the injury.",normal,338454,,,Rare,,Instant
"Diaochan, Artful Beauty",{3}{R},4,R,Miao Aili,5,Legendary Creature — Human Advisor,"{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate this ability only during your turn, before attackers are declared.","PTK,CM1",,normal,338449,1,1,Rare,"Human,Advisor",Creature
Dragonlair Spider,{2}{R}{R}{G}{G},6,"R,G",Carl Critchlow,6,Creature — Spider,"Reach\nWhenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield.","PC2,CM1","Swarms thrive in its nest, feeding on leathery bits of discarded wing.",normal,338446,5,6,Rare,Spider,Creature
Duplicant,{6},6,,Marco Nelor,7,Artifact Creature — Shapeshifter,"Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature.\nAs long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter.","MRD,ARC,CM1,EMA",,normal,338451,2,4,Rare,Shapeshifter,"Artifact,Creature"
"Edric, Spymaster of Trest",{1}{G}{U},3,"U,G",Volkan Baga,8,Legendary Creature — Elf Rogue,"Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.","CMD,CM1,CNS,VMA","""I am not at liberty to reveal my sources, but I can assure you, the price on your head is high.""",normal,338443,2,2,Rare,"Elf,Rogue",Creature
Kaalia of the Vast,{1}{W}{B}{R},4,"W,B,R",Michael Komarck,9,Legendary Creature — Human Cleric,"Flying\nWhenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.","CMD,CM1","""I'll have my revenge if I have to call on every force from above and below.""",normal,338444,2,2,Mythic Rare,"Human,Cleric",Creature
Loyal Retainers,{2}{W},3,W,Solomon Au Yeung,10,Creature — Human Advisor,"Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.","PTK,ME3,CM1",,normal,338450,1,1,Uncommon,"Human,Advisor",Creature
Maelstrom Wanderer,{5}{U}{R}{G},8,"U,R,G",Thomas M. Baxa,11,Legendary Creature — Elemental,"Creatures you control have haste.\nCascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order. Then do it again.)","PC2,CM1,EMA",,normal,338447,7,5,Mythic Rare,Elemental,Creature
The Mimeoplasm,{2}{G}{U}{B},5,"U,B,G",Svetlin Velinov,12,Legendary Creature — Ooze,"As The Mimeoplasm enters the battlefield, you may exile two creature cards from graveyards. If you do, it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card.","CMD,CM1",,normal,338445,0,0,Mythic Rare,Ooze,Creature
Mind's Eye,{5},5,,Karl Kopinski,13,Artifact,"Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.","MRD,CM1","""Ideas drift like petals on the wind. I have only to lift my face to the breeze.""",normal,338452,,,Rare,,Artifact
Mirari's Wake,{3}{G}{W},5,"W,G",Volkan Baga,14,Enchantment,"Creatures you control get +1/+1.\nWhenever you tap a land for mana, add one mana to your mana pool of any type that land produced.","JUD,pPRO,CM1,CNS","Even after a false god tore the magic from Dominaria, power still radiated from the Mirari sword that slew her.",normal,338455,,,Rare,,Enchantment
