name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Artisan of Kozilek,{9},9,,Jason Felix,1,Creature — Eldrazi,"When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.\nAnnihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)","pFNM,ROE,ARC,CMD,C14,MM2,DDP",,normal,247392,10,9,Uncommon,Eldrazi,Creature
Afterlife,{2}{W},3,W,Brian Snõddy,2,Instant,Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.,"MIR,MMQ,CMD,VMA,C14",,normal,247330,,,Uncommon,,Instant
Akroma's Vengeance,{4}{W}{W},6,W,Greg & Tim Hildebrandt,3,Sorcery,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)","ONS,HOP,CMD,V13",Ixidor had only to imagine their ruin and Akroma made it so.,normal,247343,,,Rare,,Sorcery
Alliance of Arms,{W},1,W,Johann Bodin,4,Sorcery,"Join forces — Starting with you, each player may pay any amount of mana. Each player puts X 1/1 white Soldier creature tokens onto the battlefield, where X is the total amount of mana paid this way.",CMD,,normal,228218,,,Rare,,Sorcery
Angelic Arbiter,{5}{W}{W},7,W,Steve Argyle,5,Creature — Angel,Flying\nEach opponent who cast a spell this turn can't attack with creatures.\nEach opponent who attacked with a creature this turn can't cast spells.,"M11,CMD",,normal,247318,5,6,Rare,Angel,Creature
Arbiter of Knollridge,{6}{W},7,W,Brandon Dorman,6,Creature — Giant Wizard,"Vigilance\nWhen Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.","LRW,CMD,C15","Though giants are mortal, they live so long and on such a grand scale that many small folk don't believe they ever truly die.",normal,247296,5,5,Rare,"Giant,Wizard",Creature
Archangel of Strife,{5}{W}{W},7,W,Greg Staples,7,Creature — Angel,"Flying\nAs Archangel of Strife enters the battlefield, each player chooses war or peace.\nCreatures controlled by players who chose war get +3/+0.\nCreatures controlled by players who chose peace get +0/+3.","CMD,V15",,normal,228246,6,6,Rare,Angel,Creature
Austere Command,{4}{W}{W},6,W,Wayne England,8,Sorcery,Choose two —\n• Destroy all artifacts.\n• Destroy all enchantments.\n• Destroy all creatures with converted mana cost 3 or less.\n• Destroy all creatures with converted mana cost 4 or greater.,"LRW,CMD",,normal,247297,,,Rare,,Sorcery
Bathe in Light,{1}{W},2,W,Alex Horley-Orlandelli,9,Instant,Radiance — Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.,"RAV,CMD","""Truth shines even in darkness. Those who march on the side of truth walk always in righteous light.""",normal,247370,,,Uncommon,,Instant
Celestial Force,{5}{W}{W}{W},8,W,Véronique Meignaud,10,Creature — Elemental,"At the beginning of each upkeep, you gain 3 life.",CMD,"""Wishing upon only one star seems like a failure of imagination.""\n—Vish Kal, Blood Arbiter",normal,228257,7,7,Rare,Elemental,Creature
Congregate,{3}{W},4,W,Mark Zug,11,Instant,Target player gains 2 life for each creature on the battlefield.,"USG,HOP,CMD,M14,M15","""In the gathering there is strength for all who founder, renewal for all who languish, love for all who sing.""\n—Song of All, canto 642",normal,247526,,,Common,,Instant
Crescendo of War,{3}{W},4,W,Daarken,12,Enchantment,"At the beginning of each upkeep, put a strife counter on Crescendo of War.\nAttacking creatures get +1/+0 for each strife counter on Crescendo of War.\nBlocking creatures you control get +1/+0 for each strife counter on Crescendo of War.","CMD,VMA",,normal,228253,,,Rare,,Enchantment
False Prophet,{2}{W}{W},4,W,Eric Peterson,13,Creature — Human Cleric,"When False Prophet dies, exile all creatures.","pPRE,UDS,CMD","""You lived for Serra's love. Will you not die for it?""",normal,247523,2,2,Rare,"Human,Cleric",Creature
Ghostly Prison,{2}{W},3,W,Wayne England,14,Enchantment,Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"pFNM,CHK,CMD,PC2","""May the memory of our fallen heroes ensnare the violent hearts of lesser men.""\n—Great Threshold of Monserkat inscription",normal,247173,,,Uncommon,,Enchantment
Hour of Reckoning,{4}{W}{W}{W},7,W,Randy Gallegos,15,Sorcery,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nDestroy all nontoken creatures.,"RAV,CMD","""Ravnica, like a hedge, must be pruned, leaving only leaves of verdant uniformity.""\n—Niszka, Selesnya evangel",normal,247383,,,Rare,,Sorcery
