name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Advantageous Proclamation,,,,Izzy,1,Conspiracy,(Start the game with this conspiracy face up in the command zone.)\nYour minimum deck size is reduced by five.,CNS,"""The beneficent council deems you worthy of favor. They hope this doesn't provoke envy from your peers.""",normal,382206,,,Uncommon,,Conspiracy
Backup Plan,,,,David Palumbo,2,Conspiracy,"(Start the game with this conspiracy face up in the command zone.)\nDraw an additional hand of seven cards as the game begins. Before taking mulligans, shuffle all but one of your hands into your library.",CNS,"""In the market for an alternative, friend?""",normal,382216,,,Rare,,Conspiracy
Brago's Favor,,,,Karla Ortiz,3,Conspiracy,Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nSpells with the chosen name you cast cost {1} less to cast.,CNS,,normal,382222,,,Common,,Conspiracy
Double Stroke,,,,Christopher Moeller,4,Conspiracy,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nWhenever you cast an instant or sorcery spell with the chosen name, you may copy it. You may choose new targets for the copy.",CNS,,normal,382253,,,Uncommon,,Conspiracy
Immediate Action,,,,Karl Kopinski,5,Conspiracy,Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nCreatures you control with the chosen name have haste.,CNS,,normal,382289,,,Common,,Conspiracy
Iterative Analysis,,,,Winona Nelson,6,Conspiracy,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nWhenever you cast an instant or sorcery spell with the chosen name, you may draw a card.",CNS,,normal,382292,,,Uncommon,,Conspiracy
Muzzio's Preparations,,,,Karl Kopinski,7,Conspiracy,Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nEach creature you control with the chosen name enters the battlefield with an additional +1/+1 counter on it.,CNS,,normal,382315,,,Common,,Conspiracy
Power Play,,,,Matt Stewart,8,Conspiracy,"(Start the game with this conspiracy face up in the command zone.)\nYou are the starting player. If multiple players would be the starting player, one of those players is chosen at random.",CNS,,normal,382332,,,Uncommon,,Conspiracy
Secret Summoning,,,,Lucas Graciano,9,Conspiracy,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nWhenever a creature with the chosen name enters the battlefield under your control, you may search your library for any number of cards with that name, reveal them, put them into your hand, then shuffle your library.",CNS,,normal,382355,,,Uncommon,,Conspiracy
Secrets of Paradise,,,,Tyler Jacobson,10,Conspiracy,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)\nCreatures you control with the chosen name have ""{T}: Add one mana of any color to your mana pool.""",CNS,,normal,382356,,,Common,,Conspiracy
