name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Prognostic Sphinx,{3}{U}{U},5,U,Jesper Ejsing,1,Creature — Sphinx,"Flying\nDiscard a card: Prognostic Sphinx gains hexproof until end of turn. Tap it.\nWhenever Prognostic Sphinx attacks, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","THS,CPK",,normal,,3,5,Special,Sphinx,Creature
Necropolis Fiend,{7}{B}{B},9,B,Svetlin Velinov,1,Creature — Demon,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nFlying\n{X}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn.","pPRE,CPK,KTK",,normal,,4,5,Special,Demon,Creature
Fated Intervention,{2}{G}{G}{G},5,G,Eric Deschamps,2,Instant,"Put two 3/3 green Centaur enchantment creature tokens onto the battlefield. If it's your turn, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","BNG,CPK",,normal,,,,Special,,Instant
Font of Fertility,{G},1,G,Jung Park,3,Enchantment,"{1}{G}, Sacrifice Font of Fertility: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.","JOU,CPK","Drink deep, and know the path to the heart of the wilds.",normal,,,,Special,,Enchantment
Sultai Ascendancy,{B}{G}{U},3,"U,B,G",Karl Kopinski,3,Enchantment,"At the beginning of your upkeep, look at the top two cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order.","pPRE,CPK,KTK",,normal,,,,Special,,Enchantment
Hydra Broodmaster,{4}{G}{G},6,G,Vincent Proce,4,Creature — Hydra,"{X}{X}{G}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)\nWhen Hydra Broodmaster becomes monstrous, put X X/X green Hydra creature tokens onto the battlefield.","JOU,CPK",,normal,,7,7,Special,Hydra,Creature
Reaper of the Wilds,{2}{B}{G},4,"B,G",Jeff Simpson,4,Creature — Gorgon,"Whenever another creature dies, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)\n{B}: Reaper of the Wilds gains deathtouch until end of turn.\n{1}{G}: Reaper of the Wilds gains hexproof until end of turn.","THS,DDM,CPK",,normal,,4,5,Special,Gorgon,Creature
Prophet of Kruphix,{3}{G}{U},5,"U,G",Anastasia Ovchinnikova,5,Creature — Human Wizard,Untap all creatures and lands you control during each other player's untap step.\nYou may cast creature cards as though they had flash.,"THS,CPK","""Time is fluid as a dance, and truth as fleeting.""",normal,,2,3,Special,"Human,Wizard",Creature
Whip of Erebos,{2}{B}{B},4,B,Marco Nelor,5,Legendary Enchantment Artifact,"Creatures you control have lifelink.\n{2}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. Activate this ability only any time you could cast a sorcery.","THS,CPK",,normal,,,,Special,,"Enchantment,Artifact"
Temple of Mystery,,,"G,U",Adam Paquette,6,Land,"Temple of Mystery enters the battlefield tapped.\nWhen Temple of Mystery enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)\n{T}: Add {G} or {U} to your mana pool.","THS,CPK",,normal,,,,Special,,Land
Courser of Kruphix,{1}{G}{G},3,G,Slawomir Maniak,6,Enchantment Creature — Centaur,"Play with the top card of your library revealed.\nYou may play the top card of your library if it's a land card.\nWhenever a land enters the battlefield under your control, you gain 1 life.","BNG,CPK",,normal,,2,4,Special,Centaur,"Enchantment,Creature"
Hero's Downfall,{1}{B}{B},3,B,Johannes Voss,8,Instant,Destroy target creature or planeswalker.,"THS,CPK","Destiny exalts a chosen few, but even heroes break.",normal,,,,Special,,Instant
