name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Adarkar Valkyrie,{4}{W}{W},6,W,Jeremy Jarvis,1,Snow Creature — Angel,"Flying, vigilance\n{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.","CSP,MMA,C14","She doesn't escort the dead to the afterlife, but instead raises them to fight and die again.",normal,121196,4,5,Rare,Angel,Creature
Boreal Griffin,{3}{W}{W},5,W,Cyril Van Der Haegen,2,Snow Creature — Griffin,Flying\n{S}: Boreal Griffin gains first strike until end of turn. ({S} can be paid with one mana from a snow permanent.),CSP,"""More than snow falls from the Boreal skies.""\n—Arkin Egilsson, skycaptain",normal,121244,3,2,Common,Griffin,Creature
Cover of Winter,{2}{W},3,W,Wayne Reynolds,3,Snow Enchantment,"Cumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)\nIf a creature would deal combat damage to you and/or one or more creatures you control, prevent X of that damage, where X is the number of age counters on Cover of Winter.\n{S}: Put an age counter on Cover of Winter.",CSP,,normal,121140,,,Rare,,Enchantment
"Darien, King of Kjeldor",{4}{W}{W},6,W,Michael Phillippi,4,Legendary Creature — Human Soldier,"Whenever you're dealt damage, you may put that many 1/1 white Soldier creature tokens onto the battlefield.",CSP,"""With his dream of unification fulfilled, Darien became the last king of Kjeldor. Those who followed were known as the kings of New Argive.""\n—Kjeldor: Ice Civilization",normal,122049,3,3,Rare,"Human,Soldier",Creature
Field Marshal,{1}{W}{W},3,W,Stephen Tappin,5,Creature — Human Soldier,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),"CSP,10E",The Knights of Stromgald struck Darien's Roost from two sides. They would have caught Kjeldor in a pincer attack were it not for Darien's tacticians.,normal,121265,2,2,Rare,"Human,Soldier",Creature
Gelid Shackles,{W},1,W,Alex Horley-Orlandelli,6,Snow Enchantment — Aura,"Enchant creature\nEnchanted creature can't block, and its activated abilities can't be activated.\n{S}: Enchanted creature gains defender until end of turn. ({S} can be paid with one mana from a snow permanent.)",CSP,,normal,121213,,,Common,Aura,Enchantment
Glacial Plating,{2}{W}{W},4,W,Brian Despain,7,Snow Enchantment — Aura,"Enchant creature\nCumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)\nEnchanted creature gets +3/+3 for each age counter on Glacial Plating.",CSP,,normal,121211,,,Uncommon,Aura,Enchantment
Jötun Grunt,{1}{W},2,W,Franz Vohwinkel,8,Creature — Giant Soldier,"Cumulative upkeep—Put two cards from a single graveyard on the bottom of their owner's library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)","CSP,CMD",,normal,122075,4,4,Uncommon,"Giant,Soldier",Creature
Jötun Owl Keeper,{2}{W},3,"W,U",Dave Dorman,9,Creature — Giant,"Cumulative upkeep {W} or {U} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen Jötun Owl Keeper dies, put a 1/1 white Bird creature token with flying onto the battlefield for each age counter on it.",CSP,,normal,121236,3,3,Uncommon,Giant,Creature
Kjeldoran Gargoyle,{5}{W},6,W,Marcelo Vignali,10,Creature — Gargoyle,"Flying, first strike\nWhenever Kjeldoran Gargoyle deals damage, you gain that much life.",CSP,The gargoyles were taken from the walls of flooded Kjeldoran cities and brought upland to guard the outposts of New Argive.,normal,121207,3,3,Uncommon,Gargoyle,Creature
