name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Kjeldoran Home Guard,{3}{W},4,W,Andi Rusu,8,Creature — Human Soldier,"At end of combat, if Kjeldoran Home Guard attacked or blocked this combat, put a -0/-1 counter on Kjeldoran Home Guard and put a 0/1 white Deserter creature token onto the battlefield.","ALL,CST,ME2",,normal,,1,6,Special,"Human,Soldier",Creature
Kjeldoran Pride,{1}{W},2,"W,U",Kaja Foglio,9b,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.\n{2}{U}: Attach Kjeldoran Pride to target creature other than enchanted creature.,"ALL,CST",,normal,,,,Special,Aura,Enchantment
Reinforcements,{W},1,W,Diana Vick,12b,Instant,Put up to three target creature cards from your graveyard on top of your library.,"ALL,CST,ME2","""Let them send their legions! I will show them that my truth is stronger than their swords.""\n—General Varchild",normal,,,,Special,,Instant
Scars of the Veteran,{4}{W},5,W,Dan Frazier,16,Instant,"You may exile a white card from your hand rather than pay Scars of the Veteran's mana cost.\nPrevent the next 7 damage that would be dealt to target creature or player this turn. At the beginning of the next end step, put a +0/+1 counter on that creature for each 1 damage prevented this way.","ALL,CST,ME2",,normal,,,,Special,,Instant
Disenchant,{1}{W},2,W,Brian Snõddy,20,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR","""I implore you not to forget the horrors of the past. You would have us start the Brothers' War anew!""\n—Sorine Relicbane, Soldevi Heretic",normal,,,,Special,,Instant
Browse,{2}{U}{U},4,U,Phil Foglio,25,Enchantment,"{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.","ALL,6ED,CST,ME2","""Once great literature—now great litter.""\n—Jaya Ballard, Task Mage",normal,,,,Special,,Enchantment
Lat-Nam's Legacy,{1}{U},2,U,Tom Wänerstrand,30b,Instant,"Shuffle a card from your hand into your library. If you do, draw two cards at the beginning of the next turn's upkeep.","ALL,CST,ME2","""All the knowledge of Lat-Nam could not protect its sages from the Brothers' War.""\n—Gerda Äagesdotter, Archmage of the Unseen",normal,,,,Special,,Instant
Kjeldoran Elite Guard,{3}{W},4,W,Melissa A. Benson,34,Creature — Human Soldier,"{T}: Target creature gets +2/+2 until end of turn. When that creature leaves the battlefield this turn, sacrifice Kjeldoran Elite Guard. Activate this ability only during combat.","ICE,CST,ME2",The winged helms of the Guard are put on for pageants—but taken off for war.,normal,,2,2,Special,"Human,Soldier",Creature
Storm Elemental,{5}{U},6,U,John Matson,37,Creature — Elemental,"Flying\n{U}, Exile the top card of your library: Tap target creature with flying.\n{U}, Exile the top card of your library: If the exiled card is a snow land, Storm Elemental gets +1/+1 until end of turn.","ALL,CST,ME2",,normal,,3,4,Special,Elemental,Creature
Viscerid Drone,{1}{U},2,U,Heather Hudson,42,Creature — Homarid Drone,"{T}, Sacrifice a creature and a Swamp: Destroy target nonartifact creature. It can't be regenerated.\n{T}, Sacrifice a creature and a snow Swamp: Destroy target creature. It can't be regenerated.","ALL,CST,ME2",Not all of Terisiare's flooding was natural . . . .,normal,,1,2,Special,"Homarid,Drone",Creature
Balduvian Dead,{3}{B},4,"B,R",Mike Kimble,43,Creature — Zombie,"{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.","ALL,CST,ME2",,normal,,2,3,Special,Zombie,Creature
Casting of Bones,{2}{B},3,B,Anson Maddocks,44b,Enchantment — Aura,"Enchant creature\nWhen enchanted creature dies, draw three cards, then discard one of them.","ALL,CST","""Only a necromancer would create such a foul form of divination.""\n—Gerda Äagesdotter,\nArchmage of the Unseen",normal,,,,Special,Aura,Enchantment
Insidious Bookworms,{B},1,B,Greg Simanson,51a,Creature — Worm,"When Insidious Bookworms dies, you may pay {1}{B}. If you do, target player discards a card at random.","ALL,CST",,normal,,1,1,Special,Worm,Creature
Swords to Plowshares,{W},1,W,Kaja Foglio,54,Instant,Exile target creature. Its controller gains life equal to its power.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pJGP,ATH,BRB,pFNM,CST,ME2,DDF,ME4,V13,CNS,VMA,EMA","""The so-called Barbarians will not respect us for our military might—they will respect us for our honor.""\n—Lucilde Fiksdotter, Leader of the Order of the White Shield",normal,,,,Special,,Instant
Phantasmal Fiend,{3}{B},4,"B,U",Scott Kirschner,57a,Creature — Illusion,{B}: Phantasmal Fiend gets +1/-1 until end of turn.\n{1}{U}: Switch Phantasmal Fiend's power and toughness until end of turn.,"ALL,DKM,CST,ME2",,normal,,1,5,Special,Illusion,Creature
Binding Grasp,{3}{U},4,U,Ruth Thompson,60,Enchantment — Aura,"Enchant creature\nAt the beginning of your upkeep, sacrifice Binding Grasp unless you pay {1}{U}.\nYou control enchanted creature.\nEnchanted creature gets +0/+1.","ICE,5ED,CST,ME2","""What I want, I take.""\n—Gustha Ebbasdotter,\nKjeldoran Royal Mage",normal,,,,Special,Aura,Enchantment
Brainstorm,{U},1,U,Christopher Rush,61,Instant,"Draw three cards, then put two cards from your hand on top of your library in any order.","ICE,5ED,MMQ,pFNM,BTD,CST,ME2,CMD,DDJ,CNS,VMA,C15,EMA","""I reeled from the blow, and then suddenly, I knew exactly what to do. Within moments, victory was mine.""\n—Gustha Ebbasdotter,\nKjeldoran Royal Mage",normal,,,,Special,,Instant
Essence Flare,{U},1,U,Richard Kane Ferguson,69,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +2/+0.\nAt the beginning of the upkeep of enchanted creature's controller, put a -0/-1 counter on that creature.","ICE,CST,ME2",Never underestimate the power of the soul unleashed.,normal,,,,Special,Aura,Enchantment
Death Spark,{R},1,R,Mark Tedin,70,Instant,"Death Spark deals 1 damage to target creature or player.\nAt the beginning of your upkeep, if Death Spark is in your graveyard with a creature card directly above it, you may pay {1}. If you do, return Death Spark to your hand.","ALL,DKM,CST,ME2",,normal,,,,Special,,Instant
Gorilla Shaman,{R},1,R,Anthony Waters,72a,Creature — Ape Shaman,{X}{X}{1}: Destroy target noncreature artifact with converted mana cost X.,"ALL,CST,ME2","""Frankly, destruction is best left to professionals.""\n—Jaya Ballard, Task Mage",normal,,1,1,Special,"Ape,Shaman",Creature
Iceberg,{X}{U}{U},2,U,Jeff A. Menges,73,Enchantment,Iceberg enters the battlefield with X ice counters on it.\n{3}: Put an ice counter on Iceberg.\nRemove an ice counter from Iceberg: Add {C} to your mana pool.,"ICE,CST,ME2",,normal,,,,Special,,Enchantment
Mistfolk,{U}{U},2,U,Quinton Hoover,84,Creature — Illusion,{U}: Counter target spell that targets Mistfolk.,"ICE,CST","""Although my official log will state there is no evidence pointing to the existence of the Mistfolk, my certainty is lessened by the cursed consistency of the expedition's eyewitness accounts.""\n—Disa the Restless, journal entry",normal,,1,2,Special,Illusion,Creature
Bounty of the Hunt,{3}{G}{G},5,G,Jeff A. Menges,85,Instant,"You may exile a green card from your hand rather than pay Bounty of the Hunt's mana cost.\nDistribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step.","ALL,DKM,CST,ME2",,normal,,,,Special,,Instant
Deadly Insect,{4}{G},5,G,Scott Kirschner,86a,Creature — Insect,Shroud (This creature can't be the target of spells or abilities.),"ALL,MMQ,BTD,CST","""Beautiful, indeed—but one sting could fell a Giant in a heartbeat.""\n—Taaveti of Kelsinko,\nElvish Hunter",normal,,6,1,Special,Insect,Creature
Portent,{U},1,U,Liz Danforth,90,Sorcery,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle his or her library.\nDraw a card at the beginning of the next turn's upkeep.","ICE,5ED,CST,ME2",,normal,,,,Special,,Sorcery
Snow Devil,{1}{U},2,U,"Ken Meyer, Jr.",100,Enchantment — Aura,Enchant creature\nEnchanted creature has flying.\nEnchanted creature has first strike as long as it's blocking and you control a snow land.,"ICE,CST","""Give me wings to fly and speed to strike. In return, the glory I earn shall be yours.""\n—Steinar Icefist, Balduvian Shaman",normal,,,,Special,Aura,Enchantment
Zuran Spellcaster,{2}{U},3,U,"Edward P. Beard, Jr.",112,Creature — Human Wizard,{T}: Zuran Spellcaster deals 1 damage to target creature or player.,"ICE,CST,ME2","""A mage must be precise as well as potent; cautious, as well as clever.""\n—Zur the Enchanter",normal,,1,1,Special,"Human,Wizard",Creature
Ashen Ghoul,{3}{B},4,B,Ron Spencer,114,Creature — Zombie,Haste\n{B}: Return Ashen Ghoul from your graveyard to the battlefield. Activate this ability only during your upkeep and only if three or more creature cards are above Ashen Ghoul.,"ICE,CST,ME2",,normal,,3,1,Special,Zombie,Creature
Dark Banishing,{2}{B},3,B,Drew Tucker,119,Instant,Destroy target nonblack creature. It can't be regenerated.,"ICE,MIR,TMP,7ED,DKM,8ED,9ED,CST,ME2,DDC,DD3_DVD,TPR","""Will not the mountains quake and hills melt at the coming of the darkness? Share this vision with your enemies, Lim-Dûl, and they shall wither.""\n—Leshrac, Walker of Night",normal,,,,Special,,Instant
Dark Ritual,{B},1,B,Justin Hampton,120,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR","""Leshrac, my liege, grant me the power I am due.""\n—Lim-Dûl, the Necromancer",normal,,,,Special,,Instant
Drift of the Dead,{3}{B},4,B,Brian Snõddy,123,Creature — Wall,Defender (This creature can't attack.)\nDrift of the Dead's power and toughness are each equal to the number of snow lands you control.,"ICE,CST,ME2","""Take their dead, and entomb them in the snow. Risen, they shall serve a new purpose.""\n—Lim-Dûl, the Necromancer",normal,,*,*,Special,Wall,Creature
Gangrenous Zombies,{1}{B}{B},3,B,Brian Snõddy,127,Creature — Zombie,"{T}, Sacrifice Gangrenous Zombies: Gangrenous Zombies deals 1 damage to each creature and each player. If you control a snow Swamp, Gangrenous Zombies deals 2 damage to each creature and each player instead.","ICE,CST,ME2",,normal,,2,2,Special,Zombie,Creature
Kjeldoran Dead,{B},1,B,Melissa A. Benson,137,Creature — Skeleton,"When Kjeldoran Dead enters the battlefield, sacrifice a creature.\n{B}: Regenerate Kjeldoran Dead.","ICE,5ED,6ED,CST,ME2","""They shall kill those whom once they loved.""\n—Lim-Dûl, the Necromancer",normal,,3,1,Special,Skeleton,Creature
Legions of Lim-Dûl,{1}{B}{B},3,B,Anson Maddocks,142,Creature — Zombie,Snow swampwalk (This creature can't be blocked as long as defending player controls a snow Swamp.),"ICE,CST","""I have seen the faces of my dead friends among that grim band, and I can bear no more.""\n—Lucilde Fiksdotter, Leader of the Order of the White Shield.",normal,,2,3,Special,Zombie,Creature
Soul Burn,{X}{2}{B},3,B,Rob Alexander,161,Sorcery,"Spend only black and/or red mana on X.\nSoul Burn deals X damage to target creature or player. You gain life equal to the damage dealt, but not more than the amount of {B} spent on X, the player's life total before Soul Burn dealt damage, or the creature's toughness.","ICE,INV,DKM,CST",,normal,,,,Special,,Sorcery
Incinerate,{1}{R},2,R,Mark Poole,194,Instant,Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.,"pLGM,ICE,MIR,5ED,pMPR,DKM,CST,10E,ME2,DD2,DPA,M12,DD3_JVC","""Yes, I think ‘toast' is an appropriate description.""\n—Jaya Ballard, Task Mage",normal,,,,Special,,Instant
Orcish Healer,{R}{R},2,"R,B,G",Quinton Hoover,208,Creature — Orc Cleric,"{R}{R}, {T}: Target creature can't be regenerated this turn.\n{B}{B}{R}, {T}: Regenerate target black or green creature.\n{R}{G}{G}, {T}: Regenerate target black or green creature.","ICE,CST",,normal,,1,1,Special,"Orc,Cleric",Creature
Orcish Lumberjack,{R},1,"R,G",Dan Frazier,210,Creature — Orc,"{T}, Sacrifice a Forest: Add three mana in any combination of {R} and/or {G} to your mana pool.","ICE,CST,ME2,DDL,VMA","""How did I ever let myself get talked into this project?""\n—Toothlicker Harj, Orcish Captain",normal,,1,1,Special,Orc,Creature
Aurochs,{3}{G},4,G,"Ken Meyer, Jr.",225,Creature — Aurochs,"Trample\nWhenever Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.","ICE,5ED,CST,ME2","One Auroch may feed a village, but a herd will flatten it.",normal,,2,3,Special,Aurochs,Creature
Tinder Wall,{G},1,"G,R",Rick Emond,270,Creature — Plant Wall,"Defender (This creature can't attack.)\nSacrifice Tinder Wall: Add {R}{R} to your mana pool.\n{R}, Sacrifice Tinder Wall: Tinder Wall deals 2 damage to target creature it's blocking.","ICE,CST,ME2",,normal,,0,3,Special,"Plant,Wall",Creature
Woolly Mammoths,{1}{G}{G},3,G,Dan Frazier,278,Creature — Elephant,Woolly Mammoths has trample as long as you control a snow land.,"ICE,CST,ME2","""Mammoths may be good to ride on, but they're certainly bad to fall off of!""\n—Disa the Restless, journal entry",normal,,3,2,Special,Elephant,Creature
Giant Trap Door Spider,{1}{R}{G},3,"R,G",Heather Hudson,293,Creature — Spider,"{1}{R}{G}, {T}: Exile Giant Trap Door Spider and target creature without flying that's attacking you.","ICE,DKM,CST,ME2","""So large and so quiet—a combination best avoided.""\n—Disa the Restless, journal entry",normal,,2,3,Special,Spider,Creature
Wings of Aesthir,{W}{U},2,"W,U","Edward P. Beard, Jr.",305,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+0 and has flying and first strike.,"ICE,CST,ME2","""For those of courage, even the sky holds no limit.""\n—Arnjlot Olasson, Sky Mage",normal,,,,Special,Aura,Enchantment
Arcum's Weathervane,{2},2,,Tom Wänerstrand,310,Artifact,"{2}, {T}: Target snow land is no longer snow.\n{2}, {T}: Target nonsnow basic land becomes snow.","ICE,CST",,normal,,,,Special,,Artifact
Barbed Sextant,{1},1,,Amy Weber,312,Artifact,"{1}, {T}, Sacrifice Barbed Sextant: Add one mana of any color to your mana pool. Draw a card at the beginning of the next turn's upkeep.","ICE,5ED,DKM,CST,ME2",,normal,,,,Special,,Artifact
Skull Catapult,{4},4,,Bryon Wackwitz,336,Artifact,"{1}, {T}, Sacrifice a creature: Skull Catapult deals 2 damage to target creature or player.","ICE,5ED,6ED,CST,ME2","""Let any who doubt the evil of using the ancient devices look at this infernal machine. What manner of fiend would design such a sadistic device?""\n—Sorine Relicbane, Soldevi Heretic",normal,,,,Special,,Artifact
Whalebone Glider,{2},2,,Amy Weber,349,Artifact,"{2}, {T}: Target creature with power 3 or less gains flying until end of turn.","ICE,CST","""It's no Ornithopter, but then I'm no Urza.""\n—Arcum Dagsson, Soldevi Machinist",normal,,,,Special,,Artifact
Plains,,,W,Christopher Rush,369,Basic Land — Plains,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,pPRE,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,H09,DDE,ROE,ARC,M11,DDF,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,RTR,DDK,M14,DDL,THS,C13,MD1,M15,DDN,KTK,C14,DD3_DVD,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,DDQ,SOI",,normal,,,,Basic Land,Plains,Land
