name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Jace Beleren,{1}{U}{U},3,U,Kev Walker,1,Planeswalker — Jace,+2: Each player draws a card.\n−1: Target player draws a card.\n−10: Target player puts the top twenty cards of his or her library into his or her graveyard.,"pMEI,LRW,DD2,M10,M11,DD3_JVC",,normal,185816,,,Mythic Rare,Jace,Planeswalker
Martyr of Frost,{U},1,U,Wayne England,2,Creature — Human Wizard,"{2}, Reveal X blue cards from your hand, Sacrifice Martyr of Frost: Counter target spell unless its controller pays {X}.","CSP,DD2,DD3_JVC","""Do not call the Balduvians barbaric. Their magic is as potent as it is primal.""\n—Zur the Enchanter",normal,189243,1,1,Common,"Human,Wizard",Creature
Fathom Seer,{1}{U},2,U,Ralph Horsley,3,Creature — Illusion,"Morph—Return two Islands you control to their owner's hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Fathom Seer is turned face up, draw two cards.","TSP,DD2,DDN,C14,DD3_JVC",,normal,189247,1,3,Common,Illusion,Creature
Voidmage Apprentice,{1}{U},2,U,Jim Nelson,4,Creature — Human Wizard,"Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Voidmage Apprentice is turned face up, counter target spell.","LGN,DD2,DD3_JVC",,normal,189250,1,1,Common,"Human,Wizard",Creature
Wall of Deceit,{1}{U},2,U,John Avon,5,Creature — Wall,Defender (This creature can't attack.)\n{3}: Turn Wall of Deceit face down.\nMorph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"LGN,DD2,DD3_JVC",,normal,189251,0,5,Uncommon,Wall,Creature
Willbender,{1}{U},2,U,Eric Peterson,6,Creature — Human Wizard,"Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Willbender is turned face up, change the target of target spell or ability with a single target.","pFNM,LGN,TSB,DD2,DDN,C14,DD3_JVC",,normal,189252,1,2,Uncommon,"Human,Wizard",Creature
Bottle Gnomes,{3},3,,Ben Thompson,7,Artifact Creature — Gnome,Sacrifice Bottle Gnomes: You gain 3 life.,"TMP,pFNM,MRD,9ED,10E,DD2,C14,DD3_JVC,TPR",Reinforcements . . . or refreshments?,normal,189224,1,3,Uncommon,Gnome,"Artifact,Creature"
Man-o'-War,{2}{U},3,U,Jon J Muth,8,Creature — Jellyfish,"When Man-o'-War enters the battlefield, return target creature to its owner's hand.","pARL,VIS,POR,S99,BRB,DD2,VMA,DD3_JVC,DDO,EMA","""Beauty to the eye does not always translate to the touch.""\n—Naimah, Femeref philosopher",normal,189240,2,2,Common,Jellyfish,Creature
Ophidian,{2}{U},3,U,Cliff Nielsen,9,Creature — Snake,"Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn.","WTH,pFNM,DD2,VMA,DD3_JVC",,normal,189253,1,3,Common,Snake,Creature
Fledgling Mawcor,{3}{U},4,U,Kev Walker,10,Creature — Beast,Flying\n{T}: Fledgling Mawcor deals 1 damage to target creature or player.\nMorph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"TSP,DD2,DD3_JVC",,normal,189248,2,2,Uncommon,Beast,Creature
Waterspout Djinn,{2}{U}{U},4,U,Thomas Gianni,11,Creature — Djinn,"Flying\nAt the beginning of your upkeep, sacrifice Waterspout Djinn unless you return an untapped Island you control to its owner's hand.","VIS,DD2,DD3_JVC","""Fly us higher, out of its storm.""\n—Sisay, captain of the Weatherlight",normal,189241,4,4,Uncommon,Djinn,Creature
Mulldrifter,{4}{U},5,U,Eric Fortune,12,Creature — Elemental,"Flying\nWhen Mulldrifter enters the battlefield, draw two cards.\nEvoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","pFNM,LRW,DD2,CMD,MMA,C14,DD3_JVC,MM2,C15",,normal,189217,2,2,Common,Elemental,Creature
Air Elemental,{3}{U}{U},5,U,Kev Walker,13,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC",Pray that it doesn't seek the safety of your lungs.,normal,189223,4,4,Uncommon,Elemental,Creature
