name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ambush Commander,{3}{G}{G},5,G,Lucio Parrillo,1,Creature — Elf,"Forests you control are 1/1 green Elf creatures that are still lands.\n{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.","SCG,EVG,DD3_EVG",,normal,393943,2,2,Rare,Elf,Creature
Allosaurus Rider,{5}{G}{G},7,G,Daren Bader,2,Creature — Elf Warrior,You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.\nAllosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.,"pPRE,CSP,EVG,DD3_EVG",,normal,393942,1+*,1+*,Rare,"Elf,Warrior",Creature
Elvish Eulogist,{G},1,G,Ben Thompson,3,Creature — Elf Shaman,Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.,"LRW,EVG,DPA,DD3_EVG","""No matter how adept our artistic skill, our effigies can never hope to capture the vibrant beauty of a living elf. Perhaps that is truly why we mourn.""",normal,393946,1,1,Common,"Elf,Shaman",Creature
Elvish Harbinger,{2}{G},3,G,Larry MacDougall,4,Creature — Elf Druid,"When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.\n{T}: Add one mana of any color to your mana pool.","LRW,EVG,DD3_EVG",,normal,393947,1,2,Uncommon,"Elf,Druid",Creature
Elvish Warrior,{G}{G},2,G,Christopher Moeller,5,Creature — Elf Warrior,,"ONS,9ED,EVG,MOR,DPA,DD3_EVG","""My tales of war are the stories most asked for around the fires at night, but they're the ones I care least to tell.""",normal,393949,2,3,Common,"Elf,Warrior",Creature
Gempalm Strider,{1}{G},2,G,Tim Hildebrandt,6,Creature — Elf,"Cycling {2}{G}{G} ({2}{G}{G}, Discard this card: Draw a card.)\nWhen you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn.","LGN,EVG,DD3_EVG",,normal,393958,2,2,Uncommon,Elf,Creature
Heedless One,{3}{G},4,G,Mark Zug,7,Creature — Elf Avatar,Trample\nHeedless One's power and toughness are each equal to the number of Elves on the battlefield.,"ONS,EVG,DD3_EVG","""Channel your vitality through me.""",normal,393967,*,*,Uncommon,"Elf,Avatar",Creature
Imperious Perfect,{2}{G},3,G,Scott M. Fischer,8,Creature — Elf Warrior,"Other Elf creatures you control get +1/+1.\n{G}, {T}: Put a 1/1 green Elf Warrior creature token onto the battlefield.","pCMP,LRW,EVG,DPA,C14,DD3_EVG,EMA","In a culture of beauty, the most beautiful are worshipped as gods.",normal,393969,2,2,Uncommon,"Elf,Warrior",Creature
Llanowar Elves,{G},1,G,Kev Walker,9,Creature — Elf Druid,{T}: Add {G} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,BRB,pFNM,S00,BTD,7ED,9ED,pGTW,10E,EVG,M10,M11,M12,C14,DD3_EVG,EMA",One bone broken for every twig snapped underfoot.\n—Llanowar penalty for trespassing,normal,393970,1,1,Common,"Elf,Druid",Creature
Lys Alana Huntmaster,{2}{G}{G},4,G,Pete Venters,10,Creature — Elf Warrior,"Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.","LRW,EVG,DPA,C14,DD3_EVG,EMA","From the highest tiers of Dawn's Light Palace to the deepest shade of Wren's Run, the silver notes of the horn shimmer through the air, and all who hear it feel its pull.",normal,393971,3,3,Common,"Elf,Warrior",Creature
Stonewood Invoker,{1}{G},2,G,Eric Peterson,11,Creature — Elf Mutant,{7}{G}: Stonewood Invoker gets +5/+5 until end of turn.,"LGN,EVG,DD3_EVG",The Mirari pulses in his veins.,normal,393989,2,2,Common,"Elf,Mutant",Creature
Sylvan Messenger,{3}{G},4,G,Heather Hudson,12,Creature — Elf,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nWhen Sylvan Messenger enters the battlefield, reveal the top four cards of your library. Put all Elf cards revealed this way into your hand and the rest on the bottom of your library in any order.","APC,EVG,DD3_EVG,ORI",,normal,393990,2,2,Uncommon,Elf,Creature
