name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Akroma, Angel of Wrath",{5}{W}{W}{W},8,W,Chippy,1,Legendary Creature — Angel,"Flying, first strike, vigilance, trample, haste, protection from black and from red","LGN,TSB,DDC,DD3_DVD,V15","""Wrath is no vice when inflicted upon the deserving.""",normal,193871,6,6,Mythic Rare,Angel,Creature
Icatian Priest,{W},1,W,Stephen Tappin,2,Creature — Human Cleric,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"FEM,10E,DDC,DD3_DVD","Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.",normal,196996,1,1,Uncommon,"Human,Cleric",Creature
Angelic Page,{1}{W},2,W,Marc Fishman,3,Creature — Angel Spirit,Flying\n{T}: Target attacking or blocking creature gets +1/+1 until end of turn.,"USG,BRB,7ED,8ED,DDC,DD3_DVD",If only every message were as perfect as its bearer.,normal,197009,1,1,Common,"Angel,Spirit",Creature
Charging Paladin,{2}{W},3,W,Ciruelo,4,Creature — Human Knight,"Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.","POR,EXO,S99,DDC,DD3_DVD,TPR","""Hope shall be the blade that severs our bonds.""",normal,197021,2,2,Common,"Human,Knight",Creature
Venerable Monk,{2}{W},3,W,D. Alexander Gregory,5,Creature — Human Monk Cleric,"When Venerable Monk enters the battlefield, you gain 2 life.","POR,STH,6ED,S99,S00,7ED,8ED,9ED,10E,DDC,DD3_DVD",Age wears the flesh but galvanizes the soul.,normal,197002,2,2,Common,"Human,Monk,Cleric",Creature
Angelic Protector,{3}{W},4,W,DiTerlizzi,6,Creature — Angel,"Flying\nWhenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.","TMP,DDC,DD3_DVD,TPR","""My family sheltered in her light, the dark was content to wait.""\n—Crovax",normal,197035,2,2,Uncommon,Angel,Creature
Serra Advocate,{3}{W},4,W,Matthew D. Wilson,7,Creature — Angel,Flying\n{T}: Target attacking or blocking creature gets +2/+2 until end of turn.,"UDS,7ED,DDC,DD3_DVD",An angel's blessing prepares a soldier for war better than a thousand military drills.,normal,197006,2,2,Uncommon,Angel,Creature
Sustainer of the Realm,{2}{W}{W},4,W,Mark Zug,8,Creature — Angel,"Flying\nWhenever Sustainer of the Realm blocks, it gets +0/+2 until end of turn.","ULG,7ED,DDC,DD3_DVD","You may break her shield, but you'll never break her spirit.",normal,197007,2,3,Uncommon,Angel,Creature
Angel of Mercy,{4}{W},5,W,Volkan Baga,9,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD",Every tear shed is a drop of immortality.,normal,196990,3,3,Uncommon,Angel,Creature
Serra Angel,{3}{W}{W},5,W,Greg Staples,10,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15,W16,EMA",Her sword sings more beautifully than any choir.,normal,196999,4,4,Rare,Angel,Creature
Twilight Shepherd,{3}{W}{W}{W},6,W,Jason Chan,11,Creature — Angel,"Flying, vigilance\nWhen Twilight Shepherd enters the battlefield, return to your hand all cards in your graveyard that were put there from the battlefield this turn.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)","SHM,DDC,C14,DD3_DVD",,normal,197034,5,5,Rare,Angel,Creature
Luminous Angel,{4}{W}{W}{W},7,W,Jason Chan,12,Creature — Angel,"Flying\nAt the beginning of your upkeep, you may put a 1/1 white Spirit creature token with flying onto the battlefield.","MRD,DDC,DD3_DVD","""The spread of evil's destruction shall always be matched by the rise of the noble fallen.""",normal,193872,4,4,Rare,Angel,Creature
Reya Dawnbringer,{6}{W}{W}{W},9,W,Matthew D. Wilson,13,Legendary Creature — Angel,"Flying\nAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","INV,10E,pMGD,DDC,CNS,DD3_DVD","""You have not died until I consent.""",normal,196998,4,6,Rare,Angel,Creature
Healing Salve,{W},1,W,Greg & Tim Hildebrandt,14,Instant,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to target creature or player this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,MIR,ITP,5ED,USG,6ED,BRB,7ED,8ED,DDC,ME4,DD3_DVD",,normal,197011,,,Common,,Instant
Angelsong,{1}{W},2,W,Sal Villagran,15,Instant,"Prevent all combat damage that would be dealt this turn.\nCycling {2} ({2}, Discard this card: Draw a card.)","ALA,DDC,DD3_DVD",Clash of sword and cry of beast fall mute when angels sound the call to prayer.,normal,197014,,,Common,,Instant
Otherworldly Journey,{1}{W},2,W,Vance Kovacs,16,Instant — Arcane,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.","CHK,DDC,MMA,DD3_DVD,MM2","""The landscape shimmered and I felt a chill breeze. When my vision cleared, I found myself alone among the corpses of my fallen friends.""\n—Journal found in Numai",normal,197017,,,Uncommon,Arcane,Instant
Pacifism,{1}{W},2,W,Matthew D. Wilson,17,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR,EMA",Even those born to battle could only lay their blades at Akroma's feet.,normal,196997,,,Common,Aura,Enchantment
Serra's Boon,{2}{W},3,W,Steven Belledin,18,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+2 as long as it's white. Otherwise, it gets -2/-1.","PLC,DDC,DD3_DVD","""The light of an angel's glance is warm, but her fixed stare blinds and burns.""\n—Calexis, deacon of the New Order of Serra",normal,197032,,,Uncommon,Aura,Enchantment
Angelic Benediction,{3}{W},4,W,Michael Komarck,19,Enchantment,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, you may tap target creature.","ALA,DDC,M13,DD3_DVD","""Even in single combat, I am never alone.""\n—Rafiq of the Many",normal,197013,,,Uncommon,,Enchantment
Faith's Fetters,{3}{W},4,W,Brian Despain,20,Enchantment — Aura,"Enchant permanent\nWhen Faith's Fetters enters the battlefield, you gain 4 life.\nEnchanted permanent's activated abilities can't be activated unless they're mana abilities. If enchanted permanent is a creature, it can't attack or block.","RAV,DDC,DD3_DVD,C15,EMA",,normal,193869,,,Common,Aura,Enchantment
Serra's Embrace,{2}{W}{W},4,W,Zoltan Boros & Gabor Szikszai,21,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has flying and vigilance.,"USG,7ED,10E,DDC,DD3_DVD",The touch of Serra's angels bears hopes aloft and empowers noble causes.,normal,197000,,,Uncommon,Aura,Enchantment
Righteous Cause,{3}{W}{W},5,W,Scott M. Fischer,22,Enchantment,"Whenever a creature attacks, you gain 1 life.","ONS,DDC,CMD,DD3_DVD","""Until the world unites in vengeful fury and Phage is destroyed, I will not stay my hand.""\n—Akroma, angelic avenger",normal,197030,,,Uncommon,,Enchantment
Angel's Feather,{2},2,,Alan Pollack,23,Artifact,"Whenever a player casts a white spell, you may gain 1 life.","DST,9ED,10E,DDC,M10,M11,M12,DD3_DVD","If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it.",normal,196991,,,Uncommon,,Artifact
Marble Diamond,{2},2,W,David Martin,24,Artifact,Marble Diamond enters the battlefield tapped.\n{T}: Add {W} to your mana pool.,"MIR,6ED,7ED,DDC,C14,DD3_DVD",,normal,197005,,,Uncommon,,Artifact
Secluded Steppe,,,W,Heather Hudson,25,Land,"Secluded Steppe enters the battlefield tapped.\n{T}: Add {W} to your mana pool.\nCycling {W} ({W}, Discard this card: Draw a card.)","ONS,DDC,ARC,CMD,C13,VMA,C14,DD3_DVD,DDO,C15",,normal,197031,,,Common,,Land
