name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Garruk Wildspeaker,{2}{G}{G},4,G,Terese Nielsen,1,Planeswalker — Garruk,+1: Untap two target lands.\n−1: Put a 3/3 green Beast creature token onto the battlefield.\n−4: Creatures you control get +3/+3 and gain trample until end of turn.,"pMEI,LRW,M10,DDD,M11,CMD,DD3_GVL",,normal,201347,,,Mythic Rare,Garruk,Planeswalker
Basking Rootwalla,{G},1,G,Heather Hudson,2,Creature — Lizard,"{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.\nMadness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)","pFNM,TOR,DDD,VMA,DD3_GVL",,normal,201836,1,1,Common,Lizard,Creature
Albino Troll,{1}{G},2,G,Paolo Parente,3,Creature — Troll,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{1}{G}: Regenerate Albino Troll.","USG,pFNM,DDD,DD3_GVL",,normal,201781,3,3,Uncommon,Troll,Creature
Vine Trellis,{1}{G},2,G,DiTerlizzi,4,Creature — Plant Wall,Defender (This creature can't attack.)\n{T}: Add {G} to your mana pool.,"MMQ,8ED,DDD,DD3_GVL",Nature twists knots stronger than any rope.,normal,201845,0,4,Common,"Plant,Wall",Creature
Wild Mongrel,{1}{G},2,G,Anthony S. Waters,5,Creature — Hound,Discard a card: Wild Mongrel gets +1/+1 and becomes the color of your choice until end of turn.,"pFNM,ODY,DDD,VMA,DD3_GVL",It teaches you to play dead.,normal,201826,2,2,Common,Hound,Creature
Wirewood Savage,{2}{G},3,G,DiTerlizzi,6,Creature — Elf,"Whenever a Beast enters the battlefield, you may draw a card.","ONS,DDD,DD3_GVL","""She is truly Wirewood's child now.""\n—Elvish refugee",normal,201830,2,2,Common,Elf,Creature
Blastoderm,{2}{G}{G},4,G,Nils Hamm,7,Creature — Beast,"Shroud (This creature can't be the target of spells or abilities.)\nFading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)","pFNM,NMS,DDD,VMA,DD3_GVL",,normal,201831,5,5,Common,Beast,Creature
Ravenous Baloth,{2}{G}{G},4,G,Arnie Swekel,8,Creature — Beast,Sacrifice a Beast: You gain 4 life.,"pJGP,ONS,DDD,C13,DD3_GVL","""All we know about the Krosan Forest we have learned from those few who made it out alive.""\n—Elvish refugee",normal,201882,4,4,Rare,Beast,Creature
Stampeding Wildebeests,{2}{G}{G},4,G,Randy Gallegos,9,Creature — Antelope Beast,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nAt the beginning of your upkeep, return a green creature you control to its owner's hand.","VIS,10E,DDD,DD3_GVL",The most violent and destructive storms in Femeref occur on cloudless days.,normal,201881,5,4,Uncommon,"Antelope,Beast",Creature
Indrik Stomphowler,{4}{G},5,G,Carl Critchlow,10,Creature — Beast,"When Indrik Stomphowler enters the battlefield, destroy target artifact or enchantment.","DIS,DDD,DD3_GVL,C15",An indrik's howl has destructive power much subtler than that of its crushing foot.,normal,201834,4,4,Uncommon,Beast,Creature
