name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Phyrexian Negator,{2}{B},3,B,Jim Murray,1,Creature — Horror,"Trample\nWhenever Phyrexian Negator is dealt damage, sacrifice that many permanents.","pJGP,UDS,DDE",They exist to cease.,normal,207891,5,5,Mythic Rare,Horror,Creature
Carrion Feeder,{B},1,B,Brian Snõddy,2,Creature — Zombie,Carrion Feeder can't block.\nSacrifice a creature: Put a +1/+1 counter on Carrion Feeder.,"pFNM,SCG,DDE,EMA","Stinking of rot, it leaps between gravestones in search of its next meal.",normal,210133,1,1,Common,Zombie,Creature
Phyrexian Battleflies,{B},1,B,Dan Frazier,3,Creature — Insect,Flying\n{B}: Phyrexian Battleflies gets +1/+0 until end of turn. Activate this ability no more than twice each turn.,"INV,DDE","After encountering them, Squee finally lost his appetite for bugs.",normal,209116,0,1,Common,Insect,Creature
Phyrexian Denouncer,{1}{B},2,B,Brian Snõddy,4,Creature — Carrier,"{T}, Sacrifice Phyrexian Denouncer: Target creature gets -1/-1 until end of turn.","ULG,DDE","""The first stage of the illness: rash and nausea.""\n—Phyrexian progress notes",normal,209126,1,1,Common,Carrier,Creature
Bone Shredder,{2}{B},3,B,Ron Spencer,5,Creature — Minion,"Flying\nEcho {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.","ULG,DDE",,normal,209123,1,1,Uncommon,Minion,Creature
Phyrexian Ghoul,{2}{B},3,B,Pete Venters,6,Creature — Zombie,Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.,"USG,BRB,HOP,DDE",Phyrexia wastes nothing. Its food chain is a spiraling cycle.,normal,209129,2,2,Common,Zombie,Creature
Priest of Gix,{2}{B},3,B,Brian Despain,7,Creature — Human Cleric Minion,"When Priest of Gix enters the battlefield, add {B}{B}{B} to your mana pool.","USG,DDE","""Gix doesn't want a people to rule but puppets to entertain his madness.""\n—Xantcha, Phyrexian outcast",normal,209130,2,1,Uncommon,"Human,Cleric,Minion",Creature
Phyrexian Broodlings,{1}{B}{B},3,B,Daren Bader,8,Creature — Minion,"{1}, Sacrifice a creature: Put a +1/+1 counter on Phyrexian Broodlings.","ULG,DDE","With limited resources and near unlimited time, Kerrick used parts from one beast to build another.",normal,210134,2,2,Common,Minion,Creature
Sanguine Guard,{1}{B}{B},3,B,Kev Walker,9,Creature — Zombie Knight,First strike\n{1}{B}: Regenerate Sanguine Guard.,"USG,DDE","""Father of Machines! Your filigree gaze carves us, and the scars dance upon our grateful flesh.""\n—Phyrexian Scriptures",normal,209161,2,2,Uncommon,"Zombie,Knight",Creature
Phyrexian Debaser,{3}{B},4,B,Mark Tedin,10,Creature — Carrier,"Flying\n{T}, Sacrifice Phyrexian Debaser: Target creature gets -2/-2 until end of turn.","ULG,DDE","""The second stage of the illness: high fever and severe infectiousness.""\n—Phyrexian progress notes",normal,209124,2,2,Common,Carrier,Creature
