name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Knight of the Reliquary,{1}{G}{W},3,"W,G",Wayne Reynolds,1,Creature — Human Knight,"Knight of the Reliquary gets +1/+1 for each land card in your graveyard.\n{T}, Sacrifice a Forest or Plains: Search your library for a land card, put it onto the battlefield, then shuffle your library.","CON,DDG,MMA",,normal,243416,2,2,Mythic Rare,"Human,Knight",Creature
Caravan Escort,{W},1,W,Goran Josic,2,Creature — Human Knight,Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-4\n2/2\nLEVEL 5+\n5/5\nFirst strike,"ROE,DDG,DDP",,leveler,243418,1,1,Common,"Human,Knight",Creature
Lionheart Maverick,{W},1,W,Hideaki Takamura,3,Creature — Human Knight,Vigilance\n{4}{W}: Lionheart Maverick gets +1/+2 until end of turn.,"GPT,DDG","""Your signet is no symbol of power. It marks only your need for numbers to aid you. What do you do, guild-rat, now that you face my blade alone?""",normal,243420,1,1,Common,"Human,Knight",Creature
Knight of Cliffhaven,{1}{W},2,W,Matt Cavotta,4,Creature — Kor Knight,"Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-3\n2/3\nFlying\nLEVEL 4+\n4/4\nFlying, vigilance","ROE,DDG,DDP",,leveler,243421,2,2,Common,"Kor,Knight",Creature
Knight of Meadowgrain,{W}{W},2,W,Larry MacDougall,5,Creature — Kithkin Knight,First strike\nLifelink (Damage dealt by this creature also causes you to gain that much life.),"LRW,DDG","""By tradition, we don't speak for two days after battle. If our deeds won't speak for themselves, what else could be said?""",normal,243422,2,2,Uncommon,"Kithkin,Knight",Creature
Knight of the White Orchid,{W}{W},2,W,Mark Zug,6,Creature — Human Knight,"First strike\nWhen Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle your library.","ALA,DDG,ORI",Both guide and guard on open plain.,normal,243423,2,2,Rare,"Human,Knight",Creature
Leonin Skyhunter,{W}{W},2,W,Kev Walker,7,Creature — Cat Knight,Flying,"MRD,9ED,MBS,DDG",The skyhunters were born when the first leonin gazed at the heavens and wished to hunt the birds overhead.,normal,243424,2,2,Uncommon,"Cat,Knight",Creature
Silver Knight,{W}{W},2,W,Steve Prescott,8,Creature — Human Knight,"First strike, protection from red","pFNM,SCG,DDG","""Hammer out your doubts as you forge your weapon. To slay a dragon, your resolve must be stronger than your steel.""",normal,243425,2,2,Uncommon,"Human,Knight",Creature
White Knight,{W}{W},2,W,Christopher Moeller,9,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,pFNM,LGN,M10,M11,ME4,DDG",Out of the blackness and stench of the engulfing swamp emerged a shimmering figure. Only the splattered armor and ichor-stained sword hinted at the unfathomable evil the knight had just laid waste.,normal,243426,2,2,Uncommon,"Human,Knight",Creature
Knotvine Paladin,{G}{W},2,"W,G",Matt Stewart,10,Creature — Human Knight,"Whenever Knotvine Paladin attacks, it gets +1/+1 until end of turn for each untapped creature you control.","ARB,DDG","""He is part of a new breed of guardian, one who embraces the best of both his world and ours.""\n—Mayael the Anima",normal,243427,2,2,Rare,"Human,Knight",Creature
Steward of Valeron,{G}{W},2,"W,G",Greg Staples,11,Creature — Human Druid Knight,Vigilance\n{T}: Add {G} to your mana pool.,"pMEI,ALA,DDG","Knight-stewards guard the Sun-Dappled Court, a grove of immense, sculptured olive trees that represent Valeron's twelve noble families.",normal,243428,2,2,Common,"Human,Druid,Knight",Creature
Benalish Lancer,{2}{W},3,W,Paolo Parente,12,Creature — Human Knight,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)\nIf Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.","INV,DDG",,normal,243429,2,2,Common,"Human,Knight",Creature
Zhalfirin Commander,{2}{W},3,W,Stuart Griffin,13,Creature — Human Knight,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)\n{1}{W}{W}: Target Knight creature gets +1/+1 until end of turn.","MIR,TSB,DDG","""Command is the act of balancing on a vine and convincing others that it is firm ground.""\n—Sidar Jabari",normal,243430,2,2,Uncommon,"Human,Knight",Creature
Knight Exemplar,{1}{W}{W},3,W,Jason Chan,14,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nOther Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)","pMEI,M11,DDG","""If you think you are brave enough to walk the path of honor, follow me into the dragon's den.""",normal,243431,2,2,Rare,"Human,Knight",Creature
Wilt-Leaf Cavaliers,{G/W}{G/W}{G/W},3,"W,G",Steve Prescott,15,Creature — Elf Knight,Vigilance,"pGTW,SHM,DDG","Every elf in Shadowmoor is charged from birth with a terrible duty: to strike back against the ugliness and darkness, even though they are all around and seemingly without end.",normal,243432,3,4,Uncommon,"Elf,Knight",Creature
Kabira Vindicator,{3}{W},4,W,Steven Belledin,16,Creature — Human Knight,Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 2-4\n3/6\nOther creatures you control get +1/+1.\nLEVEL 5+\n4/8\nOther creatures you control get +2/+2.,"ROE,DDG,DDP",,leveler,243433,2,4,Uncommon,"Human,Knight",Creature
Kinsbaile Cavalier,{3}{W},4,W,Wayne Reynolds,17,Creature — Kithkin Knight,Knight creatures you control have double strike.,"MOR,DDG","Ambidexterity is common among kithkin. The thoughtweft links the minds of the left- and right-handed, giving each the knack of the other.",normal,243434,2,2,Rare,"Kithkin,Knight",Creature
