name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ajani Vengeant,{2}{R}{W},4,"W,R",Izzy,1,Planeswalker — Ajani,+1: Target permanent doesn't untap during its controller's next untap step.\n−2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.\n−7: Destroy all lands target player controls.,"pPRE,pLPA,ALA,DDH",,normal,266299,,,Mythic Rare,Ajani,Planeswalker
Kird Ape,{R},1,R,Terese Nielsen,2,Creature — Ape,Kird Ape gets +1/+2 as long as you control a Forest.,"ARN,3ED,pFNM,BTD,9ED,V09,DDH,EMA","Apes can be gentle, contemplative beasts—but context is everything.",normal,249382,1,1,Uncommon,Ape,Creature
Essence Warden,{G},1,G,Terese Nielsen,3,Creature — Elf Shaman,"Whenever another creature enters the battlefield, you gain 1 life.","PLC,DDH,C14","""The more our numbers grow, the more I gain hope that Volrath and his cursed stronghold will one day fall.""\n—Eladamri, Lord of Leaves",normal,249374,1,1,Common,"Elf,Shaman",Creature
Wild Nacatl,{G},1,G,Wayne Reynolds,4,Creature — Cat Warrior,Wild Nacatl gets +1/+1 as long as you control a Mountain.\nWild Nacatl gets +1/+1 as long as you control a Plains.,"pFNM,ALA,DDH","""The Cloud Nacatl sit and think, a bunch of soft paws. We are the Claws of Marisi, stalking, pouncing, drawing blood.""",normal,249401,1,1,Common,"Cat,Warrior",Creature
Loam Lion,{W},1,W,Daniel Ljunggren,5,Creature — Cat,Loam Lion gets +1/+2 as long as you control a Forest.,"WWK,DDH","In Zendikar, today's grassland could be tomorrow's jungle, and hunting grounds change as quickly as the weather.",normal,249377,1,1,Uncommon,Cat,Creature
Canyon Wildcat,{1}{R},2,R,Gary Leach,6,Creature — Cat,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"TMP,8ED,DDH,TPR","""Relative of yours?"" Ertai teased. Mirri simply sneered.",normal,249412,2,1,Common,Cat,Creature
Jade Mage,{1}{G},2,G,Izzy,7,Creature — Human Shaman,{2}{G}: Put a 1/1 green Saproling creature token onto the battlefield.,"M12,DDH,C13","""We are one with the wild things. Life blooms from our fingertips and nature responds to our summons.""\n—Jade creed",normal,249397,2,1,Uncommon,"Human,Shaman",Creature
Sylvan Ranger,{1}{G},2,G,Christopher Moeller,8,Creature — Elf Scout,"When Sylvan Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.","pWPN,M11,DDH,C14","""Not all paths are found on the forest floor.""",normal,249399,1,1,Common,"Elf,Scout",Creature
Ajani's Pridemate,{1}{W},2,W,Svetlin Velinov,9,Creature — Cat Soldier,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.","M11,DDH,C13,M15","""When one of us prospers, the pride prospers.""\n—Jazal Goldmane",normal,249413,2,2,Uncommon,"Cat,Soldier",Creature
Qasali Pridemage,{G}{W},2,"W,G",Chris Rahn,10,Creature — Cat Wizard,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{1}, Sacrifice Qasali Pridemage: Destroy target artifact or enchantment.","pFNM,ARB,DDH","An elder in one pride, of the Sigiled caste in another.",normal,249405,2,2,Common,"Cat,Wizard",Creature
Grazing Gladehart,{2}{G},3,G,Ryan Pancoast,11,Creature — Antelope,"Landfall — Whenever a land enters the battlefield under your control, you may gain 2 life.","ZEN,DDH,C13,DDO,DDP","""Don't be fooled. If it were as docile as it looks, it would've died off long ago.""\n—Yon Basrel, Oran-Rief survivalist",normal,249378,2,2,Common,Antelope,Creature
Fleetfoot Panther,{1}{G}{W},3,"W,G",Mark Brill,12,Creature — Cat,"Flash\nWhen Fleetfoot Panther enters the battlefield, return a green or white creature you control to its owner's hand.","PLS,DDH",,normal,249391,3,4,Uncommon,Cat,Creature
Woolly Thoctar,{R}{G}{W},3,"W,R,G",Wayne Reynolds,13,Creature — Beast,,"pWPN,ALA,DDH","One of the most ferocious and deadly gargantuans, the thoctar never sees its worshippers, but it often awakens surrounded by gifts and sacrifices.",normal,249368,5,4,Uncommon,Beast,Creature
Briarhorn,{3}{G},4,G,Nils Hamm,14,Creature — Elemental,"Flash\nWhen Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.\nEvoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","LRW,HOP,DDH",,normal,249383,3,3,Uncommon,Elemental,Creature
Loxodon Hierarch,{2}{G}{W},4,"W,G",Kev Walker,15,Creature — Elephant Cleric,"When Loxodon Hierarch enters the battlefield, you gain 4 life.\n{G}{W}, Sacrifice Loxodon Hierarch: Regenerate each creature you control.","RAV,DDH","""I have lived long, and I remember how this city once was. If my death serves to bring back the Ravnica in my memory, then so be it.""",normal,249414,4,4,Rare,"Elephant,Cleric",Creature
Spitemare,{2}{R/W}{R/W},4,"W,R",Matt Cavotta,16,Creature — Elemental,"Whenever Spitemare is dealt damage, it deals that much damage to target creature or player.","EVE,DDH","""I knew a creature carved from a dream of wild freedom. Any attempt to leash or exploit it failed, and at terrible cost.""\n—Ashling",normal,249388,3,3,Uncommon,Elemental,Creature
Marisi's Twinclaws,{2}{R/W}{G},4,"W,R,G",Izzy,17,Creature — Cat Warrior,Double strike,"pWPN,ARB,DDH","""Looks like we're completely outnumbered.""\n""Lucky for us. I thought we'd be bored.""",normal,249375,2,4,Uncommon,"Cat,Warrior",Creature
Ageless Entity,{3}{G}{G},5,G,Jeff Miracola,18,Creature — Elemental,"Whenever you gain life, put that many +1/+1 counters on Ageless Entity.","DST,DDH","Tel-Jilad's sworn protectors are the trolls, yet more fearsome protectors were created by the Tangle itself.",normal,249411,4,4,Rare,Elemental,Creature
Pride of Lions,{3}{G}{G},5,G,Carl Critchlow,19,Creature — Cat,You may have Pride of Lions assign its combat damage as though it weren't blocked.,"S99,7ED,DDH",There's only one thing worse than a hungry lion—many hungry lions.,normal,249371,4,4,Uncommon,Cat,Creature
Nacatl Hunt-Pride,{5}{W},6,"W,R,G",Steve Prescott,20,Creature — Cat Warrior,"Vigilance\n{R}, {T}: Target creature can't block this turn.\n{G}, {T}: Target creature blocks this turn if able.","CON,DDH","""We must hunt and kill the dragon before it can return to raze our ancient city.""",normal,249409,5,4,Uncommon,"Cat,Warrior",Creature
Firemane Angel,{3}{R}{W}{W},6,"W,R",Matt Cavotta,21,Creature — Angel,"Flying, first strike\nAt the beginning of your upkeep, if Firemane Angel is in your graveyard or on the battlefield, you may gain 1 life.\n{6}{R}{R}{W}{W}: Return Firemane Angel from your graveyard to the battlefield. Activate this ability only during your upkeep.","RAV,DDH",,normal,249366,4,3,Rare,Angel,Creature
Ajani's Mantra,{1}{W},2,W,James Paick,22,Enchantment,"At the beginning of your upkeep, you may gain 1 life.","M11,DDH","""He hasn't returned to the Cloud Forest. But I can still sense his calming presence.""\n—Zaliki of Naya",normal,249398,,,Common,,Enchantment
Lightning Helix,{R}{W},2,"W,R",Raymond Swanland,23,Instant,Lightning Helix deals 3 damage to target creature or player and you gain 3 life.,"pMPR,RAV,HOP,DDH,MMA,DDN","""Rage is not the answer. Rage followed by fitting vengeance is the answer.""\n—Ajani",normal,249386,,,Uncommon,,Instant
Lead the Stampede,{2}{G},3,G,Efrem Palacios,24,Sorcery,Look at the top five cards of your library. You may reveal any number of creature cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.,"MBS,DDH,CNS",,normal,249369,,,Uncommon,,Sorcery
Griffin Guide,{2}{W},3,W,Jim Nelson,25,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +2/+2 and has flying.\nWhen enchanted creature dies, put a 2/2 white Griffin creature token with flying onto the battlefield.","TSP,DDG,DDH,DDL",,normal,249372,,,Uncommon,Aura,Enchantment
Recumbent Bliss,{2}{W},3,W,Todd Lockwood,26,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block.\nAt the beginning of your upkeep, you may gain 1 life.","EVE,DDH",Kithkin somnomancers enjoy the peaceful dreams wafting from their victims.,normal,249400,,,Common,Aura,Enchantment
Searing Meditation,{1}{R}{W},3,"W,R",Dave Dorman,27,Enchantment,"Whenever you gain life, you may pay {2}. If you do, Searing Meditation deals 2 damage to target creature or player.","RAV,DDH","""When I meditate I see the world as it should be. All that does not fit, I remove.""\n—Alovnek, Boros guildmage",normal,249380,,,Rare,,Enchantment
Behemoth Sledge,{1}{G}{W},3,"W,G",Dave Allsop,28,Artifact — Equipment,Equipped creature gets +2/+2 and has lifelink and trample.\nEquip {3},"ARB,DDH,C13","""May this grant you all the strength of the behemoths and none of their serenity.""\n—Ajani",normal,249396,,,Uncommon,Equipment,Artifact
Naya Charm,{R}{G}{W},3,"W,R,G",Jesper Ejsing,29,Instant,Choose one —\n• Naya Charm deals 3 damage to target creature.\n• Return target card from a graveyard to its owner's hand.\n• Tap all creatures target player controls.,"ALA,DDH,C13",Deep in nature's core lies a potential unsullied by greed or civilization.,normal,249385,,,Uncommon,,Instant
Sylvan Bounty,{5}{G},6,G,Chris Rahn,30,Instant,"Target player gains 8 life.\nBasic landcycling {1}{G} ({1}{G}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)","CON,DDH,MMA,MM2",Some who scouted new lands chose to stay.,normal,249392,,,Common,,Instant
Titanic Ultimatum,{R}{R}{G}{G}{G}{W}{W},7,"W,R,G",Steve Prescott,31,Sorcery,"Until end of turn, creatures you control get +5/+5 and gain first strike, lifelink, and trample.","ALA,DDH","""Retribution is best delivered by claws and rage, with both magnified.""\n—Ajani",normal,249370,,,Rare,,Sorcery
Evolving Wilds,,,,Steven Belledin,32,Land,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.","pMEI,pFNM,ROE,CMD,DDH,DKA,M13,DDK,C13,M15,DDN,C14,DDO,DTK,MM2,ORI,DDP,BFZ,C15","Every world is an organism, able to grow new lands. Some just do it faster than others.",normal,249395,,,Common,,Land
Graypelt Refuge,,,"G,W",Philip Straub,33,Land,"Graypelt Refuge enters the battlefield tapped.\nWhen Graypelt Refuge enters the battlefield, you gain 1 life.\n{T}: Add {G} or {W} to your mana pool.","ZEN,ARC,DDH,PC2,DDP",,normal,249379,,,Uncommon,,Land
Jungle Shrine,,,"R,G,W",Wayne Reynolds,34,Land,"Jungle Shrine enters the battlefield tapped.\n{T}: Add {R}, {G}, or {W} to your mana pool.","ALA,DDH,C13","On Naya, ambition and treachery are scarce, hunted nearly to extinction by the awe owed to terrestrial gods.",normal,249403,,,Uncommon,,Land
Kazandu Refuge,,,"R,G",Franz Vohwinkel,35,Land,"Kazandu Refuge enters the battlefield tapped.\nWhen Kazandu Refuge enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G} to your mana pool.","ZEN,ARC,CMD,DDH,PC2,DDL,C13",,normal,249402,,,Uncommon,,Land
Sapseep Forest,,,G,Aleksi Briclot,36,Land — Forest,"({T}: Add {G} to your mana pool.)\nSapseep Forest enters the battlefield tapped.\n{G}, {T}: You gain 1 life. Activate this ability only if you control two or more green permanents.","SHM,DDH",,normal,249389,,,Uncommon,Forest,Land
"Vitu-Ghazi, the City-Tree",,,"G,W",Martina Pilcerova,37,Land,"{T}: Add {C} to your mana pool.\n{2}{G}{W}, {T}: Put a 1/1 green Saproling creature token onto the battlefield.","RAV,ARC,DDH,PC2,C13","In the autumn, she casts her seeds across the streets below, and come spring, her children rise in service to the Conclave.",normal,249393,,,Uncommon,,Land
Forest,,,G,Zoltan Boros & Gabor Szikszai,38,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,SOI",,normal,262651,,,Basic Land,Forest,Land
