name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Niv-Mizzet, the Firemind",{2}{U}{U}{R}{R},6,"U,R",Svetlin Velinov,1,Legendary Creature — Dragon Wizard,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to target creature or player.\n{T}: Draw a card.","GPT,pCMP,DRB,DDJ,MM2",,normal,292738,4,4,Mythic Rare,"Dragon,Wizard",Creature
Kiln Fiend,{1}{R},2,R,Adi Granov,2,Creature — Elemental Beast,"Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn.","ROE,DDJ",It traps an explosion within its stony skin.,normal,292742,1,2,Common,"Elemental,Beast",Creature
Goblin Electromancer,{U}{R},2,"U,R",Svetlin Velinov,3,Creature — Goblin Wizard,Instant and sorcery spells you cast cost {1} less to cast.,"DDJ,RTR,C15","When asked how much power is required, Izzet mages always answer ""more.""",normal,338414,2,2,Common,"Goblin,Wizard",Creature
Izzet Guildmage,{U/R}{U/R},2,"U,R",Jim Murray,4,Creature — Human Wizard,({U/R} can be paid with either {U} or {R}.)\n{2}{U}: Copy target instant spell you control with converted mana cost 2 or less. You may choose new targets for the copy.\n{2}{R}: Copy target sorcery spell you control with converted mana cost 2 or less. You may choose new targets for the copy.,"GPT,DDJ",,normal,292735,2,2,Uncommon,"Human,Wizard",Creature
Gelectrode,{1}{U}{R},3,"U,R",Dan Scott,5,Creature — Weird,"{T}: Gelectrode deals 1 damage to target creature or player.\nWhenever you cast an instant or sorcery spell, you may untap Gelectrode.","GPT,DDJ","""Diametrically opposing energies in self-sealed plasmodermic bubbles make great pets!""\n—Trivaz, Izzet mage",normal,292731,0,1,Uncommon,Weird,Creature
Wee Dragonauts,{1}{U}{R},3,"U,R",Greg Staples,6,Creature — Faerie Wizard,"Flying\nWhenever you cast an instant or sorcery spell, Wee Dragonauts gets +2/+0 until end of turn.","pARL,GPT,DDJ,EMA","""The blazekite is a simple concept, really—just a vehicular application of dragscoop ionics and electropropulsion magnetronics.""\n—Juzba, Izzet tinker",normal,292741,1,3,Common,"Faerie,Wizard",Creature
Steamcore Weird,{3}{U},4,"U,R",Justin Norman,7,Creature — Weird,"When Steamcore Weird enters the battlefield, if {R} was spent to cast Steamcore Weird, it deals 2 damage to target creature or player.","GPT,DDH,DDJ","Like many Izzet creations, weirds are based on wild contradictions yet somehow manage to work.",normal,338393,1,3,Common,Weird,Creature
Shrewd Hatchling,{3}{U/R},4,"U,R",Carl Frank,8,Creature — Elemental,"Shrewd Hatchling enters the battlefield with four -1/-1 counters on it.\n{U/R}: Target creature can't block Shrewd Hatchling this turn.\nWhenever you cast a blue spell, remove a -1/-1 counter from Shrewd Hatchling.\nWhenever you cast a red spell, remove a -1/-1 counter from Shrewd Hatchling.","EVE,DDJ,MM2",,normal,338395,6,6,Uncommon,Elemental,Creature
Ogre Savant,{4}{R},5,"R,U",Paolo Parente,9,Creature — Ogre Wizard,"When Ogre Savant enters the battlefield, if {U} was spent to cast Ogre Savant, return target creature to its owner's hand.","GPT,DDH,DDJ",He's an oxymoron.,normal,338389,3,2,Common,"Ogre,Wizard",Creature
Galvanoth,{3}{R}{R},5,R,Kev Walker,10,Creature — Beast,"At the beginning of your upkeep, you may look at the top card of your library. If it's an instant or sorcery card, you may cast it without paying its mana cost.","MBS,DDJ",It chews open Mirrodin's husk and feeds on the outpouring of energy.,normal,338469,3,3,Rare,Beast,Creature
Izzet Chronarch,{3}{U}{R},5,"U,R",Steven Belledin,11,Creature — Human Wizard,"When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand.","GPT,CMD,DDJ",He ensures not only whether but also when and where the lightning strikes twice.,normal,292734,2,2,Common,"Human,Wizard",Creature
