name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Sorin, Lord of Innistrad",{2}{W}{B},4,"W,B",Chase Stone,1,Planeswalker — Sorin,"+1: Put a 1/1 black Vampire creature token with lifelink onto the battlefield.\n−2: You get an emblem with ""Creatures you control get +1/+0.""\n−6: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control.","DKA,DDK",,normal,368535,,,Mythic Rare,Sorin,Planeswalker
Doomed Traveler,{W},1,W,Lars Grant-West,2,Creature — Human Soldier,"When Doomed Traveler dies, put a 1/1 white Spirit creature token with flying onto the battlefield.","ISD,DDK,CNS,DDQ",He vowed he would never rest until he reached his destination. He doesn't know how right he was.,normal,368503,1,1,Common,"Human,Soldier",Creature
Vampire Lacerator,{B},1,B,Steve Argyle,3,Creature — Vampire Warrior,"At the beginning of your upkeep, you lose 1 life unless an opponent has 10 or less life.","ZEN,DDK,MM2",The lacerators cut themselves before each hunt. They must feed before the sun rises or bleed to death.,normal,368481,2,2,Common,"Vampire,Warrior",Creature
Wall of Omens,{1}{W},2,W,James Paick,4,Creature — Wall,"Defender\nWhen Wall of Omens enters the battlefield, draw a card.","pFNM,ROE,CMD,DDK,EMA","""I search for a vision of Zendikar that does not include the Eldrazi.""\n—Expedition journal entry",normal,368516,0,4,Uncommon,Wall,Creature
Child of Night,{1}{B},2,B,Ash Wood,5,Creature — Vampire,Lifelink (Damage dealt by this creature also causes you to gain that much life.),"M10,M11,M12,DDK,M14,M15",Sins that would be too gruesome in the light of day are made more pleasing in the dark of night.,normal,368520,2,1,Common,Vampire,Creature
Duskhunter Bat,{1}{B},2,B,Jesper Ejsing,6,Creature — Bat,"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)\nFlying","M12,DDK,MM2","The swamps go silent at its approach, but it still hears the heartbeat of the prey within.",normal,368541,1,1,Common,Bat,Creature
Mesmeric Fiend,{1}{B},2,B,Dana Knutson,7,Creature — Nightmare Horror,"When Mesmeric Fiend enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card.\nWhen Mesmeric Fiend leaves the battlefield, return the exiled card to its owner's hand.","TOR,DDK,VMA",,normal,368519,1,1,Common,"Nightmare,Horror",Creature
Gatekeeper of Malakir,{B}{B},2,B,Karl Kopinski,8,Creature — Vampire Warrior,"Kicker {B} (You may pay an additional {B} as you cast this spell.)\nWhen Gatekeeper of Malakir enters the battlefield, if it was kicked, target player sacrifices a creature.","pFNM,ZEN,DDK","""You may enter the city—once the toll is paid.""",normal,368479,2,2,Uncommon,"Vampire,Warrior",Creature
Twilight Drover,{2}{W},3,W,Dave Allsop,9,Creature — Spirit,"Whenever a creature token leaves the battlefield, put a +1/+1 counter on Twilight Drover.\n{2}{W}, Remove a +1/+1 counter from Twilight Drover: Put two 1/1 white Spirit creature tokens with flying onto the battlefield.","RAV,DDK",,normal,368549,1,1,Rare,Spirit,Creature
Bloodrage Vampire,{2}{B},3,B,Steve Prescott,10,Creature — Vampire,"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)","M12,DDK",The most genteel facades hide the most abominable desires.,normal,368543,3,1,Common,Vampire,Creature
