name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Sun Titan,{4}{W}{W},6,W,Karl Kopinski,1,Creature — Giant,"Vigilance\nWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield.","pPRE,M11,M12,DDL,C14,C15",A blazing sun that never sets.,normal,373379,6,6,Mythic Rare,Giant,Creature
Somberwald Vigilante,{R},1,R,John Stanko,2,Creature — Human Warrior,"Whenever Somberwald Vigilante becomes blocked by a creature, Somberwald Vigilante deals 1 damage to that creature.","AVR,DDL",He has nothing left but his resentment.,normal,373385,1,1,Common,"Human,Warrior",Creature
Figure of Destiny,{R/W},1,"W,R",Scott M. Fischer,3,Creature — Kithkin,"{R/W}: Figure of Destiny becomes a Kithkin Spirit with base power and toughness 2/2.\n{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a Kithkin Spirit Warrior with base power and toughness 4/4.\n{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes a Kithkin Spirit Warrior Avatar with base power and toughness 8/8, flying, and first strike.","pLPA,EVE,PD2,MMA,DDL",,normal,373388,1,1,Rare,Kithkin,Creature
Cavalry Pegasus,{1}{W},2,W,Kev Walker,4,Creature — Pegasus,"Flying\nWhenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.","DDL,THS","""It is hope, hooved and winged.""\n—Cymede, queen of Akros",normal,373353,1,1,Common,Pegasus,Creature
Fencing Ace,{1}{W},2,W,David Rapoza,5,Creature — Human Soldier,Double strike (This creature deals both first-strike and regular combat damage.),"RTR,DDL",His prowess gives the guildless hope that they can hold out against tyranny.,normal,373367,1,1,Uncommon,"Human,Soldier",Creature
Thraben Valiant,{1}{W},2,W,Jason Chan,6,Creature — Human Soldier,Vigilance,"AVR,DDL","""Once more into Devil's Breach, soldiers. I want another devil tail for my collection.""",normal,373342,2,1,Common,"Human,Soldier",Creature
Stun Sniper,{R}{W},2,"W,R",Steve Prescott,7,Creature — Human Archer,"{1}, {T}: Stun Sniper deals 1 damage to target creature. Tap that creature.","ARB,DDL","The tips of her bolts are blunt, but her aim is deadly sharp.",normal,373391,1,1,Uncommon,"Human,Archer",Creature
Truefire Paladin,{R}{W},2,"W,R",Michael C. Hayes,8,Creature — Human Knight,Vigilance\n{R}{W}: Truefire Paladin gets +2/+0 until end of turn.\n{R}{W}: Truefire Paladin gains first strike until end of turn.,"GTC,DDL",,normal,373395,2,2,Uncommon,"Human,Knight",Creature
Auramancer,{2}{W},3,W,Rebecca Guay,9,Creature — Human Wizard,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.","ODY,pWPN,M12,PC2,M14,DDL,ORI","""In memories, we can find our deepest reserves of strength.""",normal,373402,2,2,Common,"Human,Wizard",Creature
Freewind Equenaut,{2}{W},3,W,Rebecca Guay,10,Creature — Human Archer,"Flying\nAs long as Freewind Equenaut is enchanted, it has ""{T}: Freewind Equenaut deals 2 damage to target attacking or blocking creature.""","DIS,DDL","Confront her, and feel the hooves of her steed. Ignore her, and feel the sting of her arrow.",normal,373376,2,2,Common,"Human,Archer",Creature
Anax and Cymede,{1}{R}{W},3,"W,R",Willian Murai,11,Legendary Creature — Human Soldier,"First strike, vigilance\nHeroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.","DDL,THS",Akros's greatest heroes are also its royalty.,normal,373396,3,2,Rare,"Human,Soldier",Creature
Armory Guard,{3}{W},4,W,Karl Kopinski,12,Creature — Giant Soldier,Armory Guard has vigilance as long as you control a Gate.,"RTR,DDL","The Dimir agents watched from the shadows. ""Eight hours, and I've yet to see him blink,"" Nefara hissed. ""I suggest we find another way in.""",normal,373415,2,5,Common,"Giant,Soldier",Creature
Gustcloak Sentinel,{2}{W}{W},4,W,Mark Zug,13,Creature — Human Soldier,"Whenever Gustcloak Sentinel becomes blocked, you may untap it and remove it from combat.","ONS,DDL,DDO","Entire platoons have mysteriously vanished from battle, leaving enemy weapons to slice through empty air.",normal,373364,3,3,Uncommon,"Human,Soldier",Creature
Dawnstrike Paladin,{3}{W}{W},5,W,Tyler Jacobson,14,Creature — Human Knight,Vigilance (Attacking doesn't cause this creature to tap.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.),"M14,DDL",She crushes darkness beneath her charger's hooves.,normal,373371,2,4,Common,"Human,Knight",Creature
Nobilis of War,{R/W}{R/W}{R/W}{R/W}{R/W},5,"W,R",Christopher Moeller,15,Creature — Spirit Avatar,Flying\nAttacking creatures you control get +2/+0.,"EVE,DDL,MM2","""A great siege is a banquet to him; a long and terrible battle, the most exquisite delicacy.""\n—The Seer's Parables",normal,373336,3,4,Rare,"Spirit,Avatar",Creature
"Kamahl, Pit Fighter",{4}{R}{R},6,R,Kev Walker,16,Legendary Creature — Human Barbarian,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}: Kamahl, Pit Fighter deals 3 damage to target creature or player.","ODY,10E,p15A,DPA,DDL","In times when freedom seems lost, great souls arise to reclaim it.",normal,373338,6,1,Rare,"Human,Barbarian",Creature
Condemn,{W},1,W,Daren Bader,17,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14","""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now.""\n—Alovnek, Boros guildmage",normal,373407,,,Uncommon,,Instant
