name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Zurgo Helmsmasher,{2}{R}{W}{B},5,"W,B,R",Ryan Alexander Lee,1,Legendary Creature — Orc Warrior,"Haste\nZurgo Helmsmasher attacks each combat if able.\nZurgo Helmsmasher has indestructible as long as it's your turn.\nWhenever a creature dealt damage by Zurgo Helmsmasher this turn dies, put a +1/+1 counter on Zurgo Helmsmasher.","pPRE,DDN,KTK",,normal,386380,7,2,Mythic Rare,"Orc,Warrior",Creature
Frenzied Goblin,{R},1,R,Carl Critchlow,2,Creature — Goblin Berserker,"Whenever Frenzied Goblin attacks, you may pay {R}. If you do, target creature can't block this turn.","pFNM,RAV,M15,DDN",The upside to not thinking about the consequences is that you'll always surprise those who do.,normal,386319,1,1,Uncommon,"Goblin,Berserker",Creature
Infantry Veteran,{W},1,W,Zoltan Boros,3,Creature — Human Soldier,{T}: Target attacking creature gets +1/+1 until end of turn.,"VIS,ATH,6ED,BRB,9ED,M11,DDF,DDN","""Swords, to me! We must engage their line to protect our archers and mages. Let no one fail this task!""",normal,386331,1,1,Common,"Human,Soldier",Creature
Leonin Snarecaster,{1}{W},2,W,Kev Walker,4,Creature — Cat Soldier,"When Leonin Snarecaster enters the battlefield, you may tap target creature.","THS,DDN","Formerly oppressed by the polis of Meletis, leonin occasionally ""mistake"" their old enemies for game.",normal,386341,2,1,Common,"Cat,Soldier",Creature
Dregscape Zombie,{1}{B},2,B,Lars Grant-West,5,Creature — Zombie,Unearth {B} ({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),"ALA,HOP,ARC,DDN",The undead of Grixis are fueled by their hatred of the living.,normal,386309,2,1,Common,Zombie,Creature
Goblin Deathraiders,{B}{R},2,"B,R",Raymond Swanland,6,Creature — Goblin Warrior,Trample,"ALA,DDN","Every once in a while, when they aren't getting incinerated in lava, crushed under rock slides, or devoured by dragons, goblins experience moments of unmitigated glory in battle.",normal,386324,3,1,Common,"Goblin,Warrior",Creature
Hellraiser Goblin,{2}{R},3,R,Karl Kopinski,7,Creature — Goblin Berserker,Creatures you control have haste and attack each combat if able.,"GTC,DDN","Don't let him lead the soldiers, but by all means let him lead the way.",normal,386327,2,2,Uncommon,"Goblin,Berserker",Creature
Fleshbag Marauder,{2}{B},3,B,Mark Zug,8,Creature — Zombie Warrior,"When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.","ALA,DDD,CMD,DDN,DD3_GVL,ORI","Grixis is a world where the only things found in abundance are death and decay. Corpses, whole or in part, are the standard currency among necromancers and demons.",normal,386318,3,1,Uncommon,"Zombie,Warrior",Creature
Goblin Warchief,{1}{R}{R},3,R,Greg & Tim Hildebrandt,9,Creature — Goblin Warrior,Goblin spells you cast cost {1} less to cast.\nGoblin creatures you control have haste.,"pFNM,SCG,EVG,VMA,DDN,DD3_EVG","They poured from the Skirk Ridge like lava, burning and devouring everything in their path.",normal,386325,2,2,Uncommon,"Goblin,Warrior",Creature
Hell's Thunder,{1}{R}{R},3,R,Karl Kopinski,10,Creature — Elemental,"Flying, haste\nAt the beginning of the end step, sacrifice Hell's Thunder.\nUnearth {4}{R} ({4}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","ALA,DDN",,normal,386326,4,4,Rare,Elemental,Creature
