name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Elspeth, Sun's Champion",{4}{W}{W},6,W,Tyler Jacobson,1,Planeswalker — Elspeth,"+1: Put three 1/1 white Soldier creature tokens onto the battlefield.\n−3: Destroy all creatures with power 4 or greater.\n−7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""","THS,DDO",,normal,394361,,,Mythic Rare,Elspeth,Planeswalker
Banisher Priest,{1}{W}{W},3,W,Willian Murai,2,Creature — Human Cleric,"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. (That creature returns under its owner's control.)","pFNM,M14,DDO","""Oathbreaker, I cast you out!""",normal,394353,2,2,Uncommon,"Human,Cleric",Creature
Captain of the Watch,{4}{W}{W},6,W,Greg Staples,3,Creature — Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.)\nOther Soldier creatures you control get +1/+1 and have vigilance.\nWhen Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield.","M10,M13,DDO",,normal,394354,3,3,Rare,"Human,Soldier",Creature
Celestial Flare,{W}{W},2,W,Clint Cearley,4,Instant,Target player sacrifices an attacking or blocking creature.,"M14,DDO,ORI","""You were defeated the moment you declared your aggression.""\n—Gideon Jura",normal,394355,,,Common,,Instant
Court Street Denizen,{2}{W},3,W,Volkan Baga,5,Creature — Human Soldier,"Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.","GTC,DDO","""The Boros fight for justice. The Azorius fight for law. I hold the line between, and make sure the people are given both.""",normal,394357,2,2,Common,"Human,Soldier",Creature
Dauntless Onslaught,{2}{W},3,W,Peter Mohrbacher,6,Instant,Up to two target creatures each get +2/+2 until end of turn.,"THS,DDN,DDO","""The people of Akros must learn from our leonin adversaries. If we match their staunch ferocity with our superior faith, we cannot fail.""\n—Cymede, queen of Akros",normal,394358,,,Uncommon,,Instant
Decree of Justice,{X}{X}{2}{W}{W},4,W,Lius Lasahido,7,Sorcery,"Put X 4/4 white Angel creature tokens with flying onto the battlefield.\nCycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle Decree of Justice, you may pay {X}. If you do, put X 1/1 white Soldier creature tokens onto the battlefield.","pJGP,SCG,VMA,C14,DDO",,normal,394359,,,Rare,,Sorcery
Dictate of Heliod,{3}{W}{W},5,W,Terese Nielsen,8,Enchantment,Flash\nCreatures you control get +2/+2.,"JOU,DDO,C15","""In our war Heliod gave mortals some favor, yet other times he withheld aid. Are we still no more than game pieces to him?""\n—Polyxene the Doubter",normal,394360,,,Rare,,Enchantment
Gempalm Avenger,{5}{W},6,W,Tim Hildebrandt,9,Creature — Human Soldier,"Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle Gempalm Avenger, Soldier creatures get +1/+1 and gain first strike until end of turn.","LGN,DDO",,normal,394368,3,5,Common,"Human,Soldier",Creature
Gustcloak Harrier,{1}{W}{W},3,W,Dan Frazier,10,Creature — Bird Soldier,"Flying\nWhenever Gustcloak Harrier becomes blocked, you may untap it and remove it from combat.","ONS,VMA,DDO","Banking steeply, the aven streaked toward the ground—and vanished.",normal,394370,2,2,Common,"Bird,Soldier",Creature
