name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Avenger of Zendikar,{5}{G}{G},7,G,Aleksi Briclot,1,Creature — Elemental,"When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.\nLandfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.","WWK,C13,DDP",,normal,401643,5,5,Mythic Rare,Elemental,Creature
Affa Guard Hound,{2}{W},3,W,Ryan Pancoast,2,Creature — Hound,"Flash\nWhen Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.","ROE,DDP","Once a welcoming hub for explorers, Affa became a place of guarded tongues and quick defenses.",normal,401644,2,2,Uncommon,Hound,Creature
Caravan Escort,{W},1,W,Goran Josic,3,Creature — Human Knight,Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-4\n2/2\nLEVEL 5+\n5/5\nFirst strike,"ROE,DDG,DDP",,leveler,401645,1,1,Common,"Human,Knight",Creature
Kabira Vindicator,{3}{W},4,W,Steven Belledin,4,Creature — Human Knight,Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 2-4\n3/6\nOther creatures you control get +1/+1.\nLEVEL 5+\n4/8\nOther creatures you control get +2/+2.,"ROE,DDG,DDP",,leveler,401646,2,4,Uncommon,"Human,Knight",Creature
Knight of Cliffhaven,{1}{W},2,W,Matt Cavotta,5,Creature — Kor Knight,"Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-3\n2/3\nFlying\nLEVEL 4+\n4/4\nFlying, vigilance","ROE,DDG,DDP",,leveler,401647,2,2,Common,"Kor,Knight",Creature
Makindi Griffin,{3}{W},4,W,Izzy,6,Creature — Griffin,Flying,"ROE,DDP","As the hedrons began to coalesce into colossal Eldrazi superstructures, the griffins were forced to seek new territory lest their aeries be crushed between the massive stone monoliths.",normal,401648,2,4,Common,Griffin,Creature
Oust,{W},1,W,Mike Bierek,7,Sorcery,Put target creature into its owner's library second from the top. Its controller gains 3 life.,"ROE,DDP","""‘Invincible' is just a word.""\n—Gideon Jura",normal,401649,,,Uncommon,,Sorcery
Repel the Darkness,{2}{W},3,W,Scott Chou,8,Instant,Tap up to two target creatures.\nDraw a card.,"ROE,DDP",A boon to those who cannot see in the dark. A bane to those who live in it.,normal,401650,,,Common,,Instant
Sheer Drop,{2}{W},3,W,Clint Cearley,9,Sorcery,"Destroy target tapped creature.\nAwaken 3—{5}{W} (If you cast this spell for {5}{W}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)","DDP,BFZ",,normal,401651,,,Common,,Sorcery
Beastbreaker of Bala Ged,{1}{G},2,G,Karl Kopinski,10,Creature — Human Warrior,Level up {2}{G} ({2}{G}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-3\n4/4\nLEVEL 4+\n6/6\nTrample,"ROE,DDP",,leveler,401652,2,2,Uncommon,"Human,Warrior",Creature
Daggerback Basilisk,{2}{G},3,G,Jesper Ejsing,11,Creature — Basilisk,Deathtouch,"ROE,DDP","""Petrifying gaze, deadly fangs, knifelike dorsal spines, venomous saliva . . . Am I missing anything? . . . Toxic bones? Seriously?""\n—Samila, Murasa Expeditionary House",normal,401653,2,2,Common,Basilisk,Creature
Frontier Guide,{1}{G},2,G,Wayne Reynolds,12,Creature — Elf Scout,"{3}{G}, {T}: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.","ZEN,DDP","""The elders say Zendikar has no safe, peaceful places. How would they know? They've never looked.""",normal,401654,1,1,Uncommon,"Elf,Scout",Creature
Graypelt Hunter,{3}{G},4,G,Svetlin Velinov,13,Creature — Human Warrior Ally,"Trample\nWhenever Graypelt Hunter or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Graypelt Hunter.","WWK,DDP",He'll cleave wood and bone alike to carve a path for his allies.,normal,401655,2,2,Common,"Human,Warrior,Ally",Creature
Grazing Gladehart,{2}{G},3,G,Ryan Pancoast,14,Creature — Antelope,"Landfall — Whenever a land enters the battlefield under your control, you may gain 2 life.","ZEN,DDH,C13,DDO,DDP","""Don't be fooled. If it were as docile as it looks, it would've died off long ago.""\n—Yon Basrel, Oran-Rief survivalist",normal,401656,2,2,Common,Antelope,Creature
Groundswell,{G},1,G,Chris Rahn,15,Instant,"Target creature gets +2/+2 until end of turn.\nLandfall — If you had a land enter the battlefield under your control this turn, that creature gets +4/+4 until end of turn instead.","WWK,DDP","""This world will not be tamed.""",normal,401657,,,Common,,Instant
Harrow,{2}{G},3,G,Izzy,16,Instant,"As an additional cost to cast Harrow, sacrifice a land.\nSearch your library for up to two basic land cards and put them onto the battlefield. Then shuffle your library.","TMP,INV,pMPR,ZEN,DDE,C14,TPR,DDP","The Roil redraws the world as it passes, leaving only the hedrons unchanged.",normal,401658,,,Common,,Instant
Joraga Bard,{3}{G},4,G,Volkan Baga,17,Creature — Elf Rogue Ally,"Whenever Joraga Bard or another Ally enters the battlefield under your control, you may have Ally creatures you control gain vigilance until end of turn.","ZEN,DDP","Adventuring bards recite Chanter's Epics, never-ending tales that keep their comrades' minds alert to danger.",normal,401659,1,4,Common,"Elf,Rogue,Ally",Creature
Khalni Heart Expedition,{1}{G},2,G,Jason Chan,18,Enchantment,"Landfall — Whenever a land enters the battlefield under your control, you may put a quest counter on Khalni Heart Expedition.\nRemove three quest counters from Khalni Heart Expedition and sacrifice it: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.","ZEN,DDP",,normal,401660,,,Common,,Enchantment
Ondu Giant,{3}{G},4,G,Igor Kieryluk,19,Creature — Giant Druid,"When Ondu Giant enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.","ROE,PC2,DDP",Some druids nurture gardens. Others nurture continents.,normal,401661,2,4,Common,"Giant,Druid",Creature
Primal Command,{3}{G}{G},5,G,Magali Villeneuve,20,Sorcery,"Choose two —\n• Target player gains 7 life.\n• Put target noncreature permanent on top of its owner's library.\n• Target player shuffles his or her graveyard into his or her library.\n• Search your library for a creature card, reveal it, put it into your hand, then shuffle your library.","LRW,ARC,DDP",,normal,401662,,,Rare,,Sorcery
Retreat to Kazandu,{2}{G},3,G,Kieran Yanner,21,Enchantment,"Landfall — Whenever a land enters the battlefield under your control, choose one —\n• Put a +1/+1 counter on target creature.\n• You gain 2 life.","DDP,BFZ",,normal,401663,,,Uncommon,,Enchantment
Scute Mob,{G},1,G,Zoltan Boros & Gabor Szikszai,22,Creature — Insect,"At the beginning of your upkeep, if you control five or more lands, put four +1/+1 counters on Scute Mob.","ZEN,MM2,DDP","""Survival rule 781: There are always more scute bugs.""\n—Zurdi, goblin shortcutter",normal,401664,1,1,Rare,Insect,Creature
Tajuru Archer,{2}{G},3,G,Chris Rahn,23,Creature — Elf Archer Ally,"Whenever Tajuru Archer or another Ally enters the battlefield under your control, you may have Tajuru Archer deal damage to target creature with flying equal to the number of Allies you control.","ZEN,DDP",,normal,401665,1,2,Uncommon,"Elf,Archer,Ally",Creature
Territorial Baloth,{4}{G},5,G,Jesper Ejsing,24,Creature — Beast,"Landfall — Whenever a land enters the battlefield under your control, Territorial Baloth gets +2/+2 until end of turn.","ZEN,DDP,BFZ",Its territory is defined by wherever it is at the moment.,normal,401666,4,4,Common,Beast,Creature
Turntimber Basilisk,{1}{G}{G},3,G,Goran Josic,25,Creature — Basilisk,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nLandfall — Whenever a land enters the battlefield under your control, you may have target creature block Turntimber Basilisk this turn if able.","ZEN,DDP",,normal,401667,2,1,Uncommon,Basilisk,Creature
Wildheart Invoker,{2}{G}{G},4,G,Erica Yang,26,Creature — Elf Shaman,{8}: Target creature gets +5/+5 and gains trample until end of turn.,"ROE,DDP","""Life as we know it dangles on the brink of extinction. We must show the strength they would steal from us.""\n—The Invokers' Tales",normal,401668,4,3,Common,"Elf,Shaman",Creature
Veteran Warleader,{1}{G}{W},3,"W,G",Josu Hernaiz,27,Creature — Human Soldier Ally,"Veteran Warleader's power and toughness are each equal to the number of creatures you control.\nTap another untapped Ally you control: Veteran Warleader gains your choice of first strike, vigilance, or trample until end of turn.","DDP,BFZ",,normal,401669,*,*,Rare,"Human,Soldier,Ally",Creature
Explorer's Scope,{1},1,,Vincent Proce,28,Artifact — Equipment,"Whenever equipped creature attacks, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","ZEN,CNS,DDP",,normal,401670,,,Common,Equipment,Artifact
Seer's Sundial,{4},4,,Franz Vohwinkel,29,Artifact,"Landfall — Whenever a land enters the battlefield under your control, you may pay {2}. If you do, draw a card.","WWK,C13,C14,DDP,C15","""The shadow travels toward the apex. I predict we will soon see the true measure of darkness.""",normal,401671,,,Rare,,Artifact
Stonework Puma,{3},3,,Christopher Moeller,30,Artifact Creature — Cat Ally,,"ZEN,DDP","""We suffer uneasy ground, unstable alliances, and unpredictable magic. Something you can truly trust is worth more than a chest of gold.""\n—Nikou, Joraga bard",normal,401672,2,2,Common,"Cat,Ally","Artifact,Creature"
Evolving Wilds,,,,Steven Belledin,31,Land,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.","pMEI,pFNM,ROE,CMD,DDH,DKA,M13,DDK,C13,M15,DDN,C14,DDO,DTK,MM2,ORI,DDP,BFZ,C15","Every world is an organism, able to grow new lands. Some just do it faster than others.",normal,401673,,,Common,,Land
Graypelt Refuge,,,"G,W",Philip Straub,32,Land,"Graypelt Refuge enters the battlefield tapped.\nWhen Graypelt Refuge enters the battlefield, you gain 1 life.\n{T}: Add {G} or {W} to your mana pool.","ZEN,ARC,DDH,PC2,DDP",,normal,401674,,,Uncommon,,Land
Stirring Wildwood,,,"G,W",Eric Deschamps,33,Land,"Stirring Wildwood enters the battlefield tapped.\n{T}: Add {G} or {W} to your mana pool.\n{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land.","WWK,DDP",,normal,401675,,,Rare,,Land
Turntimber Grove,,,G,Rob Alexander,34,Land,"Turntimber Grove enters the battlefield tapped.\nWhen Turntimber Grove enters the battlefield, target creature gets +1/+1 until end of turn.\n{T}: Add {G} to your mana pool.","ZEN,DDP",,normal,401676,,,Common,,Land
Plains,,,W,John Avon,35,Basic Land — Plains,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,pPRE,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,H09,DDE,ROE,ARC,M11,DDF,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,RTR,DDK,M14,DDL,THS,C13,MD1,M15,DDN,KTK,C14,DD3_DVD,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,DDQ,SOI",,normal,401677,,,Basic Land,Plains,Land
Plains,,,W,Jung Park,36,Basic Land — Plains,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,pPRE,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,H09,DDE,ROE,ARC,M11,DDF,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,RTR,DDK,M14,DDL,THS,C13,MD1,M15,DDN,KTK,C14,DD3_DVD,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,DDQ,SOI",,normal,401678,,,Basic Land,Plains,Land
