name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Boros Mastiff,{1}{W},2,W,Kev Walker,1,Creature — Hound,"Battalion — Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)",DGM,,normal,369028,2,2,Common,Hound,Creature
Haazda Snare Squad,{2}{W},3,W,David Palumbo,2,Creature — Human Soldier,"Whenever Haazda Snare Squad attacks, you may pay {W}. If you do, tap target creature an opponent controls.",DGM,"They've been probation officers, army grunts, bounty hunters—anything to make their district safer.",normal,369077,1,4,Common,"Human,Soldier",Creature
Lyev Decree,{1}{W},2,W,Kev Walker,3,Sorcery,"Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",DGM,The Azorius have so many codes and statutes that you're always in violation of one of them.,normal,368965,,,Common,,Sorcery
Maze Sentinel,{5}{W},6,W,Yeong-Hao Han,4,Creature — Elemental,Vigilance\nMulticolored creatures you control have vigilance.,DGM,"The route has been known for millennia, but only by those with no means to tell it.",normal,368976,3,6,Common,Elemental,Creature
Renounce the Guilds,{1}{W},2,W,Daarken,5,Instant,Each player sacrifices a multicolored permanent.,DGM,"""Scores will die in the name of peace. That is what you call compromise?""\n—Gideon Jura, to Aurelia",normal,368993,,,Rare,,Instant
Riot Control,{2}{W},3,W,Slawomir Maniak,6,Instant,You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.,DGM,"""Ravnicans need order. If they don't have it, we shall bring it to them.""\n—Isperia",normal,368979,,,Common,,Instant
Scion of Vitu-Ghazi,{3}{W}{W},5,W,Willian Murai,7,Creature — Elemental,"When Scion of Vitu-Ghazi enters the battlefield, if you cast it from your hand, put a 1/1 white Bird creature token with flying onto the battlefield, then populate. (Put a token onto the battlefield that's a copy of a creature token you control.)",DGM,,normal,369092,4,4,Rare,Elemental,Creature
Steeple Roc,{4}{W},5,W,David Palumbo,8,Creature — Bird,"Flying, first strike",DGM,"""Sometimes it forgets to loosen its grip before taking flight. I lost my roof that way.""\n—Ecaban, Boros scout",normal,368992,3,1,Common,Bird,Creature
Sunspire Gatekeepers,{3}{W},4,W,Chippy,9,Creature — Human Soldier,"When Sunspire Gatekeepers enters the battlefield, if you control two or more Gates, put a 2/2 white Knight creature token with vigilance onto the battlefield.",DGM,"""You will pass with respect, or you will not pass at all.""",normal,368949,2,4,Common,"Human,Soldier",Creature
Wake the Reflections,{W},1,W,Cynthia Sheppard,10,Sorcery,Populate. (Put a token onto the battlefield that's a copy of a creature token you control.),DGM,"""You see a bird, an oak, a packbeast. I see the potential for an army.""\n—Lalia, Selesnya dryad",normal,369012,,,Common,,Sorcery
Ætherling,{4}{U}{U},6,U,Tyler Jacobson,11,Creature — Shapeshifter,{U}: Exile Ætherling. Return it to the battlefield under its owner's control at the beginning of the next end step.\n{U}: Ætherling can't be blocked this turn.\n{1}: Ætherling gets +1/-1 until end of turn.\n{1}: Ætherling gets -1/+1 until end of turn.,DGM,,normal,368961,4,5,Rare,Shapeshifter,Creature
Hidden Strings,{1}{U},2,U,Daarken,12,Sorcery,"You may tap or untap target permanent, then you may tap or untap another target permanent.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",DGM,,normal,369021,,,Common,,Sorcery
Maze Glider,{5}{U},6,U,Yeong-Hao Han,13,Creature — Elemental,Flying\nMulticolored creatures you control have flying.,DGM,The pattern of the Implicit Maze extends in more than two dimensions.,normal,369014,3,5,Common,Elemental,Creature
Mindstatic,{3}{U},4,U,Johann Bodin,14,Instant,Counter target spell unless its controller pays {6}.,DGM,"""It's always satisfying to stymie the best efforts of a rival, but the reactions of the Gruul are particularly amusing.""\n—Bori Andon, Izzet blastseeker",normal,368980,,,Common,,Instant
Murmuring Phantasm,{1}{U},2,U,Peter Mohrbacher,15,Creature — Spirit,Defender,DGM,"""The most insidious thing in the world is nonsense that sounds just plausible enough to listen to.""\n—Lazav",normal,369007,0,5,Common,Spirit,Creature
Opal Lake Gatekeepers,{3}{U},4,U,Seb McKinnon,16,Creature — Vedalken Soldier,"When Opal Lake Gatekeepers enters the battlefield, if you control two or more Gates, you may draw a card.",DGM,"Sentries guard Ravnica's landmarks and outlying districts, unaware of these places' import to the maze.",normal,368996,2,4,Common,"Vedalken,Soldier",Creature
Runner's Bane,{1}{U},2,U,Karl Kopinski,17,Enchantment — Aura,"Enchant creature with power 3 or less\nWhen Runner's Bane enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.",DGM,,normal,368966,,,Common,Aura,Enchantment
Trait Doctoring,{U},1,U,Clint Cearley,18,Sorcery,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",DGM,,normal,369034,,,Rare,,Sorcery
Uncovered Clues,{2}{U},3,U,Jaime Jones,19,Sorcery,Look at the top four cards of your library. You may reveal up to two instant and/or sorcery cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.,DGM,"The Implicit Maze winds through Ravnica, connecting arcane landmarks of all ten guilds.",normal,369010,,,Common,,Sorcery
