name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aurora Eidolon,{3}{W},4,W,Justin Sweet,1,Creature — Spirit,"{W}, Sacrifice Aurora Eidolon: Prevent the next 3 damage that would be dealt to target creature or player this turn.\nWhenever you cast a multicolored spell, you may return Aurora Eidolon from your graveyard to your hand.",DIS,,normal,110639,2,2,Common,Spirit,Creature
Azorius Herald,{2}{W},3,"W,U",Justin Sweet,2,Creature — Spirit,"Azorius Herald can't be blocked.\nWhen Azorius Herald enters the battlefield, you gain 4 life.\nWhen Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it.","DIS,C13","""As peace should be—gentle yet unstoppable.""\n—Augustin IV",normal,107577,2,1,Uncommon,Spirit,Creature
Beacon Hawk,{1}{W},2,W,William Simpson,3,Creature — Bird,"Flying\nWhenever Beacon Hawk deals combat damage to a player, you may untap target creature.\n{W}: Beacon Hawk gets +0/+1 until end of turn.",DIS,,normal,111225,1,1,Common,Bird,Creature
Blessing of the Nephilim,{W},1,W,Greg Hildebrandt,4,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each of its colors.,DIS,"""Before the first stone was laid or the first elf-child born, the power of the nephilim was gathering. Let that power be spread by my hands.""",normal,107307,,,Uncommon,Aura,Enchantment
Brace for Impact,{4}{W},5,W,Dan Scott,5,Instant,"Prevent all damage that would be dealt to target multicolored creature this turn. For each 1 damage prevented this way, put a +1/+1 counter on that creature.",DIS,Flesh can be tempered by spellcraft and forged ever stronger by the hammers of foes.,normal,107537,,,Uncommon,,Instant
Carom,{1}{W},2,W,Alex Horley-Orlandelli,6,Instant,The next 1 damage that would be dealt to target creature this turn is dealt to another target creature instead.\nDraw a card.,DIS,Her enemy's strength is her own.,normal,107310,,,Common,,Instant
Celestial Ancient,{3}{W}{W},5,W,Mark Tedin,7,Creature — Elemental,"Flying\nWhenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.","DIS,PC2,C15","""We thought the clouds had moved from the night sky. Then the night sky moved, and the horizon grew wings.""\n—Josuri",normal,107317,3,3,Rare,Elemental,Creature
Condemn,{W},1,W,Daren Bader,8,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14","""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""\n—Alovnek, Boros guildmage",normal,107494,,,Uncommon,,Instant
Freewind Equenaut,{2}{W},3,W,Rebecca Guay,9,Creature — Human Archer,"Flying\nAs long as Freewind Equenaut is enchanted, it has ""{T}: Freewind Equenaut deals 2 damage to target attacking or blocking creature.""","DIS,DDL","Confront her, and feel the hooves of her steed. Ignore her, and feel the sting of her arrow.",normal,107253,2,2,Common,"Human,Archer",Creature
Guardian of the Guildpact,{3}{W},4,W,Fred Hooper,10,Creature — Spirit,Protection from monocolored,DIS,"The magic of the Guildpact gives aegis to the spirits pressed into its service. Upon entering the afterlife, they find new focus and are charged with defending the Guildpact against those who would see it broken.",normal,107583,2,3,Common,Spirit,Creature
Haazda Exonerator,{W},1,W,Kev Walker,11,Creature — Human Cleric,"{T}, Sacrifice Haazda Exonerator: Destroy target Aura.",DIS,"""This aura threatens the sanctity of your soul. Wrenching it free won't be easy on either of us. If you're ready, we'll begin.""",normal,107467,1,1,Common,"Human,Cleric",Creature
Haazda Shield Mate,{2}{W},3,W,Ron Spears,12,Creature — Human Soldier,"At the beginning of your upkeep, sacrifice Haazda Shield Mate unless you pay {W}{W}.\n{W}: The next time a source of your choice would deal damage to you this turn, prevent that damage.",DIS,"The Haazda shield is broad, protecting both the free and the guilded.",normal,107272,1,1,Rare,"Human,Soldier",Creature
Mistral Charger,{1}{W},2,W,Terese Nielsen,13,Creature — Pegasus,Flying,"DIS,EMA",Some sky steeds break from the thundering herd to ride free on the open winds.,normal,107260,2,1,Uncommon,Pegasus,Creature
Paladin of Prahv,{4}{W}{W},6,W,William Simpson,14,Creature — Human Knight,"Whenever Paladin of Prahv deals damage, you gain that much life.\nForecast — {1}{W}, Reveal Paladin of Prahv from your hand: Whenever target creature deals damage this turn, you gain that much life. (Activate this ability only during your upkeep and only once each turn.)","DIS,DDG",,normal,107433,3,4,Uncommon,"Human,Knight",Creature
Proclamation of Rebirth,{2}{W},3,W,William Simpson,15,Sorcery,"Return up to three target creature cards with converted mana cost 1 or less from your graveyard to the battlefield.\nForecast — {5}{W}, Reveal Proclamation of Rebirth from your hand: Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield. (Activate this ability only during your upkeep and only once each turn.)",DIS,,normal,107341,,,Rare,,Sorcery
Proper Burial,{3}{W},4,W,Luca Zontini,16,Enchantment,"Whenever a creature you control dies, you gain life equal to that creature's toughness.",DIS,Properly honored dead gain the peace of the grave and freedom from the call of the Ghost Quarter.,normal,107466,,,Rare,,Enchantment
Soulsworn Jury,{2}{W},3,"W,U",Zoltan Boros & Gabor Szikszai,17,Creature — Spirit,"Defender (This creature can't attack.)\n{1}{U}, Sacrifice Soulsworn Jury: Counter target creature spell.",DIS,"In death, as in life, they protect the Grand Arbiter from exposure to contrary points of view.",normal,107440,1,4,Common,Spirit,Creature
Steeling Stance,{1}{W}{W},3,W,Randy Gallegos,18,Instant,"Creatures you control get +1/+1 until end of turn.\nForecast — {W}, Reveal Steeling Stance from your hand: Target creature gets +1/+1 until end of turn. (Activate this ability only during your upkeep and only once each turn.)",DIS,,normal,97115,,,Common,,Instant
Stoic Ephemera,{2}{W},3,W,Randy Gallegos,19,Creature — Spirit,"Defender (This creature can't attack.)\nFlying\nWhen Stoic Ephemera blocks, sacrifice it at end of combat.",DIS,"""Life is fleeting, and so is death. Only the oath is eternal.""",normal,107527,5,5,Uncommon,Spirit,Creature
Valor Made Real,{W},1,W,Jeff Miracola,20,Instant,Target creature can block any number of creatures this turn.,"DIS,CNS","""As my father taught, ‘Training will raise your shield to the blow, but courage fills the gaps the shield leaves open.'""",normal,107431,,,Common,,Instant
Wakestone Gargoyle,{3}{W},4,W,Jim Murray,21,Creature — Gargoyle,"Defender, flying\n{1}{W}: Creatures you control with defender can attack this turn as though they didn't have defender.","DIS,CNS","Its pulsating cry shatters bonds of iron, granite, and servitude.",normal,111226,3,4,Rare,Gargoyle,Creature
Court Hussar,{2}{U},3,"U,W",Ron Spears,22,Creature — Vedalken Knight,"Vigilance\nWhen Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.\nWhen Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it.","DIS,CMD",,normal,107265,1,3,Uncommon,"Vedalken,Knight",Creature
Cytoplast Manipulator,{2}{U}{U},4,U,Dan Scott,23,Creature — Human Wizard Mutant,"Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)\n{U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as Cytoplast Manipulator remains on the battlefield.",DIS,,normal,107353,0,0,Rare,"Human,Wizard,Mutant",Creature
Enigma Eidolon,{3}{U},4,U,Shishizaru,24,Creature — Spirit,"{U}, Sacrifice Enigma Eidolon: Target player puts the top three cards of his or her library into his or her graveyard.\nWhenever you cast a multicolored spell, you may return Enigma Eidolon from your graveyard to your hand.",DIS,,normal,110640,2,2,Common,Spirit,Creature
Govern the Guildless,{5}{U},6,U,Alex Horley-Orlandelli,25,Sorcery,"Gain control of target monocolored creature.\nForecast — {1}{U}, Reveal Govern the Guildless from your hand: Target creature becomes the color or colors of your choice until end of turn. (Activate this ability only during your upkeep and only once each turn.)",DIS,,normal,107395,,,Rare,,Sorcery
Helium Squirter,{4}{U},5,U,Hideaki Takamura,26,Creature — Beast Mutant,"Graft 3 (This creature enters the battlefield with three +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)\n{1}: Target creature with a +1/+1 counter on it gains flying until end of turn.","DIS,MM2",,normal,107535,0,0,Common,"Beast,Mutant",Creature
