name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Archangel's Light,{7}{W},8,W,Volkan Baga,1,Sorcery,"You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.",DKA,"""This is the light of Avacyn. Even in her absence she offers us hope.""\n—Radulf, priest of Avacyn",normal,244691,,,Mythic Rare,,Sorcery
Bar the Door,{2}{W},3,W,Ryan Pancoast,2,Instant,Creatures you control get +0/+4 until end of turn.,DKA,"""It may not look like much, but it's a good old door with strong wards. It'll hold.""\n—Olgard of the Skiltfolk",normal,262858,,,Common,,Instant
Break of Day,{1}{W},2,W,Karl Kopinski,3,Instant,"Creatures you control get +1/+1 until end of turn.\nFateful hour — If you have 5 or less life, those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",DKA,,normal,262702,,,Common,,Instant
Burden of Guilt,{W},1,W,John Stanko,4,Enchantment — Aura,Enchant creature\n{1}: Tap enchanted creature.,DKA,"""Grab an axe and defend the gate! Your despair is an extravagance we can ill afford.""\n—Thalia, Knight-Cathar",normal,262873,,,Common,Aura,Enchantment
Curse of Exhaustion,{2}{W}{W},4,W,Slawomir Maniak,5,Enchantment — Aura Curse,Enchant player\nEnchanted player can't cast more than one spell each turn.,DKA,"""I do believe your heresy will prove more difficult now that you have more pressing concerns.""\n—Bishop Argust",normal,226729,,,Uncommon,"Aura,Curse",Enchantment
Elgaud Inquisitor,{3}{W},4,W,Slawomir Maniak,6,Creature — Human Cleric,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)\nWhen Elgaud Inquisitor dies, put a 1/1 white Spirit creature token with flying onto the battlefield.",DKA,"""It will take more than steel alone to purge this world of evil.""",normal,245219,2,2,Common,"Human,Cleric",Creature
Faith's Shield,{W},1,W,Svetlin Velinov,7,Instant,"Target permanent you control gains protection from the color of your choice until end of turn.\nFateful hour — If you have 5 or less life, instead you and each permanent you control gain protection from the color of your choice until end of turn.",DKA,,normal,262696,,,Uncommon,,Instant
Gather the Townsfolk,{1}{W},2,W,Dan Scott,8,Sorcery,"Put two 1/1 white Human creature tokens onto the battlefield.\nFateful hour — If you have 5 or less life, put five of those tokens onto the battlefield instead.","pWPN,DKA,DDQ",In the memories of those they lost lies the strength needed to defend their city.,normal,262686,,,Common,,Sorcery
Gavony Ironwright,{2}{W},3,W,Karl Kopinski,9,Creature — Human Soldier,"Fateful hour — As long as you have 5 or less life, other creatures you control get +1/+4.",DKA,"""I wish my work could shelter everyone, yet I pray we are never so few that it does.""",normal,262685,1,4,Uncommon,"Human,Soldier",Creature
Hollowhenge Spirit,{3}{W},4,W,Lars Grant-West,10,Creature — Spirit,"Flash (You may cast this spell any time you could cast an instant.)\nFlying\nWhen Hollowhenge Spirit enters the battlefield, remove target attacking or blocking creature from combat.",DKA,Some spirits mourn. Others terrorize.,normal,222001,2,2,Uncommon,Spirit,Creature
Increasing Devotion,{3}{W}{W},5,W,Daniel Ljunggren,11,Sorcery,"Put five 1/1 white Human creature tokens onto the battlefield. If Increasing Devotion was cast from a graveyard, put ten of those tokens onto the battlefield instead.\nFlashback {7}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","DKA,DDQ",,normal,262870,,,Rare,,Sorcery
Lingering Souls,{2}{W},3,"W,B",Bud Cook,12,Sorcery,Put two 1/1 white Spirit creature tokens with flying onto the battlefield.\nFlashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"pFNM,DKA,DDK,MD1",The murdered inhabitants of Hollowhenge impart to the living the terror they felt in death.,normal,262695,,,Uncommon,,Sorcery
Loyal Cathar,{W}{W},2,"B,W",Ryan Pancoast,13a,Creature — Human Soldier,"Vigilance\nWhen Loyal Cathar dies, return it to the battlefield transformed under your control at the beginning of the next end step.",DKA,"""I trust myself to do my duty, even unto death. It's what comes after that I'm afraid of.""\n—Constable Visil, to Thalia",double-faced,244724,2,2,Common,"Human,Soldier",Creature
Unhallowed Cathar,,,"B,W",Ryan Pancoast,13b,Creature — Zombie Soldier,Unhallowed Cathar can't block.,DKA,"""Just fight without fear. Your soul is protected by the hand of Avacyn and will never submit to evil.""\n—Thalia, to Constable Visil",double-faced,244734,2,1,Common,"Zombie,Soldier",Creature
Midnight Guard,{2}{W},3,W,Jason A. Engle,14,Creature — Human Soldier,"Whenever another creature enters the battlefield, untap Midnight Guard.","DKA,M15","""When you're on watch, no noise is harmless and no shadow can be ignored.""\n—Olgard of the Skiltfolk",normal,262859,2,3,Common,"Human,Soldier",Creature
Niblis of the Mist,{2}{W},3,W,Igor Kieryluk,15,Creature — Spirit,"Flying\nWhen Niblis of the Mist enters the battlefield, you may tap target creature.",DKA,"""Not even a roaring fire could thaw the chill it put in my heart.""\n—Vonn, geist-trapper",normal,245292,2,1,Common,Spirit,Creature
Niblis of the Urn,{1}{W},2,W,Igor Kieryluk,16,Creature — Spirit,"Flying\nWhenever Niblis of the Urn attacks, you may tap target creature.",DKA,"""I never had the nerve to open that bottle. I'll bet you're wishing right now you hadn't been so curious yourself.""\n—Old Rutstein",normal,244744,1,1,Uncommon,Spirit,Creature
Ray of Revelation,{1}{W},2,"W,G",Cliff Childs,17,Instant,Destroy target enchantment.\nFlashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"JUD,DKA","""May angels carry him into the Blessed Sleep with dreams of sunlit days and moonless nights.""\n—Tomb inscription of Saint Raban",normal,245288,,,Common,,Instant
Requiem Angel,{5}{W},6,W,Eric Deschamps,18,Creature — Angel,"Flying\nWhenever another non-Spirit creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.","DKA,C14","When angels despair, what hope can remain for mortals?",normal,270779,5,5,Rare,Angel,Creature
Sanctuary Cat,{W},1,W,David Palumbo,19,Creature — Cat,,DKA,Cats prowl the corridors of Avacyn's churches in search of devils or signs of their mischief.,normal,262864,1,2,Common,Cat,Creature
Séance,{2}{W}{W},4,W,David Rapoza,20,Enchantment,"At the beginning of each upkeep, you may exile target creature card from your graveyard. If you do, put a token onto the battlefield that's a copy of that card except it's a Spirit in addition to its other types. Exile it at the beginning of the next end step.",DKA,,normal,249422,,,Rare,,Enchantment
Silverclaw Griffin,{3}{W}{W},5,W,Daniel Ljunggren,21,Creature — Griffin,"Flying, first strike",DKA,"It patrols the grafs for miles around Thraben, ensuring that the unhallowed do not wake for long.",normal,262876,3,2,Common,Griffin,Creature
Skillful Lunge,{1}{W},2,W,Jason Felix,22,Instant,Target creature gets +2/+0 and gains first strike until end of turn.,DKA,"""Valor is a currency of the living that serves us well.""\n—Cosper Lowe of the Silbern Guard",normal,262877,,,Common,,Instant
Sudden Disappearance,{5}{W},6,W,Cliff Childs,23,Sorcery,Exile all nonland permanents target player controls. Return the exiled cards to the battlefield under their owner's control at the beginning of the next end step.,DKA,,normal,262865,,,Rare,,Sorcery
