name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abyssal Specter,{2}{B}{B},4,B,Ruth Thompson,1,Creature — Specter,"Flying\nWhenever Abyssal Specter deals damage to a player, that player discards a card.","ICE,5ED,6ED,BRB,7ED,DKM,8ED,DDC,DPA,DD3_DVD","""Open the gates, and bid them enter.""\n—Lim-Dûl, the Necromancer",normal,,2,3,Uncommon,Specter,Creature
Contagion,{3}{B}{B},5,B,Mike Raabe,2,Instant,You may pay 1 life and exile a black card from your hand rather than pay Contagion's mana cost.\nDistribute two -2/-1 counters among one or two target creatures.,"ALL,DKM,MED",,normal,,,,Uncommon,,Instant
Dark Banishing,{2}{B},3,B,Drew Tucker,3,Instant,Destroy target nonblack creature. It can't be regenerated.,"ICE,MIR,TMP,7ED,DKM,8ED,9ED,CST,ME2,DDC,DD3_DVD,TPR","""Will not the mountains quake and hills melt at the coming of the darkness? Share this vision with your enemies, Lim-Dûl, and they shall wither.""\n—Leshrac, Walker of Night",normal,,,,Common,,Instant
Dark Ritual,{B},1,B,Justin Hampton,4,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR","""Leshrac, my liege, grant me the power I am due.""\n—Lim-Dûl, the Necromancer",normal,,,,Common,,Instant
Foul Familiar,{2}{B},3,B,Anson Maddocks,5,Creature — Spirit,"Foul Familiar can't block.\n{B}, Pay 1 life: Return Foul Familiar to its owner's hand.","ICE,DKM,ME2","""Serve me, and live forever.""\n—Lim-Dûl, the Necromancer",normal,,3,1,Common,Spirit,Creature
Lim-Dûl's High Guard,{1}{B}{B},3,B,Anson Maddocks,6a,Creature — Skeleton,First strike\n{1}{B}: Regenerate Lim-Dûl's High Guard.,"ALL,DKM,ME2","""The Guard will forever stand ready. For them, death is merely an inconvenience, not an ending.""\n—Chaeska, Keeper of Tresserhorn",normal,,2,1,Common,Skeleton,Creature
Lim-Dûl's High Guard,{1}{B}{B},3,B,Anson Maddocks,6b,Creature — Skeleton,First strike\n{1}{B}: Regenerate Lim-Dûl's High Guard.,"ALL,DKM,ME2","""The Guard will forever stand ready. For them, death is merely an inconvenience, not an ending.""\n—Chaeska, Keeper of Tresserhorn",normal,,2,1,Common,Skeleton,Creature
Necropotence,{B}{B}{B},3,B,Mark Tedin,7,Enchantment,"Skip your draw step.\nWhenever you discard a card, exile that card from your graveyard.\nPay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.","ICE,5ED,DKM,ME2,V09,VMA,EMA",,normal,,,,Rare,,Enchantment
Phantasmal Fiend,{3}{B},4,"B,U",Scott Kirschner,8a,Creature — Illusion,{B}: Phantasmal Fiend gets +1/-1 until end of turn.\n{1}{U}: Switch Phantasmal Fiend's power and toughness until end of turn.,"ALL,DKM,CST,ME2",,normal,,1,5,Common,Illusion,Creature
Phantasmal Fiend,{3}{B},4,"B,U",Scott Kirschner,8b,Creature — Illusion,{B}: Phantasmal Fiend gets +1/-1 until end of turn.\n{1}{U}: Switch Phantasmal Fiend's power and toughness until end of turn.,"ALL,DKM,CST,ME2",,normal,,1,5,Common,Illusion,Creature
Soul Burn,{X}{2}{B},3,B,Rob Alexander,9,Sorcery,"Spend only black and/or red mana on X.\nSoul Burn deals X damage to target creature or player. You gain life equal to the damage dealt, but not more than the amount of {B} spent on X, the player's life total before Soul Burn dealt damage, or the creature's toughness.","ICE,INV,DKM,CST",,normal,,,,Common,,Sorcery
Balduvian Horde,{2}{R}{R},4,R,Brian Snõddy,10,Creature — Human Barbarian,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.","ALL,6ED,pWOR,BTD,DKM,MED","""Peace will come only when we have taken Varchild's head.""\n—Lovisa Coldeyes,\nBalduvian Chieftain",normal,,5,5,Rare,"Human,Barbarian",Creature
