name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Air Elemental,{3}{U}{U},5,U,Kev Walker,1,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""\n—Joseph Conrad, The Mirror of the Sea",normal,,4,4,Uncommon,Elemental,Creature
Boomerang,{U}{U},2,U,Arnie Swekel,2,Instant,Return target permanent to its owner's hand.,"LEG,CHR,MIR,5ED,6ED,7ED,8ED,9ED,pGTW,10E,ME3,DPA",Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Æthermancers developed a spell that skipped the weapon entirely.,normal,,,,Common,,Instant
Cancel,{1}{U}{U},3,U,David Palumbo,3,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK",,normal,,,,Common,,Instant
Cloud Sprite,{U},1,U,Mark Zug,4,Creature — Faerie,Flying (This creature can't be blocked except by creatures with flying or reach.)\nCloud Sprite can block only creatures with flying.,"MMQ,10E,DPA","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",normal,,1,1,Common,Faerie,Creature
Counterbore,{3}{U}{U},5,U,Wayne England,5,Instant,"Counter target spell. Search its controller's graveyard, hand, and library for all cards with the same name as that spell and exile them. Then that player shuffles his or her library.","SHM,DPA",,normal,,,,Rare,,Instant
Deluge,{2}{U},3,U,Wayne England,6,Instant,Tap all creatures without flying.,"ODY,10E,DPA","""From the sea came all life, and to the sea it will return. The sooner the better.""\n—Emperor Aboshan",normal,,,,Uncommon,,Instant
Denizen of the Deep,{6}{U}{U},8,U,Jim Pavelec,7,Creature — Serpent,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","PO2,S99,10E,DPA","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night.",normal,,11,11,Rare,Serpent,Creature
Essence Scatter,{1}{U},2,U,Jon Foster,8,Instant,Counter target creature spell.,"M10,DPA,M13,M14","Some wizards compete not to summon the most interesting creatures, but to create the most interesting aftereffects when a summons goes awry.",normal,,,,Common,,Instant
Evacuation,{3}{U}{U},5,U,Franz Vohwinkel,9,Instant,Return all creatures to their owners' hands.,"STH,7ED,8ED,9ED,10E,DPA","""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""\n—Alexi, zephyr mage",normal,,,,Rare,,Instant
Mahamoti Djinn,{4}{U}{U},6,U,Greg Staples,10,Creature — Djinn,Flying (This creature can't be blocked except by creatures with flying or reach.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,BTD,7ED,8ED,9ED,10E,DPA,ME4,M15,ORI","Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",normal,,5,6,Rare,Djinn,Creature
