name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Bladewing the Risen,{3}{B}{B}{R}{R},7,"B,R",Kev Walker,1,Legendary Creature — Zombie Dragon,"Flying\nWhen Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.\n{B}{R}: Dragon creatures get +1/+1 until end of turn.","SCG,DRB,CMD",,normal,178014,4,4,Rare,"Zombie,Dragon",Creature
Bogardan Hellkite,{6}{R}{R},8,R,Scott M. Fischer,2,Creature — Dragon,"Flash\nFlying\nWhen Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.","TSP,DRB,M10,DDG,C14","Cleansing the world, one breath at a time.",normal,178017,5,5,Rare,Dragon,Creature
Draco,{16},16,,Sam Wood,3,Artifact Creature — Dragon,"Domain — Draco costs {2} less to cast for each basic land type among lands you control.\nFlying\nDomain — At the beginning of your upkeep, sacrifice Draco unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control.","PLS,DRB",,normal,178018,9,9,Rare,Dragon,"Artifact,Creature"
Dragon Whelp,{2}{R}{R},4,R,Steven Belledin,4,Creature — Dragon,"Flying\n{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.","LEA,LEB,2ED,CED,CEI,3ED,4ED,TSB,DRB,M10,ARC,DDG,CMD",Dragon whelps face few threats besides their own enthusiasm.,normal,178019,2,3,Rare,Dragon,Creature
Dragonstorm,{8}{R},9,R,Kev Walker,5,Sorcery,"Search your library for a Dragon permanent card and put it onto the battlefield. Then shuffle your library.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)","SCG,TSB,DRB,MMA",Dragons come not in packs or in herds but in storms.,normal,178015,,,Rare,,Sorcery
Ebon Dragon,{5}{B}{B},7,B,Donato Giancola,6,Creature — Dragon,"Flying\nWhen Ebon Dragon enters the battlefield, you may have target opponent discard a card.","POR,DRB,ME4","""The dragon wing of night o'erspreads the earth.""\n—Troilus and Cressida, William Shakespeare",normal,178021,5,4,Rare,Dragon,Creature
Form of the Dragon,{4}{R}{R}{R},7,R,Daarken,7,Enchantment,"At the beginning of your upkeep, Form of the Dragon deals 5 damage to target creature or player.\nAt the beginning of each end step, your life total becomes 5.\nCreatures without flying can't attack you.","SCG,9ED,DRB",,normal,178016,,,Rare,,Enchantment
Hellkite Overlord,{4}{B}{R}{R}{G},8,"B,R,G",Justin Sweet,8,Creature — Dragon,"Flying, trample, haste\n{R}: Hellkite Overlord gets +1/+0 until end of turn.\n{B}{G}: Regenerate Hellkite Overlord.","DRB,ALA","""The dragon has no pretense of compassion, no false mask of civilization—just hunger, heat, and need.""\n—Sarkhan Vol",normal,178028,8,8,Rare,Dragon,Creature
"Kokusho, the Evening Star",{4}{B}{B},6,B,Tsutomu Kawade,9,Legendary Creature — Dragon Spirit,"Flying\nWhen Kokusho, the Evening Star dies, each opponent loses 5 life. You gain life equal to the life lost this way.","CHK,DRB,MMA",The fall of the evening star never heralds a gentle dawn.,normal,178022,5,5,Rare,"Dragon,Spirit",Creature
Nicol Bolas,{2}{U}{U}{B}{B}{R}{R},8,"U,B,R",D. Alexander Gregory,10,Legendary Creature — Elder Dragon,"Flying\nAt the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.\nWhenever Nicol Bolas deals damage to an opponent, that player discards his or her hand.","LEG,CHR,TSB,DRB,ME3",Dominaria's most ancient evil.,normal,178020,7,7,Rare,"Elder,Dragon",Creature
"Niv-Mizzet, the Firemind",{2}{U}{U}{R}{R},6,"U,R",Todd Lockwood,11,Legendary Creature — Dragon Wizard,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to target creature or player.\n{T}: Draw a card.","GPT,pCMP,DRB,DDJ,MM2","As brilliant as a cut diamond, and with just as cruel an edge.",normal,178023,4,4,Rare,"Dragon,Wizard",Creature
"Rith, the Awakener",{3}{R}{G}{W},6,"W,R,G",Todd Lockwood,12,Legendary Creature — Dragon,"Flying\nWhenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then put a 1/1 green Saproling creature token onto the battlefield for each permanent of that color.","INV,DRB,DDE",,normal,178024,6,6,Rare,Dragon,Creature
Shivan Dragon,{4}{R}{R},6,R,Justin Sweet,13,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,7ED,pREL,8ED,9ED,10E,DRB,M10,DPA,ME4,M14,M15,ORI,W16",The undisputed master of the mountains of Shiv.,normal,178025,5,5,Rare,Dragon,Creature
Thunder Dragon,{5}{R}{R},7,R,Chris Rahn,14,Creature — Dragon,"Flying\nWhen Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.","S99,DRB,ME4,DDG",Sometimes primitive cultures attributed natural phenomena to monsters. Sometimes they were right.,normal,178026,5,5,Rare,Dragon,Creature
Two-Headed Dragon,{4}{R}{R},6,R,Sam Wood,15,Creature — Dragon,Flying\nMenace (This creature can't be blocked except by two or more creatures.)\nTwo-Headed Dragon can block an additional creature each combat.\n{1}{R}: Two-Headed Dragon gets +2/+0 until end of turn.,"MMQ,pSUS,8ED,DRB,ARC",,normal,178027,4,4,Rare,Dragon,Creature
