name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Amnesia,{3}{U}{U}{U},6,U,Mark Poole,,Sorcery,Target player reveals his or her hand and discards all nonland cards.,"DRK,MED","""When one has witnessed the unspeakable, 'tis sometimes better to forget."" —Vervamon the Elder",normal,1746,,,Uncommon,,Sorcery
Angry Mob,{2}{W}{W},4,W,Drew Tucker,,Creature — Human,"Trample\nAs long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.","DRK,4ED,5ED,MED",,normal,1801,2+*,2+*,Uncommon,Human,Creature
Apprentice Wizard,{1}{U}{U},3,U,Dan Frazier,,Creature — Human Wizard,"{U}, {T}: Add {C}{C}{C} to your mana pool.","DRK,4ED,MED",,normal,1747,0,1,Rare,"Human,Wizard",Creature
Ashes to Ashes,{1}{B}{B},3,B,Drew Tucker,,Sorcery,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,"DRK,4ED,5ED,ME3","""All rivers eventually run to the sea. My job is to sort out who goes first.""\n—Maeveen O'Donagh, Memoirs of a Soldier",normal,1728,,,Common,,Sorcery
Ball Lightning,{R}{R}{R},3,R,Quinton Hoover,,Creature — Elemental,"Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Ball Lightning.","DRK,4ED,5ED,pJGP,BTD,MED,M10,PD2",,normal,1783,6,1,Rare,Elemental,Creature
Banshee,{2}{B}{B},4,B,Jesper Myrfors,,Creature — Spirit,"{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.","DRK,CHR,ME3","Some say Banshees are the hounds of Death, baying to herd their prey into the arms of their master.",normal,1729,0,1,Uncommon,Spirit,Creature
Barl's Cage,{4},4,,Tom Wänerstrand,,Artifact,{3}: Target creature doesn't untap during its controller's next untap step.,"DRK,CHR,5ED,ME3","For a dozen years the Cage had held Lord Ith, but as the Pretender Mairsil's power weakened, so did the bars.",normal,1708,,,Rare,,Artifact
Blood Moon,{2}{R},3,R,Tom Wänerstrand,,Enchantment,Nonbasic lands are Mountains.,"DRK,CHR,8ED,9ED,MMA","Heavy light flooded across the landscape, cloaking everything in deep crimson.",normal,1784,,,Rare,,Enchantment
Blood of the Martyr,{W}{W}{W},3,W,Christopher Rush,,Instant,"Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.","DRK,CHR",The willow knows what the storm does not: that the power to endure harm outlives the power to inflict it.,normal,1802,,,Uncommon,,Instant
Bog Imp,{1}{B},2,B,Ron Spencer,,Creature — Imp,Flying (This creature can't be blocked except by creatures with flying or reach.),"DRK,4ED,RQS,ITP,5ED,POR,6ED,S99,S00,7ED,8ED,9ED","On guard for larger dangers, we underestimated the power and speed of the Imp's muck-crusted claws.",normal,1730,1,1,Common,Imp,Creature
Bog Rats,{B},1,B,Ron Spencer,,Creature — Rat,Bog Rats can't be blocked by Walls.,"DRK,CHR,5ED,6ED","Their stench was vile and strong enough, but not nearly as powerful as their hunger.",normal,1731,1,1,Common,Rat,Creature
Bone Flute,{3},3,,Christopher Rush,,Artifact,"{2}, {T}: All creatures get -1/-0 until end of turn.","DRK,ME3","After the Battle of Pitdown, Lady Ursnell fashioned the first such instrument out of Lord Ursnell's left leg.",normal,1709,,,Uncommon,,Artifact
Book of Rass,{6},6,,Sandra Everingham,,Artifact,"{2}, Pay 2 life: Draw a card.","DRK,CHR,ME4",,normal,1710,,,Uncommon,,Artifact
Brainwash,{W},1,W,Pete Venters,,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack unless its controller pays {3}.,"DRK,4ED,5ED","""They're not your friends; they despise you. I'm the only one you can count on. Trust me.""",normal,1803,,,Common,Aura,Enchantment
Brothers of Fire,{1}{R}{R},3,R,Mark Tedin,,Creature — Human Shaman,{1}{R}{R}: Brothers of Fire deals 1 damage to target creature or player and 1 damage to you.,"DRK,4ED,5ED,MED",Fire is never a gentle master.,normal,1785,2,2,Uncommon,"Human,Shaman",Creature
Carnivorous Plant,{3}{G},4,G,Quinton Hoover,,Creature — Plant Wall,Defender,"DRK,4ED,ATH,MED","""It had a mouth like that of a great beast, and gnashed its teeth as it strained to reach us. I am thankful it possessed no means of locomotion."" —Vervamon the Elder",normal,1765,4,5,Common,"Plant,Wall",Creature
Cave People,{1}{R}{R},3,R,Drew Tucker,,Creature — Human,"Whenever Cave People attacks, it gets +1/-2 until end of turn.\n{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)","DRK,4ED,5ED",,normal,1786,1,4,Uncommon,Human,Creature
City of Shadows,,,,Tom Wänerstrand,,Land,"{T}, Exile a creature you control: Put a storage counter on City of Shadows.\n{T}: Add {C} to your mana pool for each storage counter on City of Shadows.","DRK,ME3",,normal,1823,,,Rare,,Land
Cleansing,{W}{W}{W},3,W,Pete Venters,,Sorcery,"For each land, destroy that land unless any player pays 1 life.",DRK,,normal,1804,,,Rare,,Sorcery
Coal Golem,{5},5,R,Christopher Rush,,Artifact Creature — Golem,"{3}, Sacrifice Coal Golem: Add {R}{R}{R} to your mana pool.","DRK,ME3","""Three such creatures stood burning at the crest of the hill. Only seconds later, the Fireball struck our front line."" —Lydia, Countess Brellis",normal,1711,3,3,Uncommon,Golem,"Artifact,Creature"
Curse Artifact,{2}{B}{B},4,B,Mark Tedin,,Enchantment — Aura,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Curse Artifact deals 2 damage to that player unless he or she sacrifices that artifact.",DRK,Voska feared the artifact had come too easily.,normal,1732,,,Uncommon,Aura,Enchantment
Dance of Many,{U}{U},2,U,Sandra Everingham,,Enchantment,"When Dance of Many enters the battlefield, put a token that's a copy of target nontoken creature onto the battlefield.\nWhen Dance of Many leaves the battlefield, exile the token.\nWhen the token leaves the battlefield, sacrifice Dance of Many.\nAt the beginning of your upkeep, sacrifice Dance of Many unless you pay {U}{U}.","DRK,CHR,5ED,ME3",,normal,1748,,,Rare,,Enchantment
Dark Heart of the Wood,{B}{G},2,"B,G",Christopher Rush,,Enchantment,Sacrifice a Forest: You gain 3 life.,"DRK,RAV","Even the Goblins shun this haunted place, where the tree limbs twist in agony and the ground seems to scuttle under your feet.",normal,1820,,,Common,,Enchantment
Dark Sphere,{0},,,Mark Tedin,,Artifact,"{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, prevent half that damage, rounded down.",DRK,"""I was struck senseless for a moment, but revived when the strange curiosity I carried fell to the ground, screaming like a dying animal."" —Barl, Lord Ith",normal,1712,,,Uncommon,,Artifact
Deep Water,{U}{U},2,U,Jeff A. Menges,,Enchantment,"{U}: Until end of turn, if you tap a land you control for mana, it produces {U} instead of any other type.",DRK,,normal,1749,,,Common,,Enchantment
Diabolic Machine,{7},7,,Anson Maddocks,,Artifact Creature — Construct,{3}: Regenerate Diabolic Machine.,"DRK,4ED,5ED,ME4","""The bolts of our ballistae smashed into the monstrous thing, but our hopes died in our chests as its gears continued turning."" —Sevti Mukul, The Fall of Alsoor",normal,1713,4,4,Uncommon,Construct,"Artifact,Creature"
Drowned,{1}{U},2,"U,B",Quinton Hoover,,Creature — Zombie,{B}: Regenerate Drowned.,"DRK,ME4","We asked Captain Soll what became of the Serafina, but all he said was, ""Ships that go down shouldn't come back up.""",normal,1750,1,1,Common,Zombie,Creature
Dust to Dust,{1}{W}{W},3,W,Drew Tucker,,Sorcery,Exile two target artifacts.,"DRK,5ED,MED,ME4","Tervish never noticed that the amulet had vanished. It had disappeared not only from his possession, but from his memory as well.",normal,1805,,,Common,,Sorcery
Eater of the Dead,{4}{B},5,B,Jesper Myrfors,,Creature — Horror,"{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.","DRK,MED",Even the putrid muscles of the dead can provide strength to those loathsome enough to consume them.,normal,1733,3,4,Uncommon,Horror,Creature
Electric Eel,{U},1,"U,R",Anson Maddocks,,Creature — Fish,"When Electric Eel enters the battlefield, it deals 1 damage to you.\n{R}{R}: Electric Eel gets +2/+0 until end of turn and deals 1 damage to you.",DRK,,normal,1751,1,1,Uncommon,Fish,Creature
Elves of Deep Shadow,{G},1,"G,B",Jesper Myrfors,,Creature — Elf Druid,{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.,"DRK,pFNM,RAV,ME3,DDJ","""They are aberrations who have turned on everything we hold sacred. Let them be cast out."" —Ailheen, Speaker of the Council",normal,1766,1,1,Uncommon,"Elf,Druid",Creature
Erosion,{U}{U}{U},3,U,Pete Venters,,Enchantment — Aura,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life.","DRK,4ED",,normal,1752,,,Common,Aura,Enchantment
Eternal Flame,{2}{R}{R},4,R,Mark Poole,,Sorcery,"Eternal Flame deals X damage to target opponent, where X is the number of Mountains you control. It deals half X damage, rounded up, to you.",DRK,,normal,1787,,,Rare,,Sorcery
