name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Auriok Glaivemaster,{W},1,W,John Matson,1,Creature — Human Soldier,"As long as Auriok Glaivemaster is equipped, it gets +1/+1 and has first strike.",DST,"""Give me a bit of steel and I'll deliver it into the hearts of my enemies.""",normal,48988,1,1,Common,"Human,Soldier",Creature
Echoing Calm,{1}{W},2,W,Greg Staples,2,Instant,Destroy target enchantment and all other enchantments with the same name as that enchantment.,DST,A single light unleashes a hail of cleansing.,normal,43592,,,Common,,Instant
Emissary of Hope,{1}{W}{W},3,W,rk post,3,Creature — Spirit,"Flying\nWhenever Emissary of Hope deals combat damage to a player, you gain 1 life for each artifact that player controls.",DST,,normal,48153,2,1,Uncommon,Spirit,Creature
Hallow,{W},1,W,Alex Horley-Orlandelli,4,Instant,Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.,DST,"""Bend with the storm, then reply in kind.""",normal,29513,,,Common,,Instant
Leonin Battlemage,{3}{W},4,W,Stephen Tappin,5,Creature — Cat Wizard,"{T}: Target creature gets +1/+1 until end of turn.\nWhenever you cast a spell, you may untap Leonin Battlemage.",DST,The strongest of the pride are measured not by the steel in their hands but by the steel in their souls.,normal,44307,2,3,Uncommon,"Cat,Wizard",Creature
Leonin Shikari,{1}{W},2,W,Wayne England,6,Creature — Cat Soldier,You may activate equip abilities any time you could cast an instant.,DST,Her instinct is as sharp as her blade.,normal,48579,2,2,Rare,"Cat,Soldier",Creature
Loxodon Mystic,{3}{W}{W},5,W,"Edward P. Beard, Jr.",7,Creature — Elephant Cleric,"{W}, {T}: Tap target creature.","DST,10E","As the nim storm across the plains, a lone priest stands in their path. At his silent gesture, the battle line breaks, and the tide turns.",normal,39562,3,3,Common,"Elephant,Cleric",Creature
Metal Fatigue,{2}{W},3,W,Arnie Swekel,8,Instant,Tap all artifacts.,DST,The Auriok have fought the metal hordes for so long now that knowing how to cripple them has become an instinct.,normal,45191,,,Common,,Instant
Pristine Angel,{4}{W}{W},6,W,Scott M. Fischer,9,Creature — Angel,"Flying\nAs long as Pristine Angel is untapped, it has protection from artifacts and from all colors.\nWhenever you cast a spell, you may untap Pristine Angel.","DST,CNS",,normal,47587,4,4,Rare,Angel,Creature
Pteron Ghost,{1}{W},2,W,"Edward P. Beard, Jr.",10,Creature — Spirit,Flying\nSacrifice Pteron Ghost: Regenerate target artifact.,DST,Defending to the death isn't always enough.,normal,49035,1,1,Common,Spirit,Creature
Pulse of the Fields,{1}{W}{W},3,W,Paolo Parente,11,Instant,"You gain 4 life. Then if an opponent has more life than you, return Pulse of the Fields to its owner's hand.",DST,"Before religion or civilization, there was order.",normal,39697,,,Rare,,Instant
Purge,{1}{W},2,W,Pete Venters,12,Instant,Destroy target artifact creature or black creature. It can't be regenerated.,DST,"For the first and last time, the horrific creature experienced terror.",normal,34479,,,Uncommon,,Instant
Ritual of Restoration,{W},1,W,Dany Orizio,13,Sorcery,Return target artifact card from your graveyard to your hand.,DST,"Leonin raising ceremonies take place at the white sun's dawn, the rebirth of artifacts mirroring the birth of a new day.",normal,48576,,,Common,,Sorcery
Soulscour,{7}{W}{W}{W},10,W,Kev Walker,14,Sorcery,Destroy all nonartifact permanents.,DST,"""I have seen the end of times, a future in which all our kind are torn from this world.""\n—Ushanti, leonin shaman",normal,43511,,,Rare,,Sorcery
Steelshaper Apprentice,{2}{W}{W},4,W,Tim Hildebrandt,15,Creature — Human Soldier,"{W}, {T}, Return Steelshaper Apprentice to its owner's hand: Search your library for an Equipment card, reveal that card, and put it into your hand. Then shuffle your library.",DST,"Theirs is a craft brought about by necessity, now raised to the level of art.",normal,49078,1,3,Rare,"Human,Soldier",Creature
Stir the Pride,{4}{W},5,W,Matt Cavotta,16,Instant,"Choose one —\n• Creatures you control get +2/+2 until end of turn.\n• Until end of turn, creatures you control gain ""Whenever this creature deals damage, you gain that much life.""\nEntwine {1}{W} (Choose both if you pay the entwine cost.)","DST,MMA",,normal,45961,,,Uncommon,,Instant
