name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Scion of Ugin,{6},6,,Cliff Childs,1,Creature — Dragon Spirit,Flying,DTK,"For hundreds of years Ugin slept, encased in the cocoon of stone and magic Sarkhan had created using a shard of a Zendikari hedron. As Ugin lay dormant, his spectral guardians kept vigil.",normal,394681,4,4,Uncommon,"Dragon,Spirit",Creature
"Anafenza, Kin-Tree Spirit",{W}{W},2,W,Ryan Yee,2,Legendary Creature — Spirit Soldier,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",DTK,"Martyred for worshipping her ancestors, she now walks among them.",normal,394490,2,2,Rare,"Spirit,Soldier",Creature
Arashin Foremost,{1}{W}{W},3,W,David Palumbo,3,Creature — Human Warrior,"Double strike\nWhenever Arashin Foremost enters the battlefield or attacks, another target Warrior creature you control gains double strike until end of turn.",DTK,"""I would gladly give my life if it would inspire my clan to victory.""",normal,394494,2,2,Rare,"Human,Warrior",Creature
Artful Maneuver,{1}{W},2,W,Lars Grant-West,4,Instant,"Target creature gets +2/+2 until end of turn.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",DTK,,normal,394496,,,Common,,Instant
Aven Sunstriker,{1}{W}{W},3,W,John Severin Brassell,5,Creature — Bird Warrior,Flying\nDouble strike (This creature deals both first-strike and regular combat damage.)\nMegamorph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.),DTK,,normal,394504,1,1,Uncommon,"Bird,Warrior",Creature
Aven Tactician,{4}{W},5,W,Christopher Moeller,6,Creature — Bird Soldier,"Flying\nWhen Aven Tactician enters the battlefield, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",DTK,"The aven are admired, for they are able to fly with the dragons.",normal,394505,2,3,Common,"Bird,Soldier",Creature
Battle Mastery,{2}{W},3,W,Viktor Titov,7,Enchantment — Aura,Enchant creature\nEnchanted creature has double strike. (It deals both first-strike and regular combat damage.),"LRW,DDL,M15,DTK","""There is elegance in all the Ojutai do—even their killing.""\n—Kirada, Silumgar enforcer",normal,394506,,,Uncommon,Aura,Enchantment
Center Soul,{1}{W},2,W,Igor Kieryluk,8,Instant,"Target creature you control gains protection from the color of your choice until end of turn.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",DTK,,normal,394514,,,Common,,Instant
Champion of Arashin,{3}{W},4,W,Joseph Meehan,9,Creature — Hound Warrior,Lifelink (Damage dealt by this creature also causes you to gain that much life.),DTK,"""The blood of Dromoka and the blood of my veins are the same.""",normal,394515,3,2,Common,"Hound,Warrior",Creature
Dragon Hunter,{W},1,W,Johannes Voss,10,Creature — Human Warrior,Protection from Dragons\nDragon Hunter can block Dragons as though it had reach.,DTK,"""Dromoka has taught me the secrets of her kind, that I might use them in her service.""",normal,394541,2,1,Uncommon,"Human,Warrior",Creature
