name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Archon of Justice,{3}{W}{W},5,W,Jason Chan,1,Creature — Archon,"Flying\nWhen Archon of Justice dies, exile target permanent.","EVE,M12","In dark times, Truth bears a blade.",normal,146006,4,4,Rare,Archon,Creature
Ballynock Trapper,{3}{W},4,W,Randy Gallegos,2,Creature — Kithkin Soldier,"{T}: Tap target creature.\nWhenever you cast a white spell, you may untap Ballynock Trapper.",EVE,"No matter how large or small, fierce or fleeting, the kithkin have a trap for it.",normal,153480,2,2,Common,"Kithkin,Soldier",Creature
Cenn's Enlistment,{3}{W},4,W,Matt Cavotta,3,Sorcery,Put two 1/1 white Kithkin Soldier creature tokens onto the battlefield.\nRetrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),"EVE,MMA",The more the scarier.,normal,153469,,,Common,,Sorcery
Endless Horizons,{3}{W},4,W,Joshua Hagler,4,Enchantment,"When Endless Horizons enters the battlefield, search your library for any number of Plains cards and exile them. Then shuffle your library.\nAt the beginning of your upkeep, you may put a card you own exiled with Endless Horizons into your hand.",EVE,,normal,157975,,,Rare,,Enchantment
Endure,{3}{W}{W},5,W,Ralph Horsley,5,Instant,Prevent all damage that would be dealt to you and permanents you control this turn.,EVE,"The Aurora had lessened the kithkins' kindness, deepened their paranoia, and dulled their sense of pain.",normal,157199,,,Uncommon,,Instant
Flickerwisp,{1}{W}{W},3,W,Jeremy Enecio,6,Creature — Elemental,"Flying\nWhen Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.","EVE,MMA,C13,C14",Its wings disturb more than air.,normal,151089,3,1,Uncommon,Elemental,Creature
Hallowed Burial,{3}{W}{W},5,W,Dave Kendall,7,Sorcery,Put all creatures on the bottom of their owners' libraries.,EVE,"""I'd rather hear the screams of battle than the quiet that follows.""\n—Talara, elvish safewright",normal,157394,,,Rare,,Sorcery
Kithkin Spellduster,{4}{W},5,W,Trevor Hairsine,8,Creature — Kithkin Wizard,"Flying\n{1}{W}, Sacrifice Kithkin Spellduster: Destroy target enchantment.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",EVE,,normal,152096,2,3,Common,"Kithkin,Wizard",Creature
Kithkin Zealot,{1}{W},2,W,Scott Altmann,9,Creature — Kithkin Cleric,"When Kithkin Zealot enters the battlefield, you gain 1 life for each black and/or red permanent target opponent controls.",EVE,"The more his flock fears, the more power he wields.",normal,154346,1,3,Common,"Kithkin,Cleric",Creature
Light from Within,{2}{W}{W},4,W,Aleksi Briclot,10,Enchantment,Chroma — Each creature you control gets +1/+1 for each white mana symbol in its mana cost.,EVE,"""Muscle does not make one strong. It only masks the soul's light. True strength lies in purity of purpose.""\n—Donal Alloway, cenn of Kinscaer",normal,151139,,,Rare,,Enchantment
Loyal Gyrfalcon,{3}{W},4,W,Darrell Riche,11,Creature — Bird,"Defender, flying\nWhenever you cast a white spell, Loyal Gyrfalcon loses defender until end of turn.",EVE,It's tethered not to keep it from fleeing but to keep it from eating everything in sight.,normal,151059,3,3,Uncommon,Bird,Creature
Patrol Signaler,{1}{W},2,W,Steve Prescott,12,Creature — Kithkin Soldier,"{1}{W}, {Q}: Put a 1/1 white Kithkin Soldier creature token onto the battlefield. ({Q} is the untap symbol.)",EVE,Many a keen-eared bogle has run afoul of a clever and silently orchestrated kithkin ambush.,normal,157210,1,1,Uncommon,"Kithkin,Soldier",Creature
Recumbent Bliss,{2}{W},3,W,Todd Lockwood,13,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block.\nAt the beginning of your upkeep, you may gain 1 life.","EVE,DDH",Kithkin somnomancers enjoy the peaceful dreams wafting from their victims.,normal,153435,,,Common,Aura,Enchantment
Spirit of the Hearth,{4}{W}{W},6,W,Jason Chan,14,Creature — Cat Spirit,Flying\nYou have hexproof. (You can't be the target of spells or abilities your opponents control.),EVE,"Thieves know that a snarl in the night means, ""Rob another house.""",normal,151169,4,5,Rare,"Cat,Spirit",Creature
Springjack Shepherd,{3}{W},4,W,Thomas Denmark,15,Creature — Kithkin Wizard,"Chroma — When Springjack Shepherd enters the battlefield, put a 0/1 white Goat creature token onto the battlefield for each white mana symbol in the mana costs of permanents you control.",EVE,"""Better for a doun to lose its cenn than its springjacks.""",normal,153032,1,2,Uncommon,"Kithkin,Wizard",Creature
Suture Spirit,{1}{W},2,"W,B",Larry MacDougall,16,Creature — Spirit,Flying\n{W/B}{W/B}{W/B}: Regenerate target creature.,EVE,Is her need to heal born out of compassion or penance?,normal,153420,1,1,Uncommon,Spirit,Creature
Banishing Knack,{U},1,U,Howard Lyon,17,Instant,"Until end of turn, target creature gains ""{T}: Return target nonland permanent to its owner's hand.""",EVE,"Suddenly he realized that everything was connected by invisible strings, strings that could be pulled—or cut.",normal,154350,,,Common,,Instant
Cache Raiders,{3}{U}{U},5,U,Pete Venters,18,Creature — Merfolk Rogue,"At the beginning of your upkeep, return a permanent you control to its owner's hand.","EVE,DDI","What the current doesn't take, they do.",normal,153419,4,4,Uncommon,"Merfolk,Rogue",Creature
Dream Fracture,{1}{U}{U},3,U,Howard Lyon,19,Instant,Counter target spell. Its controller draws a card.\nDraw a card.,"EVE,CNS","""Creation is a paradox. It hatches from its opposite.""\n—Olka, Mistmeadow witch",normal,153036,,,Uncommon,,Instant
Dream Thief,{2}{U},3,U,Howard Lyon,20,Creature — Faerie Rogue,"Flying\nWhen Dream Thief enters the battlefield, draw a card if you've cast another blue spell this turn.",EVE,Awylla's salvaged dreams would finally be put to good use.,normal,157207,2,1,Common,"Faerie,Rogue",Creature
Glamerdye,{1}{U},2,U,Ralph Horsley,21,Instant,Change the text of target spell or permanent by replacing all instances of one color word with another.\nRetrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),EVE,,normal,153439,,,Rare,,Instant
Glen Elendra Archmage,{3}{U},4,U,Warren Mahy,22,Creature — Faerie Wizard,"Flying\n{U}, Sacrifice Glen Elendra Archmage: Counter target noncreature spell.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)","EVE,MMA",,normal,157977,2,2,Rare,"Faerie,Wizard",Creature
Idle Thoughts,{3}{U},4,U,Steven Belledin,23,Enchantment,{2}: Draw a card if you have no cards in hand.,EVE,Inspiration strikes the uncluttered mind.,normal,157412,,,Uncommon,,Enchantment
Indigo Faerie,{1}{U},2,U,Steve Prescott,24,Creature — Faerie Wizard,Flying\n{U}: Target permanent becomes blue in addition to its other colors until end of turn.,EVE,"""You should see your face right now.""",normal,153422,1,1,Uncommon,"Faerie,Wizard",Creature
Inundate,{3}{U}{U}{U},6,U,Mark Zug,25,Sorcery,Return all nonblue creatures to their owners' hands.,EVE,"""For years, the landfolk have emptied their refuse into the waters. It's time to return the favor.""",normal,142010,,,Rare,,Sorcery
Merrow Levitator,{3}{U},4,U,Jim Pavelec,26,Creature — Merfolk Wizard,"{T}: Target creature gains flying until end of turn.\nWhenever you cast a blue spell, you may untap Merrow Levitator.",EVE,"He fancies himself a master thief, claiming to ""steal the ground"" from his victims.",normal,151088,2,3,Common,"Merfolk,Wizard",Creature
Oona's Grace,{2}{U},3,U,Rebecca Guay,27,Instant,Target player draws a card.\nRetrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),"EVE,EMA",Oona grants her favored subjects a dream from her own guarded heart.,normal,153475,,,Common,,Instant
Razorfin Abolisher,{2}{U},3,U,William O'Connor,28,Creature — Merfolk Wizard,"{1}{U}, {T}: Return target creature with a counter on it to its owner's hand.",EVE,"Once you have been marked by the merrow, you are not long for their waters.",normal,153442,2,2,Uncommon,"Merfolk,Wizard",Creature
Sanity Grinding,{U}{U}{U},3,U,Lars Grant-West,29,Sorcery,"Chroma — Reveal the top ten cards of your library. For each blue mana symbol in the mana costs of the revealed cards, target opponent puts the top card of his or her library into his or her graveyard. Then put the cards you revealed this way on the bottom of your library in any order.",EVE,,normal,157204,,,Rare,,Sorcery
Talonrend,{4}{U},5,"U,R",Nils Hamm,30,Creature — Elemental,Flying\n{U/R}: Talonrend gets +1/-1 until end of turn.,EVE,Change is a denizen of Shadowmoor as much as ouphes and noggles are.,normal,153430,0,5,Uncommon,Elemental,Creature
Wake Thrasher,{2}{U},3,U,Jesper Ejsing,31,Creature — Merfolk Soldier,"Whenever a permanent you control becomes untapped, Wake Thrasher gets +1/+1 until end of turn.",EVE,Anyone who thinks merrows have more brains than brawn has never been run over by one.,normal,157405,1,1,Rare,"Merfolk,Soldier",Creature
Wilderness Hypnotist,{2}{U}{U},4,U,Rebecca Guay,32,Creature — Merfolk Wizard,{T}: Target red or green creature gets -2/-0 until end of turn.,EVE,"""I felt as if I were moving in brackish water, as if I were drowning, even though I knew I stood on dry land.""\n—Dindun of Kulrath Mine",normal,153476,1,3,Common,"Merfolk,Wizard",Creature
