name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Allay,{1}{W},2,W,Randy Gallegos,1,Instant,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nDestroy target enchantment.",EXO,,normal,6036,,,Common,,Instant
Angelic Blessing,{2}{W},3,W,Mark Zug,2,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,normal,6040,,,Common,,Sorcery
Cataclysm,{2}{W}{W},4,W,Jim Nelson,3,Sorcery,"Each player chooses from among the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.","EXO,V14,TPR","The Weatherlight dragged the Predator behind it, the cradle hauling the casket.",normal,6050,,,Rare,,Sorcery
Charging Paladin,{2}{W},3,W,Ciruelo,4,Creature — Human Knight,"Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.","POR,EXO,S99,DDC,DD3_DVD,TPR","""Hope shall be the blade that severs our bonds.""",normal,6035,2,2,Common,"Human,Knight",Creature
Convalescence,{1}{W},2,W,D. Alexander Gregory,5,Enchantment,"At the beginning of your upkeep, if you have 10 or less life, you gain 1 life.",EXO,"Selenia had hurt Mirri terribly, but injuries of the flesh could be treated. The wounds she had torn in Crovax's soul would never close.",normal,6051,,,Rare,,Enchantment
Exalted Dragon,{4}{W}{W},6,W,Matthew D. Wilson,6,Creature — Dragon,Flying\nExalted Dragon can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.),"EXO,TPR","If dragons excel at anything more than vanity, it is greed.",normal,6053,5,5,Rare,Dragon,Creature
High Ground,{W},1,W,rk post,7,Enchantment,Each creature you control can block an additional creature each combat.,"EXO,10E","In war, as in society, position is everything.",normal,6169,,,Uncommon,,Enchantment
Keeper of the Light,{W}{W},2,W,D. Alexander Gregory,8,Creature — Human Wizard,"{W}, {T}: Choose target opponent who had more life than you did as you activated this ability. You gain 3 life.",EXO,,normal,6041,1,2,Uncommon,"Human,Wizard",Creature
Kor Chant,{2}{W},3,W,John Matson,9,Instant,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.,"EXO,CNS,TPR",The true treasure no thief can touch.,normal,6045,,,Common,,Instant
Limited Resources,{W},1,W,Keith Parkinson,10,Enchantment,"When Limited Resources enters the battlefield, each player chooses five lands he or she controls and sacrifices the rest.\nPlayers can't play lands as long as ten or more lands are on the battlefield.",EXO,,normal,6049,,,Rare,,Enchantment
Oath of Lieges,{1}{W},2,W,Mark Zug,11,Enchantment,"At the beginning of each player's upkeep, that player chooses target player who controls more lands than he or she does and is his or her opponent. The first player may search his or her library for a basic land card, put that card onto the battlefield, then shuffle his or her library.",EXO,,normal,6048,,,Rare,,Enchantment
Paladin en-Vec,{1}{W}{W},3,W,Randy Elliott,12,Creature — Human Knight,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","EXO,9ED,10E,TPR","""Our belief shall be the lance that pierces Volrath's heart.""",normal,5199,2,2,Rare,"Human,Knight",Creature
