name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aeolipile,{2},2,,Heather Hudson,,Artifact,"{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.","FEM,ME2","""Although fragile, the Aeolipile could be quite destructive.""\n—Sarpadian Empires, vol. I",normal,1827,,,Rare,,Artifact
Armor Thrull,{2}{B},3,B,Jeff A. Menges,,Creature — Thrull,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.","FEM,ME2","""Except for a bare spot at the base of their skulls, Armor Thrulls bear interlocking plates and spikes with the strength of steel. Their design is almost artistic.""\n—Endrek Sahr, ""Thrulls""",normal,1838,1,3,Common,Thrull,Creature
Armor Thrull,{2}{B},3,B,Scott Kirschner,,Creature — Thrull,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.","FEM,ME2","Occasionally, an ally balked at wearing a dead Thrull as armor. The priests' whips, however, were usually enough to encourage a more practical outlook.",normal,1839,1,3,Common,Thrull,Creature
Armor Thrull,{2}{B},3,B,Ron Spencer,,Creature — Thrull,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.","FEM,ME2","""They gave their lives to strengthen the Order's armies, until they declined this honor in favor of joining the Thrull Rebellion.""\n—Jherana Rure, Counter-Insurgency Commander",normal,1840,1,3,Common,Thrull,Creature
Armor Thrull,{2}{B},3,B,Pete Venters,,Creature — Thrull,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.","FEM,ME2","""The worst thing about being a mercenary for the Ebon Hand is having to wear a dead Thrull.""\n—Ivra Jursdotter",normal,1841,1,3,Common,Thrull,Creature
Balm of Restoration,{2},2,,Margaret Organ-Kean,,Artifact,"{1}, {T}, Sacrifice Balm of Restoration: Choose one —\n• You gain 2 life.\n• Prevent the next 2 damage that would be dealt to target creature or player this turn.",FEM,"""Not all armies enjoyed the services of a medic. For them, Balm of Restoration was that much more valuable.""\n—Sarpadian Empires, vol. I",normal,1828,,,Rare,,Artifact
Basal Thrull,{B}{B},2,B,Kaja Foglio,,Creature — Thrull,"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.","FEM,MED","Initially bred for sacrifice, the Thrulls eventually turned on their masters, the Order of the Ebon Hand, with gruesome results.\n—Sarpadian Empires, vol. II",normal,1842,1,2,Common,Thrull,Creature
Basal Thrull,{B}{B},2,B,Richard Kane Ferguson,,Creature — Thrull,"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.","FEM,MED","""To create the first Thrulls, I only introduced alchemic elements into the Order's necromancy; Tourach's principles remained unchanged.""\n—Endrek Sahr, Master Breeder",normal,1843,1,2,Common,Thrull,Creature
Basal Thrull,{B}{B},2,B,Phil Foglio,,Creature — Thrull,"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.","FEM,MED","Although my later designs were much more sophisticated, Basal Thrulls were no less a success.""\n—Endrek Sahr, ""Thrulls""",normal,1844,1,2,Common,Thrull,Creature
Basal Thrull,{B}{B},2,B,Christopher Rush,,Creature — Thrull,"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.","FEM,MED","""Above all, a well crafted Thrull should be hideous—blasted of countenance and twisted of limb—to inspire fear and revulsion.""\n—Endrek Sahr, Master Breeder",normal,1845,1,2,Common,Thrull,Creature
Bottomless Vault,,,B,Pat Morrissey,,Land,"Bottomless Vault enters the battlefield tapped.\nYou may choose not to untap Bottomless Vault during your untap step.\nAt the beginning of your upkeep, if Bottomless Vault is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Bottomless Vault: Add {B} to your mana pool for each storage counter removed this way.","FEM,5ED",,normal,2003,,,Rare,,Land
Brassclaw Orcs,{2}{R},3,R,Rob Alexander,,Creature — Orc,Brassclaw Orcs can't block creatures with power 2 or greater.,"FEM,5ED,ME2","""A whole skin is worth a thousand victories.""\n—Orcish Veteran of the Battle of Montford",normal,1937,3,2,Common,Orc,Creature
Brassclaw Orcs,{2}{R},3,R,Dan Frazier,,Creature — Orc,Brassclaw Orcs can't block creatures with power 2 or greater.,"FEM,5ED,ME2","""Brassclaws were typical Orcs—quick to laud their own prowess in battle, quick to jeer at their opponents, and quicker still to run away when things started to look slightly dangerous.""\n—Sarpadian Empires, vol. IV",normal,1938,3,2,Common,Orc,Creature
Brassclaw Orcs,{2}{R},3,R,Heather Hudson,,Creature — Orc,Brassclaw Orcs can't block creatures with power 2 or greater.,"FEM,5ED,ME2","""The large brass claws worn by some Sarpadian Orc tribes were among the least feared weapons ever known.""\n—Sarpadian Empires, vol. IV",normal,1940,3,2,Common,Orc,Creature
