name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Ugin, the Spirit Dragon",{8},8,,Raymond Swanland,1,Planeswalker — Ugin,"+2: Ugin, the Spirit Dragon deals 3 damage to target creature or player.\n−X: Exile each permanent with converted mana cost X or less that's one or more colors.\n−10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.","FRF_UGIN,FRF",,normal,391948,,,Mythic Rare,Ugin,Planeswalker
Abzan Advantage,{1}{W},2,W,Winona Nelson,2,Instant,Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),FRF,"""To survive, you must seize every opportunity.""\n—Daghatar the Adamant",normal,391781,,,Common,,Instant
Abzan Runemark,{2}{W},3,W,James Ryman,3,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2.\nEnchanted creature has vigilance as long as you control a black or green permanent.,FRF,,normal,391784,,,Common,Aura,Enchantment
Abzan Skycaptain,{3}{W},4,W,Matt Stewart,4,Creature — Bird Soldier,"Flying\nWhen Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",FRF,"""A tempest is coming. Turn your faces toward the wind!""",normal,391785,2,2,Common,"Bird,Soldier",Creature
Arashin Cleric,{1}{W},2,W,Chris Rahn,5,Creature — Human Cleric,"When Arashin Cleric enters the battlefield, you gain 3 life.",FRF,"""We'll have time to put out the fires when those trapped within the ruins are safe.""",normal,391791,1,3,Common,"Human,Cleric",Creature
Aven Skirmisher,{W},1,W,Jason Rainville,6,Creature — Bird Warrior,Flying,FRF,"""We do not hide from the dragons that pretend to rule the skies. If we did, the dragons would become our rulers, and our way of life would be lost.""",normal,391797,1,1,Common,"Bird,Warrior",Creature
Channel Harm,{5}{W},6,W,David Gaillet,7,Instant,"Prevent all damage that would be dealt to you and permanents you control this turn by sources you don't control. If damage is prevented this way, you may have Channel Harm deal that much damage to target creature.",FRF,,normal,391808,,,Uncommon,,Instant
Citadel Siege,{2}{W}{W},4,W,Steven Belledin,8,Enchantment,"As Citadel Siege enters the battlefield, choose Khans or Dragons.\n• Khans — At the beginning of combat on your turn, put two +1/+1 counters on target creature you control.\n• Dragons — At the beginning of combat on each opponent's turn, tap target creature that player controls.",FRF,,normal,391809,,,Rare,,Enchantment
Daghatar the Adamant,{3}{W},4,"W,B,G",Zack Stella,9,Legendary Creature — Human Warrior,Vigilance\nDaghatar the Adamant enters the battlefield with four +1/+1 counters on it.\n{1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.,FRF,"""Our victories will protect a thousand generations.""",normal,391815,0,0,Rare,"Human,Warrior",Creature
Dragon Bell Monk,{2}{W},3,W,Lius Lasahido,10,Creature — Human Monk,"Vigilance\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",FRF,He has spent years training his eyes and ears to detect the subtle signs of a dragon's approach.,normal,391822,2,2,Common,"Human,Monk",Creature
Dragonscale General,{3}{W},4,W,Volkan Baga,11,Creature — Human Warrior,"At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)","pMEI,FRF","""Dragons seek war. I bring it to them.""",normal,391824,2,3,Rare,"Human,Warrior",Creature
Elite Scaleguard,{4}{W},5,W,Steve Prescott,12,Creature — Human Soldier,"When Elite Scaleguard enters the battlefield, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)\nWhenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls.",FRF,,normal,391826,2,3,Uncommon,"Human,Soldier",Creature
Great-Horn Krushok,{4}{W},5,W,YW Tang,13,Creature — Beast,,FRF,"Perfectly suited for life in the Shifting Wastes, the krushok is well protected by its horn, its hide, and its temper.",normal,391848,3,5,Common,Beast,Creature
Honor's Reward,{2}{W},3,W,Izzy,14,Instant,You gain 4 life. Bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.),FRF,"It seldom rains in Abzan lands. When it does, the khan marks the occasion by honoring the families of the fallen.",normal,391854,,,Uncommon,,Instant
Jeskai Barricade,{1}{W},2,W,Noah Bradley,15,Creature — Wall,"Flash (You may cast this spell any time you could cast an instant.)\nDefender\nWhen Jeskai Barricade enters the battlefield, you may return another target creature you control to its owner's hand.",FRF,,normal,391861,0,4,Uncommon,Wall,Creature
Lightform,{1}{W}{W},3,W,Steve Prescott,16,Enchantment,"When Lightform enters the battlefield, it becomes an Aura with enchant creature. Manifest the top card of your library and attach Lightform to it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)\nEnchanted creature has flying and lifelink.",FRF,,normal,391867,,,Uncommon,,Enchantment
Lotus-Eye Mystics,{3}{W},4,W,Dan Scott,17,Creature — Human Monk,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen Lotus-Eye Mystics enters the battlefield, return target enchantment card from your graveyard to your hand.",FRF,Every action has a foreseen purpose.,normal,391870,3,2,Uncommon,"Human,Monk",Creature
Mardu Woe-Reaper,{W},1,W,Willian Murai,18,Creature — Human Warrior,"Whenever Mardu Woe-Reaper or another Warrior enters the battlefield under your control, you may exile target creature card from a graveyard. If you do, you gain 1 life.",FRF,"""Those who died in battle deserve their rest.""",normal,391877,2,1,Uncommon,"Human,Warrior",Creature
Mastery of the Unseen,{1}{W},2,W,Daniel Ljunggren,19,Enchantment,"Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.\n{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,391878,,,Rare,,Enchantment
