name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Ugin, the Spirit Dragon",{8},8,,Chris Rahn,1,Planeswalker — Ugin,"+2: Ugin, the Spirit Dragon deals 3 damage to target creature or player.\n−X: Exile each permanent with converted mana cost X or less that's one or more colors.\n−10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.","FRF_UGIN,FRF",,normal,394086,,,Mythic Rare,Ugin,Planeswalker
Mastery of the Unseen,{1}{W},2,W,Daniel Ljunggren,19,Enchantment,"Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.\n{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,394079,,,Rare,,Enchantment
Smite the Monstrous,{3}{W},4,W,Greg Staples,24,Instant,Destroy target creature with power 4 or greater.,"ISD,DDL,KTK,FRF_UGIN,BFZ","The changing of a single moment in Tarkir's past altered its future, rewriting its history.",normal,394083,,,Common,,Instant
Soul Summons,{1}{W},2,W,Johann Bodin,26,Sorcery,Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.),"FRF_UGIN,FRF",Ugin's magic reaches beyond the dragons. The clans have adapted it for war.,normal,394084,,,Common,,Sorcery
Watcher of the Roost,{2}{W},3,W,Jack Wang,30,Creature — Bird Soldier,"Flying\nMorph—Reveal a white card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Watcher of the Roost is turned face up, you gain 2 life.","KTK,FRF_UGIN",,normal,394088,2,1,Uncommon,"Bird,Soldier",Creature
Jeskai Infiltrator,{2}{U},3,U,Cynthia Sheppard,36,Creature — Human Monk,"Jeskai Infiltrator can't be blocked as long as you control no other creatures.\nWhen Jeskai Infiltrator deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,394078,2,3,Rare,"Human,Monk",Creature
Reality Shift,{1}{U},2,U,Howard Lyon,46,Instant,"Exile target creature. Its controller manifests the top card of his or her library. (That player puts the top card of his or her library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.)","FRF_UGIN,FRF",,normal,394081,,,Uncommon,,Instant
Mystic of the Hidden Way,{4}{U},5,U,Ryan Alexander Lee,48,Creature — Human Monk,Mystic of the Hidden Way can't be blocked.\nMorph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"KTK,FRF_UGIN","""There are many different paths. The Great Teacher reveals them all.""",normal,394080,3,2,Common,"Human,Monk",Creature
Write into Being,{2}{U},3,U,Yeong-Hao Han,59,Sorcery,"Look at the top two cards of your library. Manifest one of those cards, then put the other on the top or bottom of your library. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,394090,,,Common,,Sorcery
Debilitating Injury,{1}{B},2,B,Slawomir Maniak,68,Enchantment — Aura,Enchant creature\nEnchanted creature gets -2/-2.,"KTK,FRF_UGIN",Weakness exists within all who are not dragons.,normal,394070,,,Common,Aura,Enchantment
Grim Haruspex,{2}{B},3,B,Seb McKinnon,73,Creature — Human Wizard,"Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhenever another nontoken creature you control dies, draw a card.","pPRE,KTK,FRF_UGIN","""Your enemies may be cowardly, my lord, but one should never call them gutless.""",normal,394075,3,2,Rare,"Human,Wizard",Creature
Sultai Emissary,{1}{B},2,B,Mathias Kollros,85,Creature — Zombie Warrior,"When Sultai Emissary dies, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF","To the Sultai, Ugin's power was just one more resource to be exploited.",normal,394085,1,1,Common,"Zombie,Warrior",Creature
Ruthless Ripper,{B},1,B,Clint Cearley,88,Creature — Human Assassin,"Deathtouch\nMorph—Reveal a black card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Ruthless Ripper is turned face up, target player loses 2 life.","KTK,FRF_UGIN",,normal,394082,1,1,Uncommon,"Human,Assassin",Creature
Ainok Tracker,{5}{R},6,R,Evan Shipard,96,Creature — Hound Scout,First strike\nMorph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"KTK,FRF_UGIN","""The ainok are wild dogs, not fit to join us around the fire.""\n—Surrak, the Hunt Caller",normal,394065,3,3,Common,"Hound,Scout",Creature
Arc Lightning,{2}{R},3,R,Seb McKinnon,97,Sorcery,"Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.","pARL,USG,BRB,HOP,KTK,FRF_UGIN",Lightning burns the dragon's path.,normal,394068,,,Uncommon,,Sorcery
Fierce Invocation,{4}{R},5,R,Tyler Jacobson,98,Sorcery,"Manifest the top card of your library, then put two +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",Anger can empower those who embrace it.,normal,394072,,,Common,,Sorcery
Jeering Instigator,{1}{R},2,R,Willian Murai,113,Creature — Goblin Rogue,"Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Jeering Instigator is turned face up, if it's your turn, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.","pPRE,KTK,FRF_UGIN",,normal,394077,2,1,Rare,"Goblin,Rogue",Creature
Arashin War Beast,{5}{G}{G},7,G,Eric Deschamps,123,Creature — Beast,"Whenever Arashin War Beast deals combat damage to one or more blocking creatures, manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,394067,6,6,Uncommon,Beast,Creature
Formless Nurturing,{3}{G},4,G,Cliff Childs,129,Sorcery,"Manifest the top card of your library, then put a +1/+1 counter on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",,normal,394073,,,Common,,Sorcery
Dragonscale Boon,{3}{G},4,G,Mark Winters,131,Instant,Put two +1/+1 counters on target creature and untap it.,"KTK,FRF_UGIN",Only those who have proved themselves worthy are granted a dragon's scale.,normal,394071,,,Common,,Instant
Wildcall,{X}{G}{G},2,G,Adam Paquette,146,Sorcery,"Manifest the top card of your library, then put X +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)","FRF_UGIN,FRF",A howl on the wind hides many dangers.,normal,394089,,,Rare,,Sorcery
Hewed Stone Retainers,{3},3,,David Seguin,161,Artifact Creature — Golem,Cast Hewed Stone Retainers only if you've cast another spell this turn.,"FRF_UGIN,FRF","""Their origins are shrouded in mystery. I believe they are the protectors of the lost secrets of our world.""\n—Jilaya, Temur whisperer",normal,394076,4,4,Uncommon,Golem,"Artifact,Creature"
Ugin's Construct,{4},4,,Peter Mohrbacher,164,Artifact Creature — Construct,"When Ugin's Construct enters the battlefield, sacrifice a permanent that's one or more colors.","FRF_UGIN,FRF","While trapping the Eldrazi on Zendikar, Ugin learned little from Sorin, but he gleaned the rudiments of lithomancy from Nahiri.",normal,394087,4,5,Uncommon,Construct,"Artifact,Creature"
Altar of the Brood,{1},1,,Erica Yang,216,Artifact,"Whenever another permanent enters the battlefield under your control, each opponent puts the top card of his or her library into his or her graveyard.","KTK,FRF_UGIN","Supplicants offer flesh and silver, flowers and blood. The altar takes what it will, eyes gleaming with unspoken promises.",normal,394066,,,Rare,,Artifact
Briber's Purse,{X},,,Steve Argyle,217,Artifact,"Briber's Purse enters the battlefield with X gem counters on it.\n{1}, {T}, Remove a gem counter from Briber's Purse: Target creature can't attack or block this turn.","KTK,FRF_UGIN","The bigger the hand, the higher the price.",normal,394069,,,Uncommon,,Artifact
Ghostfire Blade,{1},1,,Cyril Van Der Haegen,220,Artifact — Equipment,Equipped creature gets +2/+2.\nEquip {3}\nGhostfire Blade's equip ability costs {2} less to activate if it targets a colorless creature.,"KTK,FRF_UGIN","If you fear the dragon's fire, you are unworthy to wield it.",normal,394074,,,Rare,Equipment,Artifact
