name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aerial Maneuver,{1}{W},2,W,Scott Chou,1,Instant,Target creature gets +1/+1 and gains flying and first strike until end of turn.,GTC,"""When you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness.""\n—Predak, Gateless freemage",normal,366294,,,Common,,Instant
Angelic Edict,{4}{W},5,W,Trevor Claxton,2,Sorcery,Exile target creature or enchantment.,GTC,The Boros built a prison in the sky where Azorius statutes couldn't restrict their sense of justice.,normal,366400,,,Common,,Sorcery
Angelic Skirmisher,{4}{W}{W},6,W,David Rapoza,3,Creature — Angel,"Flying\nAt the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.","pMEI,GTC","""A keen mind wields an army as a deft hand wields a sword.""",normal,366395,4,4,Rare,Angel,Creature
Assault Griffin,{3}{W},4,W,Eric Velhagen,4,Creature — Griffin,Flying,"M11,M12,GTC","""The Simic offer a prize to any biomancer who can breed a krasis to match a griffin in the air. It's never been claimed.""\n—Libuse, Boros sergeant",normal,366337,3,2,Common,Griffin,Creature
Basilica Guards,{2}{W},3,W,Dan Scott,5,Creature — Human Soldier,"Defender\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",GTC,"""None may pass . . . for free.""",normal,366347,1,4,Common,"Human,Soldier",Creature
Blind Obedience,{1}{W},2,W,Seb McKinnon,6,Enchantment,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)\nArtifacts and creatures your opponents control enter the battlefield tapped.",GTC,"""By the time your knees have worn through your robe, you may have begun to learn your place.""",normal,366465,,,Rare,,Enchantment
Boros Elite,{W},1,W,Willian Murai,7,Creature — Human Soldier,"Battalion — Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.",GTC,"""First, you must fight among the rank and file. It is there I will discern your skills as a leader.""\n—Aurelia, to Gideon Jura",normal,366369,1,1,Uncommon,"Human,Soldier",Creature
Court Street Denizen,{2}{W},3,W,Volkan Baga,8,Creature — Human Soldier,"Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.","GTC,DDO","""The Boros fight for justice. The Azorius fight for law. I hold the line between, and make sure the people are given both.""",normal,366389,2,2,Common,"Human,Soldier",Creature
Daring Skyjek,{1}{W},2,W,Jason Chan,9,Creature — Human Knight,"Battalion — Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.",GTC,"""The hard part isn't landing in the saddle. The hard part is leaping before you see it.""",normal,366251,3,1,Common,"Human,Knight",Creature
Debtor's Pulpit,{4}{W},5,W,James Paick,10,Enchantment — Aura,"Enchant land\nEnchanted land has ""{T}: Tap target creature.""",GTC,"""You may not be able to pay. But you can still kneel.""\n—Milana, Orzhov prelate",normal,366268,,,Uncommon,Aura,Enchantment
Dutiful Thrull,{W},1,"W,B",Daarken,11,Creature — Thrull,{B}: Regenerate Dutiful Thrull.,GTC,"""They are useful, but there's little satisfaction in supplication that throws itself under your heel.""\n—Jozica, Orzhov enforcer",normal,366457,1,1,Common,Thrull,Creature
Frontline Medic,{2}{W},3,W,Willian Murai,12,Creature — Human Cleric,"Battalion — Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible until end of turn.\nSacrifice Frontline Medic: Counter target spell with {X} in its mana cost unless its controller pays {3}.",GTC,,normal,366460,3,3,Rare,"Human,Cleric",Creature
"Gideon, Champion of Justice",{2}{W}{W},4,W,David Rapoza,13,Planeswalker — Gideon,"+1: Put a loyalty counter on Gideon, Champion of Justice for each creature target opponent controls.\n0: Until end of turn, Gideon, Champion of Justice becomes a Human Soldier creature with power and toughness each equal to the number of loyalty counters on him and gains indestructible. He's still a planeswalker. Prevent all damage that would be dealt to him this turn.\n−15: Exile all other permanents.",GTC,,normal,366345,,,Mythic Rare,Gideon,Planeswalker
Guardian of the Gateless,{4}{W},5,W,Wesley Burt,14,Creature — Angel,"Flying\nGuardian of the Gateless can block any number of creatures.\nWhenever Guardian of the Gateless blocks, it gets +1/+1 until end of turn for each creature it's blocking.",GTC,,normal,366260,3,3,Uncommon,Angel,Creature
Guildscorn Ward,{W},1,W,Ryan Barger,15,Enchantment — Aura,Enchant creature\nEnchanted creature has protection from multicolored.,GTC,"""The Gateless have risen. The Ten shall fall.""\n—Ninth District graffiti",normal,366392,,,Common,Aura,Enchantment
