name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Metallic Sliver,{1},1,,L. A. Williams,1,Artifact Creature — Sliver,,"TMP,H09,TPR","When the clever counterfeit was accepted by the hive, Volrath's influence upon the slivers grew even stronger.",normal,208040,1,1,Common,Sliver,"Artifact,Creature"
Virulent Sliver,{G},1,G,Franz Vohwinkel,2,Creature — Sliver,"All Sliver creatures have poisonous 1. (Whenever a Sliver deals combat damage to a player, that player gets a poison counter. A player with ten or more poison counters loses the game.)","FUT,H09",,normal,207919,1,1,Common,Sliver,Creature
Amoeboid Changeling,{1}{U},2,U,Nils Hamm,3,Creature — Shapeshifter,Changeling (This card is every creature type.)\n{T}: Target creature gains all creature types until end of turn.\n{T}: Target creature loses all creature types until end of turn.,"LRW,H09",,normal,207921,1,1,Common,Shapeshifter,Creature
Winged Sliver,{1}{U},2,U,Anthony S. Waters,4,Creature — Sliver,All Sliver creatures have flying.,"TMP,H09,TPR","""Everything around here has cut a deal with gravity.""\n—Gerrard of the Weatherlight",normal,207920,1,1,Common,Sliver,Creature
Clot Sliver,{1}{B},2,B,Jeff Laubenstein,5,Creature — Sliver,"All Slivers have ""{2}: Regenerate this permanent.""","TMP,H09,TPR","""One would think I would be accustomed to unexpected returns.""\n—Hanna, Weatherlight navigator",normal,207900,1,1,Common,Sliver,Creature
Frenzy Sliver,{1}{B},2,B,Glen Angus,6,Creature — Sliver,"All Sliver creatures have frenzy 1. (Whenever a Sliver attacks and isn't blocked, it gets +1/+0 until end of turn.)","FUT,H09","The Arturan conjurers took the strange, alien fossil and patterned their own twisted creations in its image.",normal,207902,1,1,Common,Sliver,Creature
Heart Sliver,{1}{R},2,R,Ron Spencer,7,Creature — Sliver,All Sliver creatures have haste.,"TMP,H09","Gerrard looked all around for the source of the mysterious pulse, and at that moment the slivers boiled forth from the crevasses.",normal,207906,1,1,Common,Sliver,Creature
Gemhide Sliver,{1}{G},2,G,John Matson,8,Creature — Sliver,"All Slivers have ""{T}: Add one mana of any color to your mana pool.""","TSP,H09","""The land is weary. Even Skyshroud is depleted. We must find another source of mana—one that is growing despite our withering world.""\n—Freyalise",normal,207905,1,1,Common,Sliver,Creature
Muscle Sliver,{1}{G},2,G,Richard Kane Ferguson,9,Creature — Sliver,All Sliver creatures get +1/+1.,"TMP,pFNM,H09,TPR",The air was filled with the cracks and snaps of flesh hardening as the new sliver joined the battle.,normal,207911,1,1,Common,Sliver,Creature
Quick Sliver,{1}{G},2,G,John Avon,10,Creature — Sliver,Flash\nAny player may play Sliver cards as though they had flash.,"LGN,H09",The directors of the Riptide Project wanted instant results on the sliver experiments. They got their wish.,normal,207913,1,1,Common,Sliver,Creature
