name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abbey Gargoyles,{2}{W}{W}{W},5,W,Christopher Rush,,Creature — Gargoyle,"Flying, protection from red","HML,5ED,ME2","""Though Serra has not been seen for twenty years, her Gargoyles still watch over our city and punish the guilty.""\n—Gulsen, Abbey Matron",normal,3010,3,4,Uncommon,Gargoyle,Creature
Abbey Matron,{2}{W},3,W,Mike Kimble,,Creature — Human Cleric,"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.",HML,"""The Matrons are kindly souls, but don't ask one for an ale.""\n—Halina, Dwarven Trader",normal,3011,1,3,Common,"Human,Cleric",Creature
Abbey Matron,{2}{W},3,W,Mike Kimble,,Creature — Human Cleric,"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.",HML,"""The Matrons still say Serra is coming back. I bet she never even existed.""\n—Murat, Death Speaker",normal,3012,1,3,Common,"Human,Cleric",Creature
Æther Storm,{3}{U},4,U,Mark Tedin,,Enchantment,Creature spells can't be cast.\nPay 4 life: Destroy Æther Storm. It can't be regenerated. Any player may activate this ability.,"HML,5ED,ME2","""I do love the rain . . . but this storm feels somehow wrong, Taysir.""\n—Daria",normal,2935,,,Uncommon,,Enchantment
Aliban's Tower,{1}{R},2,R,Jeff A. Menges,,Instant,Target blocking creature gets +3/+1 until end of turn.,HML,"""The people of Aysen built their roads with stones from these wonders. Aliban would be pleased with their ingenuity.""\n—Baki, Wizard Attendant",normal,2985,,,Common,,Instant
Aliban's Tower,{1}{R},2,R,Jeff A. Menges,,Instant,Target blocking creature gets +3/+1 until end of turn.,HML,"""Those who hide in hollow towers would do well to remember the rain.""\n—Reyhan, Samite Alchemist",normal,2986,,,Common,,Instant
Ambush,{3}{R},4,R,Alan Rabinowitz,,Instant,Blocking creatures gain first strike until end of turn.,HML,"""Don't these goons have anything better to do?""\n—Joskun, An-Havva Constable",normal,2987,,,Common,,Instant
Ambush Party,{4}{R},5,R,Mark Poole,,Creature — Human Rogue,"First strike, haste","HML,5ED,ME2","""The roads to Koskun Keep are mostly safe these days. Mostly.""\n—Joskun, An-Havva Constable",normal,2988,3,1,Common,"Human,Rogue",Creature
Ambush Party,{4}{R},5,R,Mark Poole,,Creature — Human Rogue,"First strike, haste","HML,5ED,ME2","""Call it a cost of doing business. The best way to protect against thieves is to hire better thieves.""\n—Eron the Relentless",normal,2989,3,1,Common,"Human,Rogue",Creature
An-Havva Constable,{1}{G}{G},3,G,Dan Frazier,,Creature — Human,An-Havva Constable's toughness is equal to 1 plus the number of green creatures on the battlefield.,"HML,5ED","""Joskun and the other Constables serve with passion, if not with grace.""\n—Devin, Faerie Noble",normal,2960,2,1+*,Rare,Human,Creature
An-Havva Inn,{1}{G}{G},3,G,Brian Snõddy,,Sorcery,"You gain X plus 1 life, where X is the number of green creatures on the battlefield.",HML,"""The Inn was ever a steady source of good cheer and kindness. Greatly do I miss it, now that I am gone.""\n—Ihsan's Shade",normal,2961,,,Uncommon,,Sorcery
An-Havva Township,,,"G,R,W",Liz Danforth,,Land,"{T}: Add {C} to your mana pool.\n{1}, {T}: Add {G} to your mana pool.\n{2}, {T}: Add {R} or {W} to your mana pool.",HML,Folk of good heart will always find a home.,normal,3035,,,Uncommon,,Land
An-Zerrin Ruins,{2}{R}{R},4,R,Dennis Detwiller,,Enchantment,"As An-Zerrin Ruins enters the battlefield, choose a creature type.\nCreatures of the chosen type don't untap during their controllers' untap steps.","HML,ME2","""The An-Zerrins have served me well, ever since I first killed them.""\n—Baron Sengir",normal,2990,,,Rare,,Enchantment
Anaba Ancestor,{1}{R},2,R,Anson Maddocks,,Creature — Minotaur Spirit,{T}: Another target Minotaur creature gets +1/+1 until end of turn.,"HML,ME3","""The Ancestors are the wisdom of the tribe and the soul of the Homelands. I am eternally in their debt.""\n—Taysir",normal,2991,1,1,Rare,"Minotaur,Spirit",Creature
Anaba Bodyguard,{3}{R},4,R,Anson Maddocks,,Creature — Minotaur,First strike (This creature deals combat damage before creatures without first strike.),"HML,6ED,10E","""Not all Minotaurs are tribal. Some are freelance.""\n—Eron the Relentless",normal,2992,2,3,Common,Minotaur,Creature
Anaba Bodyguard,{3}{R},4,R,Anson Maddocks,,Creature — Minotaur,First strike (This creature deals combat damage before creatures without first strike.),"HML,6ED,10E","""Not someone to pick a fight with, unless you're fond of pain.""\n—Halina, Dwarven Trader",normal,2993,2,3,Common,Minotaur,Creature
Anaba Shaman,{3}{R},4,R,Anson Maddocks,,Creature — Minotaur Shaman,"{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.","HML,6ED,8ED,9ED","""Few master the powers of the earth as well as do the Shamans of the Minotaurs.""\n—Baki, Wizard Attendant",normal,2994,2,2,Common,"Minotaur,Shaman",Creature
Anaba Shaman,{3}{R},4,R,Anson Maddocks,,Creature — Minotaur Shaman,"{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.","HML,6ED,8ED,9ED","""The Shamans? Ha They are mere craven cows not capable of true magic.""\n—Irini Sengir",normal,2995,2,2,Common,"Minotaur,Shaman",Creature
Anaba Spirit Crafter,{2}{R}{R},4,R,Anson Maddocks,,Creature — Minotaur Shaman,Minotaur creatures get +1/+0.,"HML,ME3","""The Spirit Crafters sing of all our people. They sing of those lost, of those found, and of those who are yet to be.""\n—Onatah, Anaba Shaman",normal,2996,1,3,Rare,"Minotaur,Shaman",Creature
Apocalypse Chime,{2},2,,Mark Poole,,Artifact,"{2}, {T}, Sacrifice Apocalypse Chime: Destroy all nontoken permanents originally printed in the Homelands expansion. They can't be regenerated.",HML,"""One day, or another, perhaps I shall ring my pretty chime . . . loudly, so that all may hear.""\n—Grandmother Sengir",normal,2900,,,Rare,,Artifact
Autumn Willow,{4}{G}{G},6,G,Margaret Organ-Kean,,Legendary Creature — Avatar,"Shroud (This creature can't be the target of spells or abilities.)\n{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.","HML,MED","""We must shake her limbs and rattle her brains.""\n—Grandmother Sengir",normal,2962,4,4,Rare,Avatar,Creature
Aysen Abbey,,,"W,G,U",Liz Danforth,,Land,"{T}: Add {C} to your mana pool.\n{1}, {T}: Add {W} to your mana pool.\n{2}, {T}: Add {G} or {U} to your mana pool.",HML,Serra's gift to her people: a symbol of faith and hope.,normal,3036,,,Uncommon,,Land
Aysen Bureaucrats,{1}{W},2,W,Alan Rabinowitz,,Creature — Human Advisor,{T}: Tap target creature with power 2 or less.,"HML,5ED,ME2","""I would say that our Bureaucrats are no better than vipers—but I shouldn't insult the vipers.""\n—Murat, Death Speaker",normal,3013,1,1,Common,"Human,Advisor",Creature
Aysen Bureaucrats,{1}{W},2,W,Alan Rabinowitz,,Creature — Human Advisor,{T}: Tap target creature with power 2 or less.,"HML,5ED,ME2","""All the tortures of my vault of horrors pale in comparison to dealing with those petty Bureaucrats.""\n—Baron Sengir",normal,3014,1,1,Common,"Human,Advisor",Creature
Aysen Crusader,{2}{W}{W},4,W,NéNé Thomas,,Creature — Human Knight,Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.,"HML,ME2","""A renegade rallying the rabble does not a true Crusader make.""\n—Irini Sengir",normal,3015,2+*,2+*,Rare,"Human,Knight",Creature
Aysen Highway,{3}{W}{W}{W},6,W,NéNé Thomas,,Enchantment,White creatures have plainswalk. (They can't be blocked as long as defending player controls a Plains.),HML,"""Tread the roads of righteousness, Murat, lest you lose your way and be consumed.""\n—Baris, Serra Inquisitor",normal,3016,,,Rare,,Enchantment
Baki's Curse,{2}{U}{U},4,U,Nicola Leonard,,Sorcery,Baki's Curse deals 2 damage to each creature for each Aura attached to that creature.,HML,"""Those who fling spells too quickly should have reason to regret it.""\n—Baki, Wizard Attendant",normal,2936,,,Rare,,Sorcery
Baron Sengir,{5}{B}{B}{B},8,B,Pete Venters,,Legendary Creature — Vampire,"Flying\nWhenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.\n{T}: Regenerate another target Vampire.","HML,MED","""Beast. Defiler. The source of all my pain."" —Ihsan's Shade",normal,2910,5,5,Rare,Vampire,Creature
Beast Walkers,{1}{W}{W},3,"W,G",Heather Hudson,,Creature — Human Beast Soldier,"{G}: Beast Walkers gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",HML,"""The Beast Walkers do a great service to Aysen. As humans or as beasts, their heart is yet to Serra true.""\n—Baris, Serra Inquisitor",normal,3017,2,2,Rare,"Human,Beast,Soldier",Creature
Black Carriage,{3}{B}{B},5,B,David A. Cherry,,Creature — Horse,Trample\nBlack Carriage doesn't untap during your untap step.\nSacrifice a creature: Untap Black Carriage. Activate this ability only during your upkeep.,HML,"""The Baron's drivers are also driven.""\n—Chandler",normal,2911,4,4,Rare,Horse,Creature
Broken Visage,{4}{B},5,B,Mike Kimble,,Instant,Destroy target nonartifact attacking creature. It can't be regenerated. Put a black Spirit creature token with that creature's power and toughness onto the battlefield. Sacrifice the token at the beginning of the next end step.,"HML,5ED,ME2",,normal,2912,,,Rare,,Instant
Carapace,{G},1,G,Anson Maddocks,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +0/+2.\nSacrifice Carapace: Regenerate enchanted creature.,"HML,5ED,ME2","""The tougher to crack, the sweeter the snack.""\n—Kakra, Sea Troll",normal,2963,,,Common,Aura,Enchantment
Carapace,{G},1,G,Anson Maddocks,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +0/+2.\nSacrifice Carapace: Regenerate enchanted creature.,"HML,5ED,ME2","""Now, that's a fashion statement.""\n—Devin, Faerie Noble",normal,2964,,,Common,Aura,Enchantment
Castle Sengir,,,"B,U,R",Pete Venters,,Land,"{T}: Add {C} to your mana pool.\n{1}, {T}: Add {B} to your mana pool.\n{2}, {T}: Add {U} or {R} to your mana pool.",HML,"Where hope has no champion, evil rules all.",normal,3037,,,Uncommon,,Land
Cemetery Gate,{2}{B},3,B,Melissa A. Benson,,Creature — Wall,Defender (This creature can't attack.)\nProtection from black,HML,"""It keeps some out, yes. It also keeps others in""\n—Grandmother Sengir",normal,2913,0,5,Common,Wall,Creature
Cemetery Gate,{2}{B},3,B,Melissa A. Benson,,Creature — Wall,Defender (This creature can't attack.)\nProtection from black,HML,"""Just the place for a picnic.""\n—Murat, Death Speaker",normal,2914,0,5,Common,Wall,Creature
Chain Stasis,{U},1,U,Pat Morrissey,,Instant,"You may tap or untap target creature. Then that creature's controller may pay {2}{U}. If the player does, he or she may copy this spell and may choose a new target for that copy.",HML,"""Here we go again.""\n—Kakra, Sea Troll",normal,2937,,,Rare,,Instant
Chandler,{4}{R},5,R,Douglas Shuler,,Legendary Creature — Human Rogue,"{R}{R}{R}, {T}: Destroy target artifact creature.",HML,"""Never brag about the latest wonder you've created, students. Chandler might be listening.""\n—Reveka, Wizard Savant",normal,2997,3,3,Common,"Human,Rogue",Creature
