name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Academy at Tolaria West,,,,James Paick,1,Plane — Dominaria,"At the beginning of your end step, if you have no cards in hand, draw seven cards.\nWhenever you roll CHAOS, discard your hand.",HOP,,plane,198073,,,Common,Dominaria,Plane
Akroma's Vengeance,{4}{W}{W},6,W,Greg & Tim Hildebrandt,1,Sorcery,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)","ONS,HOP,CMD,V13",Ixidor had only to imagine their ruin and Akroma made it so.,normal,205366,,,Rare,,Sorcery
The Æther Flues,,,,Jason A. Engle,2,Plane — Iquatana,"When you planeswalk to The Æther Flues or at the beginning of your upkeep, you may sacrifice a creature. If you do, reveal cards from the top of your library until you reveal a creature card, put that card onto the battlefield, then shuffle all other cards revealed this way into your library.\nWhenever you roll CHAOS, you may put a creature card from your hand onto the battlefield.",HOP,,plane,198098,,,Common,Iquatana,Plane
Congregate,{3}{W},4,W,Mark Zug,2,Instant,Target player gains 2 life for each creature on the battlefield.,"USG,HOP,CMD,M14,M15","""In the gathering there is strength for all who founder, renewal for all who languish, love for all who sing.""\n—Song of All, canto 642",normal,205387,,,Common,,Instant
Agyrem,,,,Todd Lockwood,3,Plane — Ravnica,"Whenever a white creature dies, return it to the battlefield under its owner's control at the beginning of the next end step.\nWhenever a nonwhite creature dies, return it to its owner's hand at the beginning of the next end step.\nWhenever you roll CHAOS, creatures can't attack you until a player planeswalks.",HOP,,plane,198090,,,Common,Ravnica,Plane
Kor Sanctifiers,{2}{W},3,W,Dan Scott,3,Creature — Kor Cleric,"Kicker {W} (You may pay an additional {W} as you cast this spell.)\nWhen Kor Sanctifiers enters the battlefield, if it was kicked, destroy target artifact or enchantment.","HOP,ZEN,C14,C15","""Why keep such trinkets? They only add weight to your travels.""",normal,205342,2,3,Common,"Kor,Cleric",Creature
Bant,,,,Michael Komarck,4,Plane — Alara,"All creatures have exalted. (Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)\nWhenever you roll CHAOS, put a divinity counter on target green, white, or blue creature. That creature has indestructible for as long as it has a divinity counter on it.",HOP,,plane,198099,,,Common,Alara,Plane
Oblivion Ring,{2}{W},3,W,Franz Vohwinkel,4,Enchantment,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.\nWhen Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.","pFNM,LRW,ALA,HOP,ARC,DDG,CMD,M12,DDI,M13,MM2",,normal,205396,,,Common,,Enchantment
Cliffside Market,,,,Matt Stewart,5,Plane — Mercadia,"When you planeswalk to Cliffside Market or at the beginning of your upkeep, you may exchange life totals with target player.\nWhenever you roll CHAOS, exchange control of two target permanents that share a card type.",HOP,,plane,198077,,,Common,Mercadia,Plane
Orim's Thunder,{2}{W},3,"W,R",Carl Critchlow,5,Instant,"Kicker {R} (You may pay an additional {R} as you cast this spell.)\nDestroy target artifact or enchantment. If Orim's Thunder was kicked, it deals damage equal to that permanent's converted mana cost to target creature.","APC,HOP,CMD,C15",,normal,205385,,,Common,,Instant
