name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abyssal Specter,{2}{B}{B},4,B,Ruth Thompson,,Creature — Specter,"Flying\nWhenever Abyssal Specter deals damage to a player, that player discards a card.","ICE,5ED,6ED,BRB,7ED,DKM,8ED,DDC,DPA,DD3_DVD","""Open the gates, and bid them enter.""\n—Lim-Dûl, the Necromancer",normal,2437,2,3,Uncommon,Specter,Creature
Adarkar Sentinel,{5},5,,Melissa A. Benson,,Artifact Creature — Soldier,{1}: Adarkar Sentinel gets +0/+1 until end of turn.,"ICE,ME2","""We encountered the Sentinels in the wastes, near no living thing. Their purpose was inscrutable.""\n—Disa the Restless, journal entry",normal,2392,3,3,Uncommon,Soldier,"Artifact,Creature"
Adarkar Unicorn,{1}{W}{W},3,"W,U",Quinton Hoover,,Creature — Unicorn,{T}: Add {U} or {C}{U} to your mana pool. Spend this mana only to pay cumulative upkeep costs.,ICE,"""There is no nobler creature in all of Terisiare.""\n—General Jarkeld, the Arctic Fox",normal,2661,2,2,Common,Unicorn,Creature
Adarkar Wastes,,,"W,U",Mike Raabe,,Land,{T}: Add {C} to your mana pool.\n{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.,"ICE,5ED,6ED,7ED,9ED,10E",,normal,2750,,,Rare,,Land
Aegis of the Meek,{3},3,,L. A. Williams,,Artifact,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.",ICE,"""With this marvel, even the weak have a fighting chance!""\n—Arcum Dagsson,\nSoldevi Machinist",normal,2393,,,Rare,,Artifact
Aggression,{2}{R},3,R,Rick Emond,,Enchantment — Aura,"Enchant non-Wall creature\nEnchanted creature has first strike and trample.\nAt the beginning of the end step of enchanted creature's controller, destroy that creature if it didn't attack this turn.",ICE,The star that burns twice as bright burns half as long.,normal,2605,,,Uncommon,Aura,Enchantment
Altar of Bone,{G}{W},2,"W,G",Melissa A. Benson,,Sorcery,"As an additional cost to cast Altar of Bone, sacrifice a creature.\nSearch your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library.",ICE,,normal,2717,,,Rare,,Sorcery
Amulet of Quoz,{6},6,,Dan Frazier,,Artifact,"Remove Amulet of Quoz from your deck before playing if you're not playing for ante.\n{T}, Sacrifice Amulet of Quoz: Target opponent may ante the top card of his or her library. If he or she doesn't, you flip a coin. If you win the flip, that player loses the game. If you lose the flip, you lose the game. Activate this ability only during your upkeep.",ICE,,normal,2394,,,Rare,,Artifact
Anarchy,{2}{R}{R},4,R,Phil Foglio,,Sorcery,Destroy all white permanents.,"ICE,ME2","""The Shaman waved the staff, and the land itself went mad.""\n—Disa the Restless, journal entry",normal,2606,,,Uncommon,,Sorcery
Arctic Foxes,{1}{W},2,W,Mark Poole,,Creature — Fox,Arctic Foxes can't be blocked by creatures with power 2 or greater as long as defending player controls a snow land.,ICE,"""Those Foxes are wily, swift, and ferocious. They are the warriors of the snows.""\n—General Jarkeld, the Arctic Fox",normal,2662,1,1,Common,Fox,Creature
Arcum's Sleigh,{1},1,,Tom Wänerstrand,,Artifact,"{2}, {T}: Target creature gains vigilance until end of turn. Activate this ability only during combat and only if defending player controls a snow land.",ICE,"""With the proper equipment and caution, one can travel anywhere.""\n—Arcum Dagsson, Soldevi Machinist",normal,2395,,,Uncommon,,Artifact
Arcum's Weathervane,{2},2,,Tom Wänerstrand,,Artifact,"{2}, {T}: Target snow land is no longer snow.\n{2}, {T}: Target nonsnow basic land becomes snow.","ICE,CST",,normal,2396,,,Uncommon,,Artifact
Arcum's Whistle,{3},3,,Quinton Hoover,,Artifact,"{3}, {T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That player may pay {X}, where X is that creature's converted mana cost. If he or she doesn't, the creature attacks this turn if able, and at the beginning of the next end step, destroy it if it didn't attack. Activate this ability only before attackers are declared.",ICE,,normal,2397,,,Uncommon,,Artifact
Arenson's Aura,{2}{W},3,"W,U",Nicola Leonard,,Enchantment,"{W}, Sacrifice an enchantment: Destroy target enchantment.\n{3}{U}{U}: Counter target enchantment spell.","ICE,5ED","""I have my faith, and I have my prayers. But if push comes to shove, I've also got a little something extra.""\n—Halvor Arenson, Kjeldoran Priest",normal,2663,,,Common,,Enchantment
Armor of Faith,{W},1,W,Anson Maddocks,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1.\n{W}: Enchanted creature gets +0/+1 until end of turn.,"ICE,5ED,ME2","""Keep your chainmail, warrior. I have my own form of protection.""\n—Halvor Arenson, Kjeldoran Priest",normal,2664,,,Common,Aura,Enchantment
Arnjlot's Ascent,{1}{U}{U},3,U,Drew Tucker,,Enchantment,"Cumulative upkeep {U} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\n{1}: Target creature gains flying until end of turn.",ICE,"""The dreams of a child fulfilled:\nThe wind on my brow,\nthe air 'neath my feet.""\n—Arnjlot Olasson, Sky Mage",normal,2493,,,Common,,Enchantment
Ashen Ghoul,{3}{B},4,B,Ron Spencer,,Creature — Zombie,Haste\n{B}: Return Ashen Ghoul from your graveyard to the battlefield. Activate this ability only during your upkeep and only if three or more creature cards are above Ashen Ghoul.,"ICE,CST,ME2",,normal,2438,3,1,Uncommon,Zombie,Creature
Aurochs,{3}{G},4,G,"Ken Meyer, Jr.",,Creature — Aurochs,"Trample\nWhenever Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.","ICE,5ED,CST,ME2","One Auroch may feed a village, but a herd will flatten it.",normal,2549,2,3,Common,Aurochs,Creature
Avalanche,{X}{2}{R}{R},4,R,Brian Snõddy,,Sorcery,Destroy X target snow lands.,ICE,"""The pass was completely blocked by the avalanche; we're forced to turn back. Nevertheless, we've gone farther and seen more than any before us.""\n—Disa the Restless, journal entry",normal,2607,,,Uncommon,,Sorcery
Balduvian Barbarians,{1}{R}{R},3,R,Mark Poole,,Creature — Human Barbarian,,"ICE,6ED,7ED,8ED,9ED","""Barbarian raids were a concern to those living in the northwest provinces, but the Skyknights never dealt with the problem in a systematic way. They thought of the Balduvians as an ‘amusing model' of their forebears' culture.""\n—Kjeldor: Ice Civilization",normal,2608,3,2,Common,"Human,Barbarian",Creature
Balduvian Bears,{1}{G},2,G,Quinton Hoover,,Creature — Bear,,"ICE,DKM","""They're a hardy bunch, but I'd still bet that they just slept through the worst of the cold times.""\n—Disa the Restless, journal entry",normal,2550,2,2,Common,Bear,Creature
Balduvian Conjurer,{1}{U},2,U,Mark Tedin,,Creature — Human Wizard,{T}: Target snow land becomes a 2/2 creature until end of turn. It's still a land.,"ICE,ME2","""The very lands of Balduvia are alive.""\n—Arna Kennerüd, Skyknight",normal,2494,0,2,Uncommon,"Human,Wizard",Creature
Balduvian Hydra,{X}{R}{R},2,R,Melissa A. Benson,,Creature — Hydra,Balduvian Hydra enters the battlefield with X +1/+0 counters on it.\nRemove a +1/+0 counter from Balduvian Hydra: Prevent the next 1 damage that would be dealt to Balduvian Hydra this turn.\n{R}{R}{R}: Put a +1/+0 counter on Balduvian Hydra. Activate this ability only during your upkeep.,"ICE,ME2",,normal,2609,0,1,Rare,Hydra,Creature
Balduvian Shaman,{U},1,U,Quinton Hoover,,Creature — Human Cleric Shaman,"{T}: Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. (For example, you may change ""black creatures can't attack"" to ""blue creatures can't attack."") That enchantment gains ""Cumulative upkeep {1}."" (At the beginning of its controller's upkeep, that player puts an age counter on it, then sacrifices it unless he or she pays its upkeep cost for each age counter on it.)",ICE,,normal,2495,1,1,Common,"Human,Cleric,Shaman",Creature
Barbarian Guides,{2}{R},3,R,Richard Thomas,,Creature — Human Barbarian,"{2}{R}, {T}: Choose a land type. Target creature you control gains snow landwalk of the chosen type until end of turn. Return that creature to its owner's hand at the beginning of the next end step. (It can't be blocked as long as defending player controls a snow land of that type.)",ICE,,normal,2610,1,2,Common,"Human,Barbarian",Creature
Barbed Sextant,{1},1,,Amy Weber,,Artifact,"{1}, {T}, Sacrifice Barbed Sextant: Add one mana of any color to your mana pool. Draw a card at the beginning of the next turn's upkeep.","ICE,5ED,DKM,CST,ME2",,normal,2398,,,Common,,Artifact
Baton of Morale,{2},2,,Douglas Shuler,,Artifact,"{2}: Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",ICE,"""The Goblins would kill to get ahold of this one.""\n—Arcum Dagsson,\nSoldevi Machinist",normal,2399,,,Uncommon,,Artifact
