name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Alabaster Leech,{W},1,W,"Edward P. Beard, Jr.",1,Creature — Leech,White spells you cast cost {W} more to cast.,INV,"""Its stones seem to serve a healing function, but removing them intact is an exhausting process.""\n—Tolarian research notes",normal,22960,1,3,Rare,Leech,Creature
Angel of Mercy,{4}{W},5,W,Mark Tedin,2,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD","""In times like these, people need to be reminded of compassion.""\n—Sisay",normal,22952,3,3,Uncommon,Angel,Creature
Ardent Soldier,{1}{W},2,W,Paolo Parente,3,Creature — Human Soldier,"Kicker {2} (You may pay an additional {2} as you cast this spell.)\nVigilance\nIf Ardent Soldier was kicked, it enters the battlefield with a +1/+1 counter on it.",INV,,normal,22931,1,2,Common,"Human,Soldier",Creature
"Atalya, Samite Master",{3}{W}{W},5,W,Rebecca Guay,4,Legendary Creature — Human Cleric,"{X}, {T}: Choose one —\n• Prevent the next X damage that would be dealt to target creature this turn. Spend only white mana on X.\n• You gain X life. Spend only white mana on X.",INV,"""Healing is a gift the divine ones have shared with us. It is a sacred trust.""",normal,22964,2,3,Rare,"Human,Cleric",Creature
Benalish Emissary,{2}{W},3,"W,G",Randy Gallegos,5,Creature — Human Wizard,"Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)\nWhen Benalish Emissary enters the battlefield, if it was kicked, destroy target land.",INV,,normal,22948,1,4,Uncommon,"Human,Wizard",Creature
Benalish Heralds,{3}{W},4,"W,U",Don Hazeltine,6,Creature — Human Soldier,"{3}{U}, {T}: Draw a card.",INV,"The detailed dispatch could be summarized in four words: ""Time is running out.""",normal,22947,2,4,Uncommon,"Human,Soldier",Creature
Benalish Lancer,{2}{W},3,W,Paolo Parente,7,Creature — Human Knight,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)\nIf Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.","INV,DDG",,normal,22932,2,2,Common,"Human,Knight",Creature
Benalish Trapper,{1}{W},2,W,"Ken Meyer, Jr.",8,Creature — Human Soldier,"{W}, {T}: Tap target creature.","INV,VMA","""I'm up here. You're down there. Now who's the lower life form?""",normal,22937,1,2,Common,"Human,Soldier",Creature
Blinding Light,{2}{W},3,W,Marc Fishman,9,Sorcery,Tap all nonwhite creatures.,"MIR,POR,S99,INV",An angel's sword impales only the body; her righteousness penetrates the soul.,normal,22955,,,Uncommon,,Sorcery
Capashen Unicorn,{1}{W},2,W,Jerry Tiritilli,10,Creature — Unicorn,"{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.",INV,Capashen riders were stern and humorless even before their ancestral home was reduced to rubble.,normal,22936,1,2,Common,Unicorn,Creature
