name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abbey Griffin,{3}{W},4,W,Jaime Jones,1,Creature — Griffin,"Flying, vigilance",ISD,"""The darkness crawls with vampires and ghouls, but we are not without allies.""\n—Mikaeus, the Lunarch",normal,235595,2,2,Common,Griffin,Creature
Angel of Flight Alabaster,{4}{W},5,W,Howard Lyon,2,Creature — Angel,"Flying\nAt the beginning of your upkeep, return target Spirit card from your graveyard to your hand.",ISD,She endures without Avacyn but secretly asks each soul she guides if it has seen her.,normal,230620,4,4,Rare,Angel,Creature
Angelic Overseer,{3}{W}{W},5,W,Jason Chan,3,Creature — Angel,"Flying\nAs long as you control a Human, Angelic Overseer has hexproof and indestructible.",ISD,From mortal hope immortal power springs.,normal,220370,5,3,Mythic Rare,Angel,Creature
Avacynian Priest,{1}{W},2,W,Greg Staples,4,Creature — Human Cleric,"{1}, {T}: Tap target non-Human creature.",ISD,Moorlanders speak in awe of the priests' talent for arriving just in time to drive off the wicked things that prowl the ravished parish.,normal,220380,1,2,Common,"Human,Cleric",Creature
Bonds of Faith,{1}{W},2,W,Steve Argyle,5,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.","ISD,DDL,DDQ","""What cannot be destroyed will be bound.""\n—Oath of Avacyn",normal,221216,,,Common,Aura,Enchantment
Champion of the Parish,{W},1,W,Svetlin Velinov,6,Creature — Human Soldier,"Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Champion of the Parish.","ISD,DDQ","""I stand for every cobbler, tanner, and fool in this town—and they stand for me.""",normal,262861,1,1,Rare,"Human,Soldier",Creature
Chapel Geist,{1}{W}{W},3,W,Peter Mohrbacher,7,Creature — Spirit,Flying,"ISD,DDQ","Death has bound it with chains of past regrets. Forever it searches for atonement, each kindness removing a single link.",normal,230622,2,3,Common,Spirit,Creature
Cloistered Youth,{1}{W},2,"B,W",Igor Kieryluk,8a,Creature — Human,"At the beginning of your upkeep, you may transform Cloistered Youth.",ISD,"""I heard her talking in her sleep—pleading, shrieking, snarling. It was not my daughter's voice. That is not my daughter.""\n—Ekatrin, elder of Hanweir",double-faced,221212,1,1,Uncommon,Human,Creature
Unholy Fiend,,2,"B,W",Igor Kieryluk,8b,Creature — Horror,"At the beginning of your end step, you lose 1 life.",ISD,"The fiend tormented them by recounting the girl's memories, as if some part of her remained inside that twisted shell.",double-faced,221222,3,3,Uncommon,Horror,Creature
Dearly Departed,{4}{W}{W},6,W,Daniel Ljunggren,9,Creature — Spirit,"Flying\nAs long as Dearly Departed is in your graveyard, each Human creature you control enters the battlefield with an additional +1/+1 counter on it.","ISD,DDQ","""Never forget our ancestors. They have not forgotten us.""\n—Mikaeus, the Lunarch",normal,222194,5,5,Rare,Spirit,Creature
Divine Reckoning,{2}{W}{W},4,W,Greg Staples,10,Sorcery,Each player chooses a creature he or she controls. Destroy the rest.\nFlashback {5}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.),ISD,Survival of the purest.,normal,245196,,,Rare,,Sorcery
