name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Alabaster Potion,{X}{W}{W},2,W,Harold McNeill,,Instant,Choose one —\n• Target player gains X life.\n• Prevent the next X damage that would be dealt to target creature or player this turn.,"LEG,4ED,RQS,ITP,5ED,ME3","""Healing is a matter of time, but it is sometimes also a matter of opportunity.""\n—D'Avenant proverb",normal,,,,Special,,Instant
Battering Ram,{2},2,,Jeff A. Menges,,Artifact Creature — Construct,"At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)\nWhenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.","ATQ,4ED,RQS,ITP,5ED","By the time Mishra was defeated, no mage was foolish enough to rely heavily on walls.",normal,,1,1,Special,Construct,"Artifact,Creature"
Bog Imp,{1}{B},2,B,Ron Spencer,,Creature — Imp,Flying (This creature can't be blocked except by creatures with flying or reach.),"DRK,4ED,RQS,ITP,5ED,POR,6ED,S99,S00,7ED,8ED,9ED","On guard for larger dangers, we underestimated the power and speed of the Imp's muck-crusted claws.",normal,,1,1,Special,Imp,Creature
Bog Wraith,{3}{B},4,B,Jeff A. Menges,,Creature — Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E,M10",'Twas in the bogs of Cannelbrae\nMy mate did meet an early grave\n'Twas nothing left for us to save\nIn the peat-filled bogs of Cannelbrae.,normal,,3,3,Special,Wraith,Creature
Circle of Protection: Black,{1}{W},2,W,Jesper Myrfors,,Enchantment,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.","LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,7ED,8ED,9ED",,normal,,,,Special,,Enchantment
Circle of Protection: Red,{1}{W},2,W,Mark Tedin,,Enchantment,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,pFNM,7ED,8ED,9ED",,normal,,,,Special,,Enchantment
Clockwork Beast,{6},6,,Drew Tucker,,Artifact Creature — Beast,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,BTD,MED",,normal,,0,4,Special,Beast,"Artifact,Creature"
Cursed Land,{2}{B}{B},4,B,Jesper Myrfors,,Enchantment — Aura,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED",,normal,,,,Special,Aura,Enchantment
Dark Ritual,{B},1,B,Sandra Everingham,,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR",,normal,,,,Special,,Instant
Detonate,{X}{R},1,R,Randy Asplund-Faith,,Sorcery,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller.,"ATQ,4ED,RQS,ITP,5ED,MRD,ME4",,normal,,,,Special,,Sorcery
Disintegrate,{X}{R},1,R,Anson Maddocks,,Sorcery,"Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,TSB",,normal,,,,Special,,Sorcery
Durkwood Boars,{4}{G},5,G,Mike Kimble,,Creature — Boar,,"LEG,4ED,RQS,ITP,5ED,S99,S00","""And the unclean spirits went out, and entered the swine: and the herd ran violently . . . .""\n—Mark 5:13",normal,,4,4,Special,Boar,Creature
Elven Riders,{3}{G}{G},5,G,Melissa A. Benson,,Creature — Elf,Elven Riders can't be blocked except by Walls and/or creatures with flying.,"LEG,4ED,RQS,ITP,5ED,6ED,ONS,10E,DPA","""Sometimes it is better to be swift of foot than strong of swordarm.""\n—Elven proverb",normal,,3,3,Special,Elf,Creature
Elvish Archers,{1}{G},2,G,Anson Maddocks,,Creature — Elf Archer,First strike,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED","I tell you, there was so many arrows flying about you couldn't hardly see the sun. So I says to young Angus, ""Well, at least now we're fighting in the shade!""",normal,,2,1,Special,"Elf,Archer",Creature
Energy Flux,{2}{U},3,U,Kaja Foglio,,Enchantment,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.""","ATQ,3ED,4ED,RQS,ITP,5ED,MMQ,ME4",,normal,,,,Special,,Enchantment
Feedback,{2}{U},3,U,Quinton Hoover,,Enchantment — Aura,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED",,normal,,,,Special,Aura,Enchantment
Fireball,{X}{R},1,R,Mark Tedin,,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC",,normal,,,,Special,,Sorcery
Forest,,,G,Christopher Rush,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,SOI",,normal,,,,Basic Land,Forest,Land
Glasses of Urza,{1},1,,Douglas Shuler,,Artifact,{T}: Look at target player's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,ME4",,normal,,,,Special,,Artifact
