name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aegis of the Gods,{1}{W},2,W,Yefim Kligerman,1,Enchantment Creature — Human Soldier,You have hexproof. (You can't be the target of spells or abilities your opponents control.),JOU,Athreos cares little for the other gods' conflict with mortals. He is concerned only with safe passage for the dead.,normal,380364,2,1,Rare,"Human,Soldier","Enchantment,Creature"
Ajani's Presence,{W},1,W,Raymond Swanland,2,Instant,"Strive — Ajani's Presence costs {2}{W} more to cast for each target beyond the first.\nAny number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",JOU,,normal,380368,,,Common,,Instant
Akroan Mastiff,{3}{W},4,W,Zoltan Boros,3,Creature — Hound,"{W}, {T}: Tap target creature.",JOU,"Even when many of the soldiers who guarded Akros were called away, its safety was never in doubt.",normal,380370,2,2,Common,Hound,Creature
Armament of Nyx,{2}{W},3,W,Slawomir Maniak,4,Enchantment — Aura,"Enchant creature\nEnchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)",JOU,,normal,380371,,,Common,Aura,Enchantment
Banishing Light,{2}{W},3,W,Willian Murai,5,Enchantment,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. (That permanent returns under its owner's control.)","pFNM,JOU,C15",,normal,380375,,,Uncommon,,Enchantment
Dawnbringer Charioteers,{2}{W}{W},4,W,Ryan Alexander Lee,6,Creature — Human Soldier,"Flying, lifelink\nHeroic — Whenever you cast a spell that targets Dawnbringer Charioteers, put a +1/+1 counter on Dawnbringer Charioteers.","pPRE,JOU","""Nyx may belong to the gods, but the skies of Theros are ours.""",normal,380394,2,4,Rare,"Human,Soldier",Creature
Deicide,{1}{W},2,W,Jason Chan,7,Instant,"Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them, then that player shuffles his or her library.",JOU,"""It is done.""\n—Elspeth",normal,380395,,,Rare,,Instant
Dictate of Heliod,{3}{W}{W},5,W,Terese Nielsen,8,Enchantment,Flash\nCreatures you control get +2/+2.,"JOU,DDO,C15","""In our war Heliod gave mortals some favor, yet other times he withheld aid. Are we still no more than game pieces to him?""\n—Polyxene the Doubter",normal,380400,,,Rare,,Enchantment
Eagle of the Watch,{2}{W},3,W,Scott Murphy,9,Creature — Bird,"Flying, vigilance","JOU,ORI","""Even from miles away, I could see our eagles circling. That's when I gave the command to pick up the pace. I knew we were needed at home.""\n—Kanlos, Akroan captain",normal,380407,2,1,Common,Bird,Creature
Eidolon of Rhetoric,{2}{W},3,W,Ryan Yee,10,Enchantment Creature — Spirit,Each player can't cast more than one spell each turn.,JOU,It is the soul of a philosopher who died of starvation contemplating the universe.,normal,380409,1,4,Uncommon,Spirit,"Enchantment,Creature"
Font of Vigor,{1}{W},2,W,Noah Bradley,11,Enchantment,"{2}{W}, Sacrifice Font of Vigor: You gain 7 life.",JOU,"Drink deep, and be restored.",normal,380421,,,Common,,Enchantment
Godsend,{1}{W}{W},3,W,Daniel Ljunggren,12,Legendary Artifact — Equipment,"Equipped creature gets +3/+3.\nWhenever equipped creature blocks or becomes blocked by one or more creatures, you may exile one of those creatures.\nOpponents can't cast cards with the same name as cards exiled with Godsend.\nEquip {3}",JOU,,normal,380426,,,Mythic Rare,Equipment,Artifact
Harvestguard Alseids,{2}{W},3,W,Igor Kieryluk,13,Enchantment Creature — Nymph,"Constellation — Whenever Harvestguard Alseids or another enchantment enters the battlefield under your control, prevent all damage that would be dealt to target creature this turn.",JOU,Not all shields are forged of iron or bronze.,normal,380433,2,3,Common,Nymph,"Enchantment,Creature"
Lagonna-Band Trailblazer,{W},1,W,James Zapata,14,Creature — Centaur Scout,"Heroic — Whenever you cast a spell that targets Lagonna-Band Trailblazer, put a +1/+1 counter on Lagonna-Band Trailblazer.",JOU,"Go forth with honor, return with glory.",normal,380448,0,4,Common,"Centaur,Scout",Creature
Launch the Fleet,{W},1,W,Karl Kopinski,15,Sorcery,"Strive — Launch the Fleet costs {1} more to cast for each target beyond the first.\nUntil end of turn, any number of target creatures each gain ""Whenever this creature attacks, put a 1/1 white Soldier creature token onto the battlefield tapped and attacking.""",JOU,,normal,380449,,,Rare,,Sorcery
Leonin Iconoclast,{3}{W},4,W,Steve Prescott,16,Creature — Cat Monk,"Heroic — Whenever you cast a spell that targets Leonin Iconoclast, destroy target enchantment creature an opponent controls.",JOU,"""The stars belong in the night sky. This is our world, and we are our own masters.""",normal,380450,3,2,Uncommon,"Cat,Monk",Creature
Mortal Obstinacy,{W},1,W,Slawomir Maniak,17,Enchantment — Aura,"Enchant creature you control\nEnchanted creature gets +1/+1.\nWhenever enchanted creature deals combat damage to a player, you may sacrifice Mortal Obstinacy. If you do, destroy target enchantment.",JOU,,normal,380457,,,Common,Aura,Enchantment
Nyx-Fleece Ram,{1}{W},2,W,Terese Nielsen,18,Enchantment Creature — Sheep,"At the beginning of your upkeep, you gain 1 life.",JOU,"The gods are fascinated by innocence, perhaps because it's a quality they themselves lack.",normal,380463,0,5,Uncommon,Sheep,"Enchantment,Creature"
Oppressive Rays,{W},1,W,Mark Zug,19,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block unless its controller pays {3}.\nActivated abilities of enchanted creature cost {3} more to activate.,"JOU,M15",,normal,380465,,,Common,Aura,Enchantment
Oreskos Swiftclaw,{1}{W},2,W,James Ryman,20,Creature — Cat Warrior,,"JOU,M15","After the Battle of Pharagax Bridge, the Champion spent many months among the leonin of Oreskos. She found that they were quick to take offense, not because they were thin-skinned, but because they were always eager for a fight.\n—The Theriad",normal,380466,3,1,Common,"Cat,Warrior",Creature
Phalanx Formation,{2}{W},3,W,Dan Scott,21,Instant,Strive — Phalanx Formation costs {1}{W} more to cast for each target beyond the first.\nAny number of target creatures each gain double strike until end of turn. (They deal both first-strike and regular combat damage.),JOU,,normal,380468,,,Uncommon,,Instant
Quarry Colossus,{5}{W}{W},7,W,Todd Lockwood,22,Creature — Giant,"When Quarry Colossus enters the battlefield, put target creature into its owner's library just beneath the top X cards of that library, where X is the number of Plains you control.",JOU,,normal,380477,5,6,Uncommon,Giant,Creature
Reprisal,{1}{W},2,W,Raymond Swanland,23,Instant,Destroy target creature with power 4 or greater. It can't be regenerated.,"ALL,6ED,7ED,ME2,DDG,JOU","""A tiny flame is enough to dispel the night.""\n—Elspeth",normal,380480,,,Uncommon,,Instant
Sightless Brawler,{1}{W},2,W,Johann Bodin,24,Enchantment Creature — Human Warrior,"Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nSightless Brawler can't attack alone.\nEnchanted creature gets +3/+2 and can't attack alone.",JOU,,normal,380496,3,2,Uncommon,"Human,Warrior","Enchantment,Creature"
Skybind,{3}{W}{W},5,W,Igor Kieryluk,25,Enchantment,"Constellation — Whenever Skybind or another enchantment enters the battlefield under your control, exile target nonenchantment permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",JOU,,normal,380500,,,Rare,,Enchantment
Skyspear Cavalry,{3}{W}{W},5,W,Wayne Reynolds,26,Creature — Human Soldier,Flying\nDouble strike (This creature deals both first-strike and regular combat damage.),JOU,Pray her spear reaches you first. Her griffin is less kind.,normal,380501,2,2,Uncommon,"Human,Soldier",Creature
Stonewise Fortifier,{1}{W},2,W,Ryan Alexander Lee,27,Creature — Human Wizard,{4}{W}: Prevent all damage that would be dealt to Stonewise Fortifier by target creature this turn.,JOU,Ephara taught some mortals to feel every vein in marble as though it flows with their own blood.,normal,380509,2,2,Common,"Human,Wizard",Creature
Supply-Line Cranes,{3}{W}{W},5,W,Daniel Ljunggren,28,Creature — Bird,"Flying\nWhen Supply-Line Cranes enters the battlefield, put a +1/+1 counter on target creature.",JOU,They are trained from hatching to deliver aid where it is needed most.,normal,380512,2,4,Common,Bird,Creature
Tethmos High Priest,{2}{W},3,W,Mark Zug,29,Creature — Cat Cleric,"Heroic — Whenever you cast a spell that targets Tethmos High Priest, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.",JOU,"""Death is tyranny. Like all tyranny, it must be opposed.""",normal,380516,2,3,Uncommon,"Cat,Cleric",Creature
Aerial Formation,{U},1,U,Zack Stella,30,Instant,Strive — Aerial Formation costs {2}{U} more to cast for each target beyond the first.\nAny number of target creatures each get +1/+1 and gain flying until end of turn.,JOU,,normal,380365,,,Common,,Instant
Battlefield Thaumaturge,{1}{U},2,U,Mike Sass,31,Creature — Human Wizard,"Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.\nHeroic — Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn.",JOU,,normal,380377,2,1,Rare,"Human,Wizard",Creature
Cloaked Siren,{3}{U},4,U,Mark Zug,32,Creature — Siren,Flash (You may cast this spell any time you could cast an instant.)\nFlying,JOU,"""That is not the voice of the wind singing on the stones.""\n—Callaphe the mariner",normal,380385,3,2,Common,Siren,Creature
Countermand,{2}{U}{U},4,U,Clint Cearley,33,Instant,Counter target spell. Its controller puts the top four cards of his or her library into his or her graveyard.,JOU,The physical pain was nothing compared to the agony in his mind.,normal,380388,,,Common,,Instant
Crystalline Nautilus,{2}{U},3,U,Brad Rigney,34,Enchantment Creature — Nautilus,"Bestow {3}{U}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nWhen Crystalline Nautilus becomes the target of a spell or ability, sacrifice it.\nEnchanted creature gets +4/+4 and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",JOU,,normal,380390,4,4,Uncommon,Nautilus,"Enchantment,Creature"
Dakra Mystic,{U},1,U,Wesley Burt,35,Creature — Merfolk Wizard,"{U}, {T}: Each player reveals the top card of his or her library. You may put the revealed cards into their owners' graveyards. If you don't, each player draws a card.",JOU,Choices are rarely as simple as they seem.,normal,380392,1,1,Uncommon,"Merfolk,Wizard",Creature
Daring Thief,{2}{U},3,U,Johann Bodin,36,Creature — Human Rogue,"Inspired — Whenever Daring Thief becomes untapped, you may exchange control of target nonland permanent you control and target permanent an opponent controls that shares a card type with it.",JOU,Honesty is the first casualty of war.,normal,380393,2,3,Rare,"Human,Rogue",Creature
Dictate of Kruphix,{1}{U}{U},3,U,Daarken,37,Enchantment,"Flash\nAt the beginning of each player's draw step, that player draws an additional card.","pMGD,JOU","""Knowledge is cruel. It will break your heart and test your allegiances. Are you certain you want this curse?""",normal,380402,,,Rare,,Enchantment
Font of Fortunes,{1}{U},2,U,Jonas De Ro,38,Enchantment,"{1}{U}, Sacrifice Font of Fortunes: Draw two cards.",JOU,"Drink deep, and your thoughts will flow freely.",normal,380418,,,Common,,Enchantment
Godhunter Octopus,{5}{U},6,U,Tyler Jacobson,39,Creature — Octopus,Godhunter Octopus can't attack unless defending player controls an enchantment or an enchanted permanent.,JOU,"""I will match Thassa drop for drop and show a god what true power is.""\n—Kiora",normal,380425,5,5,Common,Octopus,Creature
Hour of Need,{2}{U},3,U,Jesper Ejsing,40,Instant,"Strive — Hour of Need costs {1}{U} more to cast for each target beyond the first.\nExile any number of target creatures. For each creature exiled this way, its controller puts a 4/4 blue Sphinx creature token with flying onto the battlefield.",JOU,,normal,380435,,,Uncommon,,Instant
Hubris,{1}{U},2,U,Seb McKinnon,41,Instant,Return target creature and all Auras attached to it to their owners' hands.,JOU,"""You wish to learn of Nyx? Very well.""\n—Phenax, god of deception",normal,380436,,,Common,,Instant
Hypnotic Siren,{U},1,U,James Ryman,42,Enchantment Creature — Siren,"Bestow {5}{U}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nFlying\nYou control enchanted creature.\nEnchanted creature gets +1/+1 and has flying.",JOU,,normal,380439,1,1,Rare,Siren,"Enchantment,Creature"
Interpret the Signs,{5}{U},6,U,Cynthia Sheppard,43,Sorcery,"Scry 3, then reveal the top card of your library. Draw cards equal to that card's converted mana cost. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",JOU,,normal,380440,,,Uncommon,,Sorcery
Kiora's Dismissal,{U},1,U,Mathias Kollros,44,Instant,Strive — Kiora's Dismissal costs {U} more to cast for each target beyond the first.\nReturn any number of target enchantments to their owners' hands.,JOU,,normal,380444,,,Uncommon,,Instant
Pin to the Earth,{1}{U},2,U,Johann Bodin,45,Enchantment — Aura,Enchant creature\nEnchanted creature gets -6/-0.,JOU,"""Mortal strength, like mortal hope, is so easily crushed.""\n—Thassa, god of the sea",normal,380473,,,Common,Aura,Enchantment
Polymorphous Rush,{2}{U},3,U,Ryan Barger,46,Instant,Strive — Polymorphous Rush costs {1}{U} more to cast for each target beyond the first.\nChoose a creature on the battlefield. Any number of target creatures you control each become a copy of that creature until end of turn.,JOU,,normal,380474,,,Rare,,Instant
Pull from the Deep,{2}{U}{U},4,U,Ryan Yee,47,Sorcery,Return up to one target instant card and up to one target sorcery card from your graveyard to your hand. Exile Pull from the Deep.,JOU,"Ideas, not stones, form the true foundation of Meletis.",normal,380476,,,Uncommon,,Sorcery
Riptide Chimera,{2}{U},3,U,Ryan Barger,48,Enchantment Creature — Chimera,"Flying\nAt the beginning of your upkeep, return an enchantment you control to its owner's hand.",JOU,"""I want one.""\n—Kiora",normal,380485,3,4,Uncommon,Chimera,"Enchantment,Creature"
Rise of Eagles,{4}{U}{U},6,U,Noah Bradley,49,Sorcery,Put two 2/2 blue Bird enchantment creature tokens with flying onto the battlefield. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),JOU,An offering to the sea brings an insight from the stars.,normal,380486,,,Common,,Sorcery
Sage of Hours,{1}{U},2,U,Matt Stewart,50,Creature — Human Wizard,"Heroic — Whenever you cast a spell that targets Sage of Hours, put a +1/+1 counter on it.\nRemove all +1/+1 counters from Sage of Hours: For each five counters removed this way, take an extra turn after this one.",JOU,,normal,380491,1,1,Mythic Rare,"Human,Wizard",Creature
Scourge of Fleets,{5}{U}{U},7,U,Steven Belledin,51,Creature — Kraken,"When Scourge of Fleets enters the battlefield, return each creature your opponents control with toughness X or less to its owner's hand, where X is the number of Islands you control.","pPRE,JOU,DDO",,normal,380494,6,6,Rare,Kraken,Creature
Sigiled Starfish,{1}{U},2,U,Nils Hamm,52,Creature — Starfish,{T}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),"JOU,ORI",Kruphix hid the most dire prophecies about humankind where humans would never find them and tritons wouldn't care to read them.,normal,380498,0,3,Common,Starfish,Creature
Thassa's Devourer,{4}{U},5,U,David Palumbo,53,Enchantment Creature — Elemental,"Constellation — Whenever Thassa's Devourer or another enchantment enters the battlefield under your control, target player puts the top two cards of his or her library into his or her graveyard.",JOU,"When mortals claim there are places Thassa cannot reach, the sea god laughs.",normal,380517,2,6,Common,Elemental,"Enchantment,Creature"
Thassa's Ire,{U},1,U,Chris Rahn,54,Enchantment,{3}{U}: You may tap or untap target creature.,JOU,"The sailor had never seen a god before. Now she had gazed upon Thassa. Shortly she would see Athreos, and then she would meet Erebos.",normal,380518,,,Uncommon,,Enchantment
Triton Cavalry,{3}{U},4,U,Kev Walker,55,Creature — Merfolk Soldier,"Heroic — Whenever you cast a spell that targets Triton Cavalry, you may return target enchantment to its owner's hand.",JOU,"The tritons broke the surface, and the Nyxborn broke ranks.",normal,380521,2,4,Uncommon,"Merfolk,Soldier",Creature
Triton Shorestalker,{U},1,U,Svetlin Velinov,56,Creature — Merfolk Rogue,Triton Shorestalker can't be blocked.,JOU,"""Who will miss you, drywalker? A wife? A child? Perhaps they will blame the sea for your fate, and teach future generations to stay far away from it.""",normal,380522,1,1,Common,"Merfolk,Rogue",Creature
War-Wing Siren,{2}{U},3,U,Magali Villeneuve,57,Creature — Siren Soldier,"Flying\nHeroic — Whenever you cast a spell that targets War-Wing Siren, put a +1/+1 counter on War-Wing Siren.",JOU,Once she sang sailors to their doom. Now she leads them to glory.,normal,380525,1,3,Common,"Siren,Soldier",Creature
Whitewater Naiads,{3}{U}{U},5,U,William Wu,58,Enchantment Creature — Nymph,"Constellation — Whenever Whitewater Naiads or another enchantment enters the battlefield under your control, target creature can't be blocked this turn.",JOU,Stand against the crash of the river's rapids and you will know the power of the naiads.,normal,380526,4,4,Uncommon,Nymph,"Enchantment,Creature"
Agent of Erebos,{3}{B},4,B,Cyril Van Der Haegen,59,Enchantment Creature — Zombie,"Constellation — Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.",JOU,Erebos's minions hunt the Returned and warn those who consider the same folly.,normal,380366,2,2,Uncommon,Zombie,"Enchantment,Creature"
Aspect of Gorgon,{2}{B},3,B,Willian Murai,60,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+3 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy it.),JOU,"""My adopted children are loved no less.""\n—Pharika, god of affliction",normal,380373,,,Common,Aura,Enchantment
Bloodcrazed Hoplite,{1}{B},2,B,Jeff Simpson,61,Creature — Human Soldier,"Heroic — Whenever you cast a spell that targets Bloodcrazed Hoplite, put a +1/+1 counter on it.\nWhenever a +1/+1 counter is placed on Bloodcrazed Hoplite, remove a +1/+1 counter from target creature an opponent controls.",JOU,,normal,380381,2,1,Common,"Human,Soldier",Creature
Brain Maggot,{1}{B},2,B,Min Yum,62,Enchantment Creature — Insect,"When Brain Maggot enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card until Brain Maggot leaves the battlefield.","pFNM,JOU",,normal,380382,1,1,Uncommon,Insect,"Enchantment,Creature"
