name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abzan Battle Priest,{3}{W},4,W,Chris Rahn,1,Creature — Human Cleric,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has lifelink.",KTK,"""Wherever I walk, the ancestors walk too.""",normal,386466,3,2,Uncommon,"Human,Cleric",Creature
Abzan Falconer,{2}{W},3,W,Steven Belledin,2,Creature — Human Soldier,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has flying.",KTK,The fastest way across the dunes is above.,normal,386468,2,3,Uncommon,"Human,Soldier",Creature
Ainok Bond-Kin,{1}{W},2,W,Chris Rahn,3,Creature — Hound Soldier,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has first strike.",KTK,"""Hold the line, for family and the fallen!""",normal,386471,2,1,Common,"Hound,Soldier",Creature
Alabaster Kirin,{3}{W},4,W,Igor Kieryluk,4,Creature — Kirin,"Flying, vigilance",KTK,"The appearance of a kirin signifies the passing or arrival of an important figure. As word of sightings spread, all the khans took it to mean themselves. Only the shaman Chianul thought of Sarkhan Vol.",normal,386473,2,3,Common,Kirin,Creature
Brave the Sands,{1}{W},2,W,Dave Kendall,5,Enchantment,Creatures you control have vigilance.\nEach creature you control can block an additional creature each combat.,KTK,"Enduring the most desolate and dangerous conditions, Abzan sentries unfailingly guard the stronghold gates.",normal,386497,,,Uncommon,,Enchantment
Dazzling Ramparts,{4}{W},5,W,Jung Park,6,Creature — Wall,"Defender\n{1}{W}, {T}: Tap target creature.",KTK,"When Anafenza holds court under the First Tree, the gates of Mer-Ek are sealed. No safer place exists in all of Tarkir.",normal,386511,0,7,Uncommon,Wall,Creature
Defiant Strike,{W},1,W,Anastasia Ovchinnikova,7,Instant,Target creature gets +1/+0 until end of turn.\nDraw a card.,KTK,"""Stand where the whole battle can see you. Strike so they'll never forget.""\n—Anafenza, khan of the Abzan",normal,386515,,,Common,,Instant
End Hostilities,{3}{W}{W},5,W,Jason Rainville,8,Sorcery,Destroy all creatures and all permanents attached to creatures.,KTK,Her palm flared like the eye of a waking dragon. Then all was calm.,normal,386532,,,Rare,,Sorcery
Erase,{W},1,W,Zack Stella,9,Instant,Exile target enchantment.,"ULG,M13,KTK","""Truth is hard enough to see, let alone understand. We must remove all distractions to find clarity.""\n—Zogye, wandering sage",normal,386533,,,Common,,Instant
Feat of Resistance,{1}{W},2,W,David Gaillet,10,Instant,Put a +1/+1 counter on target creature you control. It gains protection from the color of your choice until end of turn.,KTK,"Dragons are extinct on Tarkir, but Abzan magic still emulates their endurance.",normal,386534,,,Common,,Instant
Firehoof Cavalry,{W},1,"W,R",YW Tang,11,Creature — Human Berserker,{3}{R}: Firehoof Cavalry gets +2/+0 and gains trample until end of turn.,KTK,"""What warrior worth the name fears to leave a trail? If my enemies seek me, let them follow the ashes in my wake.""",normal,386536,1,1,Common,"Human,Berserker",Creature
