name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abomination,{3}{B}{B},5,B,Mark Tedin,,Creature — Horror,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.","LEG,4ED",,normal,1427,2,6,Uncommon,Horror,Creature
Acid Rain,{3}{U},4,U,NéNé Thomas,,Sorcery,Destroy all Forests.,"LEG,ME4",,normal,1470,,,Rare,,Sorcery
Active Volcano,{R},1,R,Justin Hampton,,Instant,Choose one —\n• Destroy target blue permanent.\n• Return target Island to its owner's hand.,"LEG,CHR,ME3",,normal,1556,,,Common,,Instant
Adun Oakenshield,{B}{R}{G},3,"B,R,G",Jeff A. Menges,,Legendary Creature — Human Knight,"{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.","LEG,MED",""". . . And at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle."" —The Anvilonian Grimoire",normal,1642,1,2,Rare,"Human,Knight",Creature
Adventurers' Guildhouse,,,,Tom Wänerstrand,,Land,"Green legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",LEG,,normal,1698,,,Uncommon,,Land
Ærathi Berserker,{2}{R}{R}{R},5,R,Melissa A. Benson,,Creature — Human Berserker,"Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)",LEG,Ærathi children who show promise are left to survive for a year in the wilderness. Those who return are shown the way of the Berserker.,normal,1557,2,4,Uncommon,"Human,Berserker",Creature
Aisling Leprechaun,{G},1,G,Quinton Hoover,,Creature — Faerie,"Whenever Aisling Leprechaun blocks or becomes blocked by a creature, that creature becomes green. (This effect lasts indefinitely.)",LEG,,normal,1513,1,1,Common,Faerie,Creature
Akron Legionnaire,{6}{W}{W},8,W,Mark Poole,,Creature — Giant Soldier,"Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.","LEG,CHR,5ED,ME3",,normal,1599,8,4,Rare,"Giant,Soldier",Creature
Al-abara's Carpet,{5},5,,Kaja Foglio,,Artifact,"{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.","LEG,ME4","Al-abara simply laughed and lifted one finger, and the carpet carried her high out of our reach.",normal,1398,,,Rare,,Artifact
Alabaster Potion,{X}{W}{W},2,W,Harold McNeill,,Instant,Choose one —\n• Target player gains X life.\n• Prevent the next X damage that would be dealt to target creature or player this turn.,"LEG,4ED,RQS,ITP,5ED,ME3","""Healing is a matter of time, but it is sometimes also a matter of opportunity."" —D'Avenant proverb",normal,1600,,,Common,,Instant
Alchor's Tomb,{4},4,,Jesper Myrfors,,Artifact,"{2}, {T}: Target permanent you control becomes the color of your choice. (This effect lasts indefinitely.)","LEG,ME4",,normal,1399,,,Rare,,Artifact
All Hallow's Eve,{2}{B}{B},4,B,Christopher Rush,,Sorcery,"Exile All Hallow's Eve with two scream counters on it.\nAt the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from his or her graveyard to the battlefield.","LEG,ME3",,normal,1428,,,Rare,,Sorcery
