name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Akroma, Angel of Wrath",{5}{W}{W}{W},8,W,Ron Spears,1,Legendary Creature — Angel,"Flying, first strike, vigilance, trample, haste, protection from black and from red","LGN,TSB,DDC,DD3_DVD,V15","""No rest. No mercy. No matter what.""",normal,42049,6,6,Rare,Angel,Creature
Akroma's Devoted,{3}{W},4,W,Dave Dorman,2,Creature — Human Cleric,Cleric creatures have vigilance.,LGN,"Akroma asked for only one thing from her troops: unwavering, unconditional loyalty.",normal,44747,2,4,Uncommon,"Human,Cleric",Creature
Aven Redeemer,{3}{W},4,W,Tim Hildebrandt,3,Creature — Bird Cleric,Flying\n{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.,LGN,"Redeemers rise with the sun, and the spirits of the people rise with them.",normal,43497,2,2,Common,"Bird,Cleric",Creature
Aven Warhawk,{4}{W},5,W,Glen Angus,4,Creature — Bird Soldier,"Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Bird and/or Soldier card you reveal in your hand.)\nFlying",LGN,,normal,45838,2,2,Uncommon,"Bird,Soldier",Creature
Beacon of Destiny,{1}{W},2,W,Tim Hildebrandt,5,Creature — Human Cleric,"{T}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to Beacon of Destiny instead.",LGN,"""We all borrowed life from the Ancestor to exist in this world. Today, I repay that debt.""",normal,44496,1,3,Rare,"Human,Cleric",Creature
Celestial Gatekeeper,{3}{W}{W},5,W,Christopher Moeller,6,Creature — Bird Cleric,"Flying\nWhen Celestial Gatekeeper dies, exile it, then return up to two target Bird and/or Cleric permanent cards from your graveyard to the battlefield.",LGN,,normal,42271,2,2,Rare,"Bird,Cleric",Creature
Cloudreach Cavalry,{1}{W},2,W,Kev Walker,7,Creature — Human Soldier,"As long as you control a Bird, Cloudreach Cavalry gets +2/+2 and has flying.",LGN,"""It's easy to lose sight of hope until you gaze out from my vantage point.""",normal,45839,1,1,Uncommon,"Human,Soldier",Creature
Daru Mender,{W},1,W,Ben Thompson,8,Creature — Human Cleric,"Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Daru Mender is turned face up, regenerate target creature.",LGN,,normal,42053,1,1,Uncommon,"Human,Cleric",Creature
Daru Sanctifier,{3}{W},4,W,Tony Szczudlo,9,Creature — Human Cleric,"Morph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Daru Sanctifier is turned face up, destroy target enchantment.",LGN,,normal,44504,1,4,Common,"Human,Cleric",Creature
Daru Stinger,{3}{W},4,W,Greg Staples,10,Creature — Soldier,"Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each  Soldier card you reveal in your hand.)\n{T}: Daru Stinger deals damage equal to the number of +1/+1 counters on it to target attacking or blocking creature.",LGN,,normal,42278,1,1,Common,Soldier,Creature
Defender of the Order,{3}{W},4,W,Darrell Riche,11,Creature — Human Cleric,"Morph {W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Defender of the Order is turned face up, creatures you control get +0/+2 until end of turn.",LGN,,normal,44329,2,4,Rare,"Human,Cleric",Creature
Deftblade Elite,{W},1,W,Alan Pollack,12,Creature — Human Soldier,"Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)\n{1}{W}: Prevent all combat damage that would be dealt to and dealt by Deftblade Elite this turn.","LGN,VMA",,normal,45132,1,1,Common,"Human,Soldier",Creature
Essence Sliver,{3}{W},4,W,Glen Angus,13,Creature — Sliver,"Whenever a Sliver deals damage, its controller gains that much life.","LGN,TSB","The slivers would survive, even at the expense of every other creature on Otaria.",normal,42025,3,3,Rare,Sliver,Creature
Gempalm Avenger,{5}{W},6,W,Tim Hildebrandt,14,Creature — Human Soldier,"Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle Gempalm Avenger, Soldier creatures get +1/+1 and gain first strike until end of turn.","LGN,DDO",,normal,43791,3,5,Common,"Human,Soldier",Creature
Glowrider,{2}{W},3,W,Scott M. Fischer,15,Creature — Human Cleric,Noncreature spells cost {1} more to cast.,LGN,"""It is not yet time.""",normal,42073,2,1,Rare,"Human,Cleric",Creature
Liege of the Axe,{3}{W},4,W,Christopher Moeller,16,Creature — Human Soldier,"Vigilance\nMorph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Liege of the Axe is turned face up, untap it.",LGN,,normal,39603,2,3,Uncommon,"Human,Soldier",Creature
