name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ajani Goldmane,{2}{W}{W},4,W,Aleksi Briclot,1,Planeswalker — Ajani,"+1: You gain 2 life.\n−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.\n−6: Put a white Avatar creature token onto the battlefield. It has ""This creature's power and toughness are each equal to your life total.""","pPRO,LRW,M10,M11",,normal,140233,,,Rare,Ajani,Planeswalker
Arbiter of Knollridge,{6}{W},7,W,Brandon Dorman,2,Creature — Giant Wizard,"Vigilance\nWhen Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.","LRW,CMD,C15","Though giants are mortal, they live so long and on such a grand scale that many small folk don't believe they ever truly die.",normal,140189,5,5,Rare,"Giant,Wizard",Creature
Austere Command,{4}{W}{W},6,W,Wayne England,3,Sorcery,Choose two —\n• Destroy all artifacts.\n• Destroy all enchantments.\n• Destroy all creatures with converted mana cost 3 or less.\n• Destroy all creatures with converted mana cost 4 or greater.,"LRW,CMD",,normal,141817,,,Rare,,Sorcery
Avian Changeling,{2}{W},3,W,Heather Hudson,4,Creature — Shapeshifter,Changeling (This card is every creature type.)\nFlying,"LRW,MMA","Today it flies with the flock. Tomorrow it may wake to find them gone, its body in an unfamiliar form.",normal,145813,2,2,Common,Shapeshifter,Creature
Battle Mastery,{2}{W},3,W,Zoltan Boros & Gabor Szikszai,5,Enchantment — Aura,Enchant creature\nEnchanted creature has double strike. (It deals both first-strike and regular combat damage.),"LRW,DDL,M15,DTK","""Boom Boom Boots the size of oxcarts, then an axe like a falling sun. Elves scattered. Trees scattered. Even the hills ran for the hills""\n—Clachan Tales",normal,145973,,,Uncommon,Aura,Enchantment
"Brigid, Hero of Kinsbaile",{2}{W}{W},4,W,Steve Prescott,6,Legendary Creature — Kithkin Archer,"First strike\n{T}: Brigid, Hero of Kinsbaile deals 2 damage to each attacking or blocking creature target player controls.",LRW,"Thanks to one champion archer, the true borders of Kinsbaile extend an arrow's flight beyond the buildings.",normal,141829,2,3,Rare,"Kithkin,Archer",Creature
Burrenton Forge-Tender,{W},1,W,Chuck Lukacs,7,Creature — Kithkin Wizard,Protection from red\nSacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.,"LRW,MD1","""We are a clachan of smiths. The forge is as comfortable to us as a small fire during a cool winter's evening.""",normal,139395,1,1,Uncommon,"Kithkin,Wizard",Creature
Cenn's Heir,{1}{W},2,W,Steven Belledin,8,Creature — Kithkin Soldier,"Whenever Cenn's Heir attacks, it gets +1/+1 until end of turn for each other attacking Kithkin.",LRW,"His home clachan's familial spirit bolsters his own, but he will be ready to preside over the town as cenn only after he learns to project that strength to others.",normal,142360,1,1,Common,"Kithkin,Soldier",Creature
Changeling Hero,{4}{W},5,W,Jeff Miracola,9,Creature — Shapeshifter,"Changeling (This card is every creature type.)\nChampion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.)",LRW,,normal,145968,4,4,Uncommon,Shapeshifter,Creature
Cloudgoat Ranger,{3}{W}{W},5,W,Adam Rex,10,Creature — Giant Warrior,"When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens onto the battlefield.\nTap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.","LRW,MMA",,normal,139664,3,3,Uncommon,"Giant,Warrior",Creature
Crib Swap,{2}{W},3,W,Brandon Dorman,11,Tribal Instant — Shapeshifter,Changeling (This card is every creature type.)\nExile target creature. Its controller puts a 1/1 colorless Shapeshifter creature token with changeling onto the battlefield.,"LRW,C15",,normal,143380,,,Uncommon,Shapeshifter,"Tribal,Instant"
Dawnfluke,{3}{W},4,W,Mark Zug,12,Creature — Elemental,"Flash\nWhen Dawnfluke enters the battlefield, prevent the next 3 damage that would be dealt to target creature or player this turn.\nEvoke {W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",LRW,,normal,145801,0,3,Common,Elemental,Creature
Entangling Trap,{1}{W},2,W,Warren Mahy,13,Enchantment,"Whenever you clash, tap target creature an opponent controls. If you won, that creature doesn't untap during its controller's next untap step. (This ability triggers after the clash ends.)",LRW,,normal,146583,,,Uncommon,,Enchantment
Favor of the Mighty,{1}{W},2,W,Larry MacDougall,14,Tribal Enchantment — Giant,Each creature with the highest converted mana cost has protection from all colors.,LRW,"""What does a mountain fear of a fly? Giants are barely aware of us, let alone afraid.""\n—Gaddock Teeg",normal,143683,,,Rare,Giant,"Tribal,Enchantment"
Galepowder Mage,{3}{W},4,W,Jeremy Jarvis,15,Creature — Kithkin Wizard,"Flying\nWhenever Galepowder Mage attacks, exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.","LRW,DDI",,normal,139666,3,3,Rare,"Kithkin,Wizard",Creature
Goldmeadow Dodger,{W},1,W,Omar Rayyan,16,Creature — Kithkin Rogue,Goldmeadow Dodger can't be blocked by creatures with power 4 or greater.,LRW,"""I've gotten close enough to a giant to smell his breath, but none has ever so much as spotted me. I wonder how long my record can extend?""",normal,142356,1,1,Common,"Kithkin,Rogue",Creature
Goldmeadow Harrier,{W},1,W,Steve Prescott,17,Creature — Kithkin Soldier,"{W}, {T}: Tap target creature.","LRW,DDF","""It's a proven fact that sling-stones from the dawn side of the riverbank sail the farthest and truest.""\n—Deagan, cenn of Burrenton",normal,139397,1,1,Common,"Kithkin,Soldier",Creature
Goldmeadow Stalwart,{W},1,W,Wayne Reynolds,18,Creature — Kithkin Soldier,"As an additional cost to cast Goldmeadow Stalwart, reveal a Kithkin card from your hand or pay {3}.",LRW,"The thoughtweft ties a clachan together. Sharing each other's hopes and fears, all the village's citizens spring into action upon the first threat to any one of them.",normal,139698,2,2,Uncommon,"Kithkin,Soldier",Creature
Harpoon Sniper,{2}{W},3,W,Dominick Domingo,19,Creature — Merfolk Archer,"{W}, {T}: Harpoon Sniper deals X damage to target attacking or blocking creature, where X is the number of Merfolk you control.",LRW,"Made from whiskergill bones, merrow spinebows can fire bolts through tree trunks.",normal,139407,2,2,Uncommon,"Merfolk,Archer",Creature
Hillcomber Giant,{2}{W}{W},4,W,Ralph Horsley,20,Creature — Giant Scout,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"LRW,MMA","The giants believe the fossils they find in Lorwyn's rocky heights are dreams frozen in time, and they treasure them.",normal,145971,3,3,Common,"Giant,Scout",Creature
Hoofprints of the Stag,{1}{W},2,W,Anthony S. Waters,21,Tribal Enchantment — Elemental,"Whenever you draw a card, you may put a hoofprint counter on Hoofprints of the Stag.\n{2}{W}, Remove four hoofprint counters from Hoofprints of the Stag: Put a 4/4 white Elemental creature token with flying onto the battlefield. Activate this ability only during your turn.",LRW,,normal,143730,,,Rare,Elemental,"Tribal,Enchantment"
Judge of Currents,{1}{W},2,W,Dan Scott,22,Creature — Merfolk Wizard,"Whenever a Merfolk you control becomes tapped, you may gain 1 life.",LRW,"Though the currents of the Lanes shift every year, the merrow never lose track of where they are or where they are going.",normal,139406,1,1,Common,"Merfolk,Wizard",Creature
Kinsbaile Balloonist,{3}{W},4,W,Zoltan Boros & Gabor Szikszai,23,Creature — Kithkin Soldier,"Flying\nWhenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn.",LRW,"Even when a giant's tantrum turns the sky into a chaotic gale, the path of the balloonist never falters.",normal,139403,2,2,Common,"Kithkin,Soldier",Creature
Kinsbaile Skirmisher,{1}{W},2,W,Thomas Denmark,24,Creature — Kithkin Soldier,"When Kinsbaile Skirmisher enters the battlefield, target creature gets +1/+1 until end of turn.","LRW,M15,DDO","""If a boggart even dares breathe near one of my kin, I'll know. And I'll not be happy.""",normal,143018,2,2,Common,"Kithkin,Soldier",Creature
Kithkin Greatheart,{1}{W},2,W,Greg Staples,25,Creature — Kithkin Soldier,"As long as you control a Giant, Kithkin Greatheart gets +1/+1 and has first strike.","LRW,MMA","Sometimes a curious giant singles out a ""little one"" to follow for a few days, never realizing the effect it will have on the little one's life.",normal,146444,2,1,Common,"Kithkin,Soldier",Creature
Kithkin Harbinger,{2}{W},3,W,Steve Prescott,26,Creature — Kithkin Wizard,"When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle your library and put that card on top of it.",LRW,Her ears are open to even the softest voice.,normal,139399,1,3,Uncommon,"Kithkin,Wizard",Creature
Kithkin Healer,{2}{W},3,W,Rebecca Guay,27,Creature — Kithkin Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,LRW,The empathetic nature of the thoughtweft allows kithkin healers to treat the cause of an illness rather than fight its symptoms.,normal,145986,2,2,Common,"Kithkin,Cleric",Creature
Knight of Meadowgrain,{W}{W},2,W,Larry MacDougall,28,Creature — Kithkin Knight,First strike\nLifelink (Damage dealt by this creature also causes you to gain that much life.),"LRW,DDG","""By tradition, we don't speak for two days after battle. If our deeds won't speak for themselves, what else could be said?""",normal,139715,2,2,Uncommon,"Kithkin,Knight",Creature
Lairwatch Giant,{5}{W},6,W,Warren Mahy,29,Creature — Giant Warrior,"Lairwatch Giant can block an additional creature each combat.\nWhenever Lairwatch Giant blocks two or more creatures, it gains first strike until end of turn.",LRW,"A giant can brood over a grudge for decades, and woe to those who interrupt him.",normal,143383,5,3,Common,"Giant,Warrior",Creature
Militia's Pride,{1}{W},2,W,Larry MacDougall,30,Tribal Enchantment — Kithkin,"Whenever a nontoken creature you control attacks, you may pay {W}. If you do, put a 1/1 white Kithkin Soldier creature token onto the battlefield tapped and attacking.",LRW,"If you pick a fight with one kithkin, be ready to fight them all.",normal,140193,,,Rare,Kithkin,"Tribal,Enchantment"
Mirror Entity,{2}{W},3,W,Zoltan Boros & Gabor Szikszai,31,Creature — Shapeshifter,"Changeling (This card is every creature type.)\n{X}: Until end of turn, creatures you control have base power and toughness X/X and gain all creature types.","LRW,C13,MM2","Unaware of Lorwyn's diversity, it sees only itself, reflected a thousand times over.",normal,141818,1,1,Rare,Shapeshifter,Creature
Neck Snap,{3}{W},4,W,Dominick Domingo,32,Instant,Destroy target attacking or blocking creature.,LRW,"""We merrows need not be disadvantaged when fighting on land. We lack the vulnerability of those who breathe only through their throats.""\n—Minnarin, merrow reejerey",normal,139693,,,Common,,Instant
Oaken Brawler,{3}{W},4,W,Jim Murray,33,Creature — Treefolk Warrior,"When Oaken Brawler enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Oaken Brawler. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)",LRW,,normal,145988,2,4,Common,"Treefolk,Warrior",Creature
